"cmd","args","speaker","emotion","text","direction"
"","","","","",""
"","","","","",""
"// Lines that start with two forward slashes, like this one, are comments, and ignored by the system.","","","","",""
"// Pages are broken up by blank lines. Multiple blank lines in a row are ok.","","","","",""
"// Most pages just specify lines of dialog in any of 3 slots. TOP, CENTER, and BOTTOM lines. (Or T, C, and B for short.)","","","","",""
"// Some pages specify special commands, like changing the background, music, or displaying titles.","","","","",""
"// Look direction is defined by l (left) and r (right). This means characters can look either direction, despite being in the top or bottom","","","","",""
"","","","","",""
"BACKGROUND","SAID00624750742","","","",""
"MUSICTRACK","SQ_S15_LoreText_Ch01_Music_01","","","",""
"AMBIENTTRACK","SQ_S15_LoreText_Ch01_AMB_OccludedCrowd","","","",""
"PLAYSOUND","SQ_S15_LoreText_Ch01_ChapterTitle","","","",""
"TITLE","#MISSION_PAGE_01","","","",""
"SUBTITLE","#S15_MISSION_PAGE_TITLE_01","","","",""
"","","","","",""
"","","","","",""
"AMBIENTTRACK","SQ_S15_LoreText_Ch01_AMB_Crowd","","","",""
"PLAYSOUND","SQ_S15_LoreText_Ch01_SFX_DropShip_DoorOpen","","","",""
"c","","narrator","","#S15_MISSION_01_01",""
"","","","","",""
"PLAYSOUND","SQ_S15_LoreText_Ch01_SFX_Boo","","","",""
"c","","narrator","","#S15_MISSION_01_02",""
"","","","","",""
"c","","narrator","","#S15_MISSION_01_03",""
"","","","","",""
"PLAYSOUND","SQ_S15_LoreText_Ch01_VO_03","","","",""
"t","","octane","happy","#S15_MISSION_01_04","r"
"","","","","",""
"c","","narrator","","#S15_MISSION_01_05",""
"","","","","",""
"c","","narrator","","#S15_MISSION_01_06",""
"","","","","",""
"c","","narrator","","#S15_MISSION_01_07",""
"","","","","",""
"c","","narrator","","#S15_MISSION_01_08",""
"","","","","",""
"t","","octane","neutral","#S15_MISSION_01_09","r"
"","","","","",""
"c","","narrator","","#S15_MISSION_01_10",""
"","","","","",""
"PLAYSOUND","SQ_S15_LoreText_Ch01_Stinger_04","","","",""
"t","","seer","neutral","#S15_MISSION_01_11","r"
"b","","octane","surprised","#S15_MISSION_01_12","l"
"","","","","",""
"t","","seer","neutral","#S15_MISSION_01_13","r"
"b","","octane","fearful","#S15_MISSION_01_14","l"
"PLAYSOUND","SQ_S15_LoreText_Ch01_VO_04 BOTTOM","","","",""
"","","","","",""
"PLAYSOUND","SQ_S15_LoreText_Ch01_SFX_CanThrow","","","",""
"c","","narrator","","#S15_MISSION_01_15",""
"","","","","",""
"c","","narrator","","#S15_MISSION_01_16",""
"","","","","",""
"PLAYSOUND","SQ_S15_LoreText_Ch01_VO_05","","","",""
"t","","catalyst","angry","#S15_MISSION_01_17","r"
"","","","","",""
"c","","narrator","","#S15_MISSION_01_18",""
"","","","","",""
"t","","protestor","","#S15_MISSION_01_19",""
"b","","catalyst","neutral","#S15_MISSION_01_20","l"
"","","","","",""
"c","","narrator","","#S15_MISSION_01_21",""
"","","","","",""
"c","","narrator","","#S15_MISSION_01_22",""
"","","","","",""
"PLAYSOUND","SQ_S15_LoreText_Ch01_Stinger_01","","","",""
"t","","protestor","","#S15_MISSION_01_23",""
"","","","","",""
