"cmd","args","speaker","emotion","text","direction"
"","","","","",""
"","","","","",""
"// Lines that start with two forward slashes, like this one, are comments, and ignored by the system.","","","","",""
"// Pages are broken up by blank lines. Multiple blank lines in a row are ok.","","","","",""
"// Most pages just specify lines of dialog in any of 3 slots. TOP, CENTER, and BOTTOM lines. (Or T, C, and B for short.)","","","","",""
"// Some pages specify special commands, like changing the background, music, or displaying titles.","","","","",""
"// Look direction is defined by l (left) and r (right). This means characters can look either direction, despite being in the top or bottom","","","","",""
"","","","","",""
"BACKGROUND","SAID00624750742","","","",""
"MUSICTRACK","SQ_S15_LoreText_Ch02_Music_01","","","",""
"AMBIENTTRACK","SQ_S15_LoreText_Ch01_AMB_Apartment","","","",""
"PLAYSOUND","SQ_S15_LoreText_Ch02_ChapterTitle","","","",""
"TITLE","#MISSION_PAGE_02","","","",""
"SUBTITLE","#S15_MISSION_PAGE_TITLE_02","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"PLAYSOUND","SQ_S15_LoreText_Ch02_SFX_WalkOnGlass","","","",""
"c","","narrator","","#S15_MISSION_02_01",""
"","","","","",""
"PLAYSOUND","SQ_S15_LoreText_Ch02_VO_03","","","",""
"t","","seer","surprised","#S15_MISSION_02_02","r"
"","","","","",""
"PLAYSOUND","SQ_S15_LoreText_Ch02_SFX_WindGust","","","",""
"c","","narrator","","#S15_MISSION_02_03",""
"","","","","",""
"c","","narrator","","#S15_MISSION_02_04",""
"","","","","",""
"PLAYSOUND","SQ_S15_LoreText_Ch02_Stinger_01","","","",""
"c","","narrator","","#S15_MISSION_02_05",""
"","","","","",""
"PLAYSOUND","SQ_S15_LoreText_Ch02_SFX_PaperShuffle","","","",""
"c","","narrator","","#S15_MISSION_02_06",""
"","","","","",""
"c","","narrator","","#S15_MISSION_02_07",""
"","","","","",""
"PLAYSOUND","SQ_S15_LoreText_Ch02_Stinger_11","","","",""
"PLAYSOUND","SQ_S15_LoreText_Ch02_VO_01","","","",""
"c","","narrator","","#S15_MISSION_02_08",""
"","","","","",""
"c","","narrator","","#S15_MISSION_02_09",""
"","","","","",""
"PLAYSOUND","SQ_S15_LoreText_Ch02_Stinger_12","","","",""
"t","","octane","neutral","#S15_MISSION_02_10","r"
"b","","seer","neutral","#S15_MISSION_02_11","l"
"","","","","",""
"PLAYSOUND","SQ_S15_LoreText_Ch02_VO_04","","","",""
"t","","octane","happy","#S15_MISSION_02_12","r"
"b","","seer","neutral","#S15_MISSION_02_13","l"
"","","","","",""
"PLAYSOUND","SQ_S15_LoreText_Ch02_Stinger_13","","","",""
"t","","octane","happy","#S15_MISSION_02_14","r"
"b","","seer","neutral","#S15_MISSION_02_15","l"
"","","","","",""
"t","","seer","neutral","#S15_MISSION_02_16","r"
"b","","octane","happy","#S15_MISSION_02_17","l"
"","","","","",""
"PLAYSOUND","SQ_S15_LoreText_Ch02_VO_05","","","",""
"t","","seer","angry","#S15_MISSION_02_18","r"
"b","","octane","surprised","#S15_MISSION_02_19","l"
"PLAYSOUND","SQ_S15_LoreText_Ch02_VO_06 BOTTOM","","","",""
"","","","","",""
"PLAYSOUND","SQ_S15_LoreText_Ch02_VO_07","","","",""
