"cmd","args","speaker","emotion","text","direction"
"","","","","",""
"","","","","",""
"// Lines that start with two forward slashes, like this one, are comments, and ignored by the system.","","","","",""
"// Pages are broken up by blank lines. Multiple blank lines in a row are ok.","","","","",""
"// Most pages just specify lines of dialog in any of 3 slots. TOP, CENTER, and BOTTOM lines. (Or T, C, and B for short.)","","","","",""
"// Some pages specify special commands, like changing the background, music, or displaying titles.","","","","",""
"// Look direction is defined by l (left) and r (right). This means characters can look either direction, despite being in the top or bottom","","","","",""
"","","","","",""
"BACKGROUND","SAID00624750742","","","",""
"MUSICTRACK","","","","",""
"AMBIENTTRACK","SQ_S15_LoreText_Ch01_AMB_Boreas_Streets","","","",""
"PLAYSOUND","SQ_S15_LoreText_Ch03_ChapterTitle","","","",""
"TITLE","#MISSION_PAGE_03","","","",""
"SUBTITLE","#S15_MISSION_PAGE_TITLE_03","","","",""
"","","","","",""
"PLAYSOUND","SQ_S15_LoreText_Ch03_SFX_LimoStop","","","",""
"MUSICTRACK","SQ_S15_LoreText_Ch03_Music_01","","","",""
"c","","narrator","","#S15_MISSION_03_01",""
"","","","","",""
"c","","narrator","","#S15_MISSION_03_02",""
"","","","","",""
"c","","narrator","","#S15_MISSION_03_03",""
"","","","","",""
"PLAYSOUND","SQ_S15_LoreText_Ch03_SFX_DoorOpen","","","",""
"AMBIENTTRACK","SQ_S15_LoreText_Ch03_AMB_ApartmentInterior","","","",""
"PLAYSOUND","SQ_S15_LoreText_Ch03_VO_10","","","",""
"","","","","",""
"t","","egobunma","happy","#S15_MISSION_03_04","r"
"","","","","",""
"c","","narrator","","#S15_MISSION_03_05",""
"","","","","",""
"PLAYSOUND","SQ_S15_LoreText_Ch03_VO_01","","","",""
"t","","seer","surprised","#S15_MISSION_03_06","r"
"b","","oluwademilade","happy","#S15_MISSION_03_07","l"
"","","","","",""
"t","","seer","sad","#S15_MISSION_03_08","r"
"b","","oluwademilade","happy","#S15_MISSION_03_09","l"
"","","","","",""
"PLAYSOUND","SQ_S15_LoreText_Ch03_SFX_PourTea","","","",""
"c","","narrator","","#S15_MISSION_03_10",""
"","","","","",""
"c","","narrator","","#S15_MISSION_03_11",""
"","","","","",""
"PLAYSOUND","SQ_S15_LoreText_Ch03_Stinger_01","","","",""
"c","","narrator","","#S15_MISSION_03_12",""
"","","","","",""
"PLAYSOUND","SQ_S15_LoreText_Ch03_VO_02","","","",""
"t","","seer","fearful","#S15_MISSION_03_13","r"
"","","","","",""
"t","","seer","surprised","#S15_MISSION_03_14","r"
"","","","","",""
"t","","egobunma","neutral","#S15_MISSION_03_15","r"
"b","","oluwademilade","neutral","#S15_MISSION_03_16","l"
"","","","","",""
"PLAYSOUND","SQ_S15_LoreText_Ch03_Stinger_05","","","",""
"c","","narrator","","#S15_MISSION_03_17",""
"","","","","",""
"t","","seer","neutral","#S15_MISSION_03_18","r"
"","","","","",""
"t","","seer","neutral","#S15_MISSION_03_19","r"
"b","","egobunma","neutral","#S15_MISSION_03_20","l"
"","","","","",""
"PLAYSOUND","SQ_S15_LoreText_Ch03_Stinger_06","","","",""
"t","","seer","fearful","#S15_MISSION_03_21","r"
"","","","","",""
