"cmd","args","speaker","emotion","text","direction"
"","","","","",""
"","","","","",""
"// Lines that start with two forward slashes, like this one, are comments, and ignored by the system.","","","","",""
"// Pages are broken up by blank lines. Multiple blank lines in a row are ok.","","","","",""
"// Most pages just specify lines of dialog in any of 3 slots. TOP, CENTER, and BOTTOM lines. (Or T, C, and B for short.)","","","","",""
"// Some pages specify special commands, like changing the background, music, or displaying titles.","","","","",""
"// Look direction is defined by l (left) and r (right). This means characters can look either direction, despite being in the top or bottom","","","","",""
"","","","","",""
"BACKGROUND","SAID00686579668","","","",""
"MUSICTRACK","SQ_S15_LoreText_Ch04_Music_01","","","",""
"AMBIENTTRACK","SQ_S15_LoreText_Ch04_AMB_Encore","","","",""
"PLAYSOUND","SQ_S15_LoreText_Ch04_ChapterTitle","","","",""
"TITLE","#MISSION_PAGE_04","","","",""
"SUBTITLE","#S15_MISSION_PAGE_TITLE_04","","","",""
"","","","","",""
"","","","","",""
"BACKGROUNDFULL","SAID01539495807","","","",""
"AMBIENTTRACK","SQ_S15_LoreText_Ch04_AMB_SeerChant","","","",""
"PLAYSOUND","SQ_S15_LoreText_Ch04_SFX_CrowdCheers","","","",""
"","","","","",""
"BACKGROUND","SAID01539495807","","","",""
"c","","narrator","","#S15_MISSION_04_01",""
"","","","","",""
"c","","narrator","","#S15_MISSION_04_02",""
"","","","","",""
"c","","narrator","","#S15_MISSION_04_03",""
"","","","","",""
"c","","narrator","","#S15_MISSION_04_04",""
"","","","","",""
"PLAYSOUND","SQ_S15_LoreText_Ch04_SFX_CrowdCheersClap","","","",""
"c","","narrator","","#S15_MISSION_04_05",""
"BACKGROUND","SAID01539495807","","","",""
"","","","","",""
"BACKGROUND","SAID00686579668","","","",""
"AMBIENTTRACK","SQ_S15_LoreText_Ch04_AMB_Encore","","","",""
"PLAYSOUND","SQ_S15_LoreText_Ch04_Stinger_01","","","",""
"c","","narrator","","#S15_MISSION_04_06",""
"","","","","",""
"PLAYSOUND","SQ_S15_LoreText_Ch04_SFX_Thunder_A","","","",""
"c","","narrator","","#S15_MISSION_04_07",""
"","","","","",""
"PLAYSOUND","SQ_S15_LoreText_Ch04_VO_09","","","",""
"PLAYSOUND","SQ_S15_LoreText_Ch04_SFX_CatalystApproach","","","",""
"MUSICTRACK","SQ_S15_LoreText_Ch04_Music_02","","","",""
"c","","narrator","","#S15_MISSION_04_08",""
"","","","","",""
"PLAYSOUND","SQ_S15_LoreText_Ch04_VO_01","","","",""
"t","","catalyst","angry","#S15_MISSION_04_09","r"
"","","","","",""
"c","","narrator","","#S15_MISSION_04_10",""
"","","","","",""
"t","","seer","sad","#S15_MISSION_04_11","r"
"b","","catalyst","neutral","#S15_MISSION_04_12","l"
"","","","","",""
"PLAYSOUND","SQ_S15_LoreText_Ch04_VO_02","","","",""
"t","","seer","angry","#S15_MISSION_04_13","r"
"","","","","",""
"c","","narrator","","#S15_MISSION_04_14",""
"","","","","",""
"PLAYSOUND","SQ_S15_LoreText_Ch04_Stinger_02","","","",""
"t","","catalyst","neutral","#S15_MISSION_04_15","r"
"b","","seer","surprised","#S15_MISSION_04_16","l"
"","","","","",""
