"levelIndex","xpPerLevel","reward","rewardQty","premium","notes"
0,29500,"settings/itemflav/weapon_skin/spitfire/season02_legendary_01.rpak",1,true,""
0,0,"settings/itemflav/character_skin/gibraltar/season02_rare_01.rpak",1,true,""
0,0,"settings/itemflav/character_skin/bangalore/season02_rare_01.rpak",1,true,""
0,0,"settings/itemflav/character_skin/pathfinder/season02_rare_01.rpak",1,true,""
0,0,"settings/itemflav/xp_boost/battlepass_season02.rpak",1,true,""
1,29500,"settings/itemflav/musicpack/wattson.rpak",1,true,""
1,0,"settings/itemflav/gcard_tracker/octane/season02_wins.rpak",1,false,""
2,29500,"settings/itemflav/weapon_skin/pdw/season02_rare_01.rpak",1,true,""
2,0,"settings/itemflav/gcard_tracker/wattson/season02_wins.rpak",1,false,""
3,29500,"settings/itemflav/loadscreen/003.rpak",1,true,""
3,0,"settings/itemflav/gcard_tracker/pathfinder/season02_wins.rpak",1,false,""
4,29500,"settings/itemflav/pack/cosmetic_epic.rpak",1,true,""
4,0,"settings/itemflav/gcard_tracker/bangalore/season02_wins.rpak",1,false,""
5,29500,"settings/itemflav/weapon_skin/semipistol/season02_rare_01.rpak",1,true,""
5,0,"settings/itemflav/gcard_tracker/mirage/season02_wins.rpak",1,false,""
6,29500,"settings/itemflav/grx_currency/premium.rpak",100,true,""
6,0,"settings/itemflav/gcard_tracker/caustic/season02_wins.rpak",1,false,""
7,29500,"settings/itemflav/gcard_frame/octane/season02_rare_01.rpak",1,true,""
7,0,"settings/itemflav/gcard_tracker/wraith/season02_wins.rpak",1,false,""
8,29500,"settings/itemflav/grx_currency/crafting.rpak",120,true,""
8,0,"settings/itemflav/gcard_tracker/gibraltar/season02_wins.rpak",1,false,""
9,29500,"settings/itemflav/skydive_emote/bangalore/backflip.rpak",1,true,""
9,0,"settings/itemflav/gcard_tracker/bloodhound/season02_wins.rpak",1,false,""
10,29500,"settings/itemflav/xp_boost/battlepass_season02.rpak",1,true,""
10,0,"settings/itemflav/gcard_tracker/lifeline/season02_wins.rpak",1,false,""
11,29500,"settings/itemflav/pack/cosmetic_rare.rpak",1,true,""
11,0,"settings/itemflav/pack/cosmetic_rare.rpak",1,false,""
12,29500,"settings/itemflav/weapon_skin/dmr/season02_rare_01.rpak",1,true,""
