"cmd","args","speaker","emotion","text","direction"
"","","","","",""
"","","","","",""
"// Lines that start with two forward slashes, like this one, are comments, and ignored by the system.","","","","",""
"// Pages are broken up by blank lines. Multiple blank lines in a row are ok.","","","","",""
"// Most pages just specify lines of dialog in any of 3 slots. TOP, CENTER, and BOTTOM lines. (Or T, C, and B for short.)","","","","",""
"// Some pages specify special commands, like changing the background, music, or displaying titles.","","","","",""
"// Look direction is defined by l (left) and r (right). This means characters can look either direction, despite being in the top or bottom","","","","",""
"","","","","",""
"BACKGROUND","SAID00624750742","","","",""
"MUSICTRACK","SQ_S15_LoreText_Ch01_Music_01","","","",""
"AMBIENTTRACK","SQ_S15_LoreText_Ch01_AMB_OccludedCrowd","","","",""
"PLAYSOUND","SQ_S15_LoreText_Ch01_ChapterTitle","","","",""
"TITLE","#MISSION_PAGE_03","","","",""
"SUBTITLE","#S16_MISSION_PAGE_TITLE_03","","","",""
"string","string","string","string","string","string"
