"levelIndex","temp","xpPerLevel","reward","rewardQty","premium","notes","notes2"
0,"1",10,"settings/itemflav/character_skin/ash/epicp_v21_rebelbiker.rpak",1,true,"",""
0,"1",0,"settings/itemflav/character_skin/crypto/epicp_v21_rebelbiker.rpak",1,true,"",""
0,"1",0,"settings/itemflav/character_skin/lifeline/epicp_v21_rebelbiker.rpak",1,true,"",""
0,"1",0,"settings/itemflav/weapon_skin/eva/lgnd_v21_rebelbiker.rpak",1,true,"",""
0,"1",0,"settings/itemflav/xp_boost/battlepass_season12.rpak",1,true,"",""
0,"1",0,"settings/itemflav/loadscreen/s12bp_01.rpak",1,false,"",""
1,"2",10,"settings/itemflav/skydive_emote/madmaggie/backflip.rpak",1,true,"",""
2,"3",10,"settings/itemflav/pack/cosmetic_legendary.rpak",1,true,"",""
3,"4",10,"settings/itemflav/musicpack/s12bp_season12.rpak",1,false,"",""
3,"4",0,"settings/itemflav/grx_currency/crafting.rpak",120,true,"",""
4,"5",10,"settings/itemflav/grx_currency/premium.rpak",100,false,"",""
4,"5",0,"settings/itemflav/grx_currency/premium.rpak",100,true,"",""
5,"6",10,"settings/itemflav/xp_boost/battlepass_season12.rpak",1,true,"",""
6,"7",10,"settings/itemflav/character_kill_quip/crypto/s12bp_rare_01.rpak",1,true,"",""
6,"7",0,"settings/itemflav/pack/cosmetic_rare.rpak",1,false,"",""
7,"8",10,"settings/itemflav/weapon_charm/charm_apex_asset_v21_char_crypto_rebelbiker01.rpak",1,true,"",""
7,"8",0,"settings/itemflav/gcard_tracker/crypto/season12_wins.rpak",1,false,"",""
8,"9",10,"settings/itemflav/weapon_skin/3030repeater/rare_v21_rebelbiker.rpak",1,true,"",""
8,"9",0,"settings/itemflav/gcard_tracker/crypto/season12_kills.rpak",1,false,"",""
9,"10",10,"settings/itemflav/gcard_frame/crypto/epic_rebelbiker.rpak",1,true,"",""
9,"10",0,"settings/itemflav/weapon_skin/devotion/rare_v21_rebelbiker.rpak",1,false,"",""
10,"11",10,"settings/itemflav/emote_icon/crypto/epic_v21_crypto_04.rpak",1,true,"",""
10,"11",0,"settings/itemflav/gcard_tracker/madmaggie/season12_wins.rpak",1,false,"",""
11,"12",10,"settings/itemflav/loadscreen/s12bp_02.rpak",1,true,"",""
11,"12",0,"settings/itemflav/gcard_tracker/madmaggie/season12_kills.rpak",1,false,"",""
12,"13",10,"settings/itemflav/grx_currency/crafting.rpak",120,true,"",""
12,"13",0,"settings/itemflav/emote_icon/wattson/epic_v21_wattson_03.rpak",1,false,"",""
13,"14",10,"settings/itemflav/xp_boost/battlepass_season12.rpak",1,true,"",""
13,"14",0,"settings/itemflav/gcard_tracker/bangalore/season12_wins.rpak",1,false,"",""
14,"15",10,"settings/itemflav/character_kill_quip/seer/s12bp_rare_01.rpak",1,true,"",""
14,"15",0,"settings/itemflav/weapon_skin/dmr/rare_v21_rebelbiker.rpak",1,false,"",""
15,"16",10,"settings/itemflav/weapon_charm/charm_apex_asset_v21_char_seer_rebelbiker01.rpak",1,true,"",""
15,"16",0,"settings/itemflav/gcard_tracker/bangalore/season12_kills.rpak",1,false,"",""
16,"17",10,"settings/itemflav/weapon_skin/alternator/rare_v21_rebelbiker.rpak",1,true,"",""
16,"17",0,"settings/itemflav/weapon_skin/mozambique/rare_v21_rebelbiker.rpak",1,false,"",""
17,"18",10,"settings/itemflav/gcard_frame/seer/epic_rebelbiker.rpak",1,true,"",""
17,"18",0,"settings/itemflav/gcard_tracker/pathfinder/season12_wins.rpak",1,false,"",""
18,"19",10,"settings/itemflav/emote_icon/seer/epic_v21_seer_10.rpak",1,true,"",""
18,"19",0,"settings/itemflav/pack/cosmetic_rare.rpak",1,false,"",""
19,"20",10,"settings/itemflav/grx_currency/crafting.rpak",120,true,"",""
19,"20",0,"settings/itemflav/gcard_tracker/pathfinder/season12_kills.rpak",1,false,"",""
20,"21",10,"settings/itemflav/grx_currency/premium.rpak",100,true,"",""
20,"21",0,"settings/itemflav/weapon_skin/autopistol/rare_v21_rebelbiker.rpak",1,false,"",""
21,"22",10,"settings/itemflav/xp_boost/battlepass_season12.rpak",1,true,"",""
21,"22",0,"settings/itemflav/gcard_tracker/wattson/season12_wins.rpak",1,false,"",""
22,"23",10,"settings/itemflav/gcard_tracker/seer/s12bp_career_wins.rpak",1,true,"",""
22,"23",0,"settings/itemflav/gcard_tracker/wattson/season12_kills.rpak",1,false,"",""
23,"24",10,"settings/itemflav/gcard_tracker/seer/s12bp_career_damage_done.rpak",1,true,"",""
23,"24",0,"settings/itemflav/gcard_tracker/bloodhound/season12_wins.rpak",1,false,"",""
24,"25",10,"settings/itemflav/character_skin/seer/lgnd_v21_rebelbiker.rpak",1,true,"",""
24,"25",0,"settings/itemflav/loadscreen/s12bp_03.rpak",1,false,"",""
25,"26",10,"settings/itemflav/gcard_tracker/seer/s12bp_career_kills.rpak",1,true,"",""
25,"26",0,"settings/itemflav/gcard_tracker/bloodhound/season12_kills.rpak",1,false,"",""
26,"27",10,"settings/itemflav/weapon_skin/lstar/rare_v21_rebelbiker.rpak",1,true,"",""
26,"27",0,"settings/itemflav/gcard_tracker/seer/season12_wins.rpak",1,false,"",""
27,"28",10,"settings/itemflav/grx_currency/crafting.rpak",120,true,"",""
27,"28",0,"settings/itemflav/gcard_tracker/seer/season12_kills.rpak",1,false,"",""
