"levelIndex","temp","xpPerLevel","reward","rewardQty","premium","notes","notes2"
0,"1",10,"settings/itemflav/character_skin/pathfinder/epicp_v21_heroknight.rpak",1,true,"",""
0,"1",0,"settings/itemflav/character_skin/madmaggie/epicp_v21_heroknight.rpak",1,true,"",""
0,"1",0,"settings/itemflav/character_skin/newcastle/epicp_v21_heroknight.rpak",1,true,"",""
0,"1",0,"settings/itemflav/weapon_skin/car/lgnd_v21_heroknight.rpak",1,true,"",""
0,"1",0,"settings/itemflav/xp_boost/battlepass_season13.rpak",1,true,"",""
0,"1",0,"settings/itemflav/loadscreen/s13bp_01.rpak",1,false,"",""
1,"2",10,"settings/itemflav/skydive_emote/newcastle/backflip.rpak",1,true,"",""
2,"3",10,"settings/itemflav/pack/cosmetic_legendary.rpak",1,true,"",""
3,"4",10,"settings/itemflav/musicpack/s13bp_season13.rpak",1,false,"",""
3,"4",0,"settings/itemflav/grx_currency/crafting.rpak",120,true,"",""
4,"5",10,"settings/itemflav/grx_currency/premium.rpak",100,false,"",""
4,"5",0,"settings/itemflav/grx_currency/premium.rpak",100,true,"",""
5,"6",10,"settings/itemflav/xp_boost/battlepass_season13.rpak",1,true,"",""
6,"7",10,"settings/itemflav/character_kill_quip/madmaggie/S13bp_rare_01.rpak",1,true,"",""
6,"7",0,"settings/itemflav/weapon_skin/sentinel/rare_v21_heroknight.rpak",1,false,"",""
7,"8",10,"settings/itemflav/weapon_charm/charm_apex_theme_v21_heroknight_heroknight03.rpak",1,true,"",""
7,"8",0,"settings/itemflav/gcard_tracker/madmaggie/season13_wins.rpak",1,false,"",""
8,"9",10,"settings/itemflav/weapon_skin/energy_ar/rare_v21_heroknight.rpak",1,true,"",""
8,"9",0,"settings/itemflav/gcard_tracker/gibraltar/season13_wins.rpak",1,false,"",""
9,"10",10,"settings/itemflav/gcard_frame/madmaggie/epic_v21_heroknight01.rpak",1,true,"",""
9,"10",0,"settings/itemflav/gcard_tracker/wraith/season13_wins.rpak",1,false,"",""
10,"11",10,"settings/itemflav/emote_icon/heroknight/epic_v21_heroknight_03.rpak",1,true,"",""
10,"11",0,"settings/itemflav/pack/cosmetic_rare.rpak",1,false,"",""
11,"12",10,"settings/itemflav/pack/cosmetic_rare.rpak",1,true,"",""
12,"13",10,"settings/itemflav/grx_currency/crafting.rpak",120,true,"",""
12,"13",0,"settings/itemflav/weapon_skin/mozambique/rare_v21_heroknight.rpak",1,false,"",""
13,"14",10,"settings/itemflav/xp_boost/battlepass_season13.rpak",1,true,"",""
14,"15",10,"settings/itemflav/loadscreen/s13bp_02.rpak",1,true,"",""
14,"15",0,"settings/itemflav/weapon_skin/chargerifle/rare_v21_heroknight.rpak",1,false,"",""
15,"16",10,"settings/itemflav/gcard_frame/gibraltar/epic_v21_heroknight01.rpak",1,true,"",""
16,"17",10,"settings/itemflav/weapon_skin/r301/rare_v21_heroknight.rpak",1,true,"",""
16,"17",0,"settings/itemflav/gcard_tracker/fuse/season13_wins.rpak",1,false,"",""
17,"18",10,"settings/itemflav/emote_icon/heroknight/epic_v21_heroknight_07.rpak",1,true,"",""
17,"18",0,"settings/itemflav/gcard_tracker/mirage/season13_wins.rpak",1,false,"",""
18,"19",10,"settings/itemflav/character_emote/gibraltar/epic_signspinner.rpak",1,true,"",""
18,"19",0,"settings/itemflav/gcard_tracker/revenant/season13_wins.rpak",1,false,"",""
19,"20",10,"settings/itemflav/grx_currency/crafting.rpak",120,true,"",""
20,"21",10,"settings/itemflav/grx_currency/premium.rpak",100,true,"",""
