"levelIndex","xpPerLevel","reward","rewardQty","premium","notes"
0,29500,"settings/itemflav/weapon_skin/dmr/s03bp_legendary_01.rpak",1,true,""
0,0,"settings/itemflav/character_skin/mirage/s03bp_rare_01.rpak",1,true,""
0,0,"settings/itemflav/character_skin/bloodhound/s03bp_rare_01.rpak",1,true,""
0,0,"settings/itemflav/character_skin/octane/s03bp_rare_01.rpak",1,true,""
0,0,"settings/itemflav/xp_boost/battlepass_season03.rpak",1,true,""
1,29500,"settings/itemflav/weapon_charm/charm_apex_theme_v20_meltdown_pyro_meteor01.rpak",1,true,""
1,0,"settings/itemflav/loadscreen/s03bp_11.rpak",1,false,""
2,29500,"settings/itemflav/xp_boost/battlepass_season03.rpak",1,true,""
2,0,"settings/itemflav/gcard_tracker/crypto/season03_wins.rpak",1,false,""
3,29500,"settings/itemflav/pack/cosmetic_rare.rpak",1,true,""
3,0,"settings/itemflav/gcard_tracker/gibraltar/season03_wins.rpak",1,false,""
4,29500,"settings/itemflav/grx_currency/premium.rpak",50,true,""
4,0,"settings/itemflav/gcard_tracker/wraith/season03_wins.rpak",1,false,""
5,29500,"settings/itemflav/pack/cosmetic_epic.rpak",1,true,""
5,0,"settings/itemflav/gcard_tracker/caustic/season03_wins.rpak",1,false,""
6,29500,"settings/itemflav/loadscreen/s03bp_07.rpak",1,true,""
6,0,"settings/itemflav/gcard_tracker/mirage/season03_wins.rpak",1,false,""
7,29500,"settings/itemflav/pack/cosmetic_rare.rpak",1,true,""
7,0,"settings/itemflav/gcard_tracker/bangalore/season03_wins.rpak",1,false,""
8,29500,"settings/itemflav/grx_currency/premium.rpak",50,true,""
8,0,"settings/itemflav/gcard_tracker/pathfinder/season03_wins.rpak",1,false,""
9,29500,"settings/itemflav/weapon_skin/chargerifle/s03bp_rare_01.rpak",1,true,""
9,0,"settings/itemflav/gcard_tracker/wattson/season03_wins.rpak",1,false,""
10,29500,"settings/itemflav/gcard_frame/pathfinder/s03bp_rare_01.rpak",1,true,""
10,0,"settings/itemflav/gcard_tracker/octane/season03_wins.rpak",1,false,""
11,29500,"settings/itemflav/weapon_skin/semipistol/s03bp_rare_01.rpak",1,true,""
11,0,"settings/itemflav/gcard_tracker/lifeline/season03_wins.rpak",1,false,""
12,29500,"settings/itemflav/skydive_emote/gibraltar/surf.rpak",1,true,""
12,0,"settings/itemflav/gcard_tracker/bloodhound/season03_wins.rpak",1,false,""
13,29500,"settings/itemflav/xp_boost/battlepass_season03.rpak",1,true,""
14,29500,"settings/itemflav/loadscreen/s03bp_09.rpak",1,true,""
15,29500,"settings/itemflav/pack/cosmetic_rare.rpak",1,true,""
16,29500,"settings/itemflav/grx_currency/premium.rpak",50,true,""
16,0,"settings/itemflav/pack/cosmetic_rare.rpak",1,false,""
17,29500,"settings/itemflav/weapon_skin/autopistol/s03bp_rare_01.rpak",1,true,""
18,29500,"settings/itemflav/weapon_charm/charm_apex_theme_v20_meltdown_yeti_snow01.rpak",1,true,""
19,29500,"settings/itemflav/grx_currency/crafting.rpak",120,true,""
20,29500,"settings/itemflav/skydive_emote/wattson/explorer.rpak",1,true,""
20,0,"settings/itemflav/pack/cosmetic_rare.rpak",1,false,""
21,29500,"settings/itemflav/xp_boost/battlepass_season03.rpak",1,true,""
22,29500,"settings/itemflav/loadscreen/s03bp_10.rpak",1,true,""
23,29500,"settings/itemflav/character_kill_quip/crypto/s03bp_rare_01.rpak",1,true,""
24,29500,"settings/itemflav/character_skin/pathfinder/s03bp_legendary_01.rpak",1,true,""
24,0,"settings/itemflav/pack/cosmetic_rare.rpak",1,false,""
25,29500,"settings/itemflav/weapon_skin/r97/s03bp_rare_01.rpak",1,true,""
26,29500,"settings/itemflav/gcard_frame/gibraltar/s03bp_rare_01.rpak",1,true,""
27,29500,"settings/itemflav/grx_currency/crafting.rpak",120,true,""
28,29500,"settings/itemflav/musicpack/s03bp_gibraltar.rpak",1,true,""
28,0,"settings/itemflav/pack/cosmetic_rare.rpak",1,false,""
29,29500,"settings/itemflav/xp_boost/battlepass_season03.rpak",1,true,""
30,29500,"settings/itemflav/loadscreen/s03bp_03.rpak",1,true,""
31,29500,"settings/itemflav/character_kill_quip/lifeline/s03bp_rare_01.rpak",1,true,""
32,29500,"settings/itemflav/grx_currency/premium.rpak",100,true,""
32,0,"settings/itemflav/pack/cosmetic_rare.rpak",1,false,""
33,29500,"settings/itemflav/weapon_skin/peacekeeper/s03bp_rare_01.rpak",1,true,""
34,29500,"settings/itemflav/gcard_frame/lifeline/s03bp_rare_01.rpak",1,true,""
35,29500,"settings/itemflav/grx_currency/crafting.rpak",120,true,""
36,29500,"settings/itemflav/musicpack/s03bp_crypto.rpak",1,true,""
36,0,"settings/itemflav/character_skin/caustic/s03bp_rare_01.rpak",1,false,""
37,29500,"settings/itemflav/xp_boost/battlepass_season03.rpak",1,true,""
38,29500,"settings/itemflav/loadscreen/s03bp_01.rpak",1,true,""
39,29500,"settings/itemflav/pack/cosmetic_rare.rpak",1,true,""
40,29500,"settings/itemflav/grx_currency/premium.rpak",100,true,""
41,29500,"settings/itemflav/weapon_skin/mastiff/s03bp_rare_01.rpak",1,true,""
42,29500,"settings/itemflav/grx_currency/premium.rpak",100,true,""
43,29500,"settings/itemflav/grx_currency/crafting.rpak",120,true,""
44,29500,"settings/itemflav/gcard_frame/mirage/s03bp_epic_01.rpak",1,true,""
45,29500,"settings/itemflav/xp_boost/battlepass_season03.rpak",1,true,""
46,29500,"settings/itemflav/loadscreen/s03bp_08.rpak",1,true,""
47,29500,"settings/itemflav/pack/cosmetic_rare.rpak",1,true,""
48,29500,"settings/itemflav/gcard_frame/wraith/s03bp_epic_01.rpak",1,true,""
49,29500,"settings/itemflav/weapon_skin/alternator/s03bp_rare_01.rpak",1,true,""
50,29500,"settings/itemflav/weapon_charm/charm_apex_theme_v20_meltdown_caustic_gastank01.rpak",1,true,""
51,29500,"settings/itemflav/grx_currency/crafting.rpak",120,true,""
52,29500,"settings/itemflav/character_skin/lifeline/s03bp_legendary_01.rpak",1,true,""
53,29500,"settings/itemflav/xp_boost/battlepass_season03.rpak",1,true,""
54,29500,"settings/itemflav/weapon_skin/lstar/s03bp_rare_01.rpak",1,true,""
55,29500,"settings/itemflav/character_kill_quip/bloodhound/s03bp_rare_01.rpak",1,true,""
56,29500,"settings/itemflav/grx_currency/premium.rpak",100,true,""
57,29500,"settings/itemflav/weapon_skin/kraber/s03bp_rare_01.rpak",1,true,""
58,29500,"settings/itemflav/grx_currency/premium.rpak",50,true,""
59,29500,"settings/itemflav/grx_currency/crafting.rpak",120,true,""
60,29500,"settings/itemflav/gcard_frame/caustic/s03bp_epic_01.rpak",1,true,""
61,29500,"settings/itemflav/xp_boost/battlepass_season03.rpak",1,true,""
62,29500,"settings/itemflav/gcard_frame/octane/s03bp_rare_01.rpak",1,true,""
63,29500,"settings/itemflav/weapon_skin/flatline/s03bp_rare_01.rpak",1,true,""
64,29500,"settings/itemflav/gcard_frame/crypto/s03bp_epic_01.rpak",1,true,""
65,29500,"settings/itemflav/weapon_skin/r301/s03bp_rare_01.rpak",1,true,""
66,29500,"settings/itemflav/grx_currency/premium.rpak",100,true,""
67,29500,"settings/itemflav/grx_currency/crafting.rpak",120,true,""
68,29500,"settings/itemflav/weapon_skin/hemlok/s03bp_epic_01.rpak",1,true,""
69,29500,"settings/itemflav/xp_boost/battlepass_season03.rpak",1,true,""
70,29500,"settings/itemflav/loadscreen/s03bp_02.rpak",1,true,""
71,29500,"settings/itemflav/weapon_skin/mozambique/s03bp_rare_01.rpak",1,true,""
72,29500,"settings/itemflav/skydive_emote/mirage/rodeo.rpak",1,true,""
73,29500,"settings/itemflav/weapon_skin/devotion/s03bp_rare_01.rpak",1,true,""
74,29500,"settings/itemflav/gcard_frame/bangalore/s03bp_rare_01.rpak",1,true,""
75,29500,"settings/itemflav/grx_currency/crafting.rpak",120,true,""
76,29500,"settings/itemflav/pack/cosmetic_legendary.rpak",1,true,""
77,29500,"settings/itemflav/weapon_skin/wingman/s03bp_rare_01.rpak",1,true,""
78,29500,"settings/itemflav/loadscreen/s03bp_04.rpak",1,true,""
79,29500,"settings/itemflav/weapon_skin/pdw/s03bp_rare_01.rpak",1,true,""
80,29500,"settings/itemflav/grx_currency/premium.rpak",100,true,""
81,29500,"settings/itemflav/weapon_skin/spitfire/s03bp_rare_01.rpak",1,true,""
82,29500,"settings/itemflav/gcard_frame/wattson/s03bp_rare_01.rpak",1,true,""
83,29500,"settings/itemflav/grx_currency/crafting.rpak",120,true,""
84,29500,"settings/itemflav/skydive_emote/lifeline/windmill.rpak",1,true,""
85,29500,"settings/itemflav/weapon_skin/eva/s03bp_rare_01.rpak",1,true,""
86,29500,"settings/itemflav/loadscreen/s03bp_05.rpak",1,true,""
87,29500,"settings/itemflav/weapon_skin/hemlok/s03bp_rare_01.rpak",1,true,""
88,29500,"settings/itemflav/grx_currency/premium.rpak",100,true,""
89,29500,"settings/itemflav/weapon_skin/dmr/s03bp_rare_01.rpak",1,true,""
90,29500,"settings/itemflav/weapon_charm/charm_apex_theme_v20_meltdown_arthur_crow01.rpak",1,true,""
91,29500,"settings/itemflav/grx_currency/crafting.rpak",120,true,""
92,29500,"settings/itemflav/skydive_emote/pathfinder/birdattack.rpak",1,true,""
93,29500,"settings/itemflav/weapon_skin/tripletake/s03bp_rare_01.rpak",1,true,""
94,29500,"settings/itemflav/loadscreen/s03bp_06.rpak",1,true,""
95,29500,"settings/itemflav/weapon_skin/energy_ar/s03bp_rare_01.rpak",1,true,""
96,29500,"settings/itemflav/grx_currency/premium.rpak",100,true,""
97,29500,"settings/itemflav/weapon_skin/g7/s03bp_rare_01.rpak",1,true,""
98,29500,"settings/itemflav/weapon_charm/charm_apex_theme_v20_meltdown_nessie_plush01.rpak",1,true,""
99,29500,"settings/itemflav/weapon_skin/peacekeeper/s03bp_legendary_01.rpak",1,true,""
100,29500,"",0,false,""
101,29500,"",0,false,""
102,29500,"",0,false,""
103,29500,"",0,false,""
104,29500,"",0,false,""
105,29500,"",0,false,""
106,29500,"",0,false,""
107,29500,"",0,false,""
108,29500,"",0,false,""
109,29500,"settings/itemflav/weapon_skin/peacekeeper/s03bp_legendary_02.rpak",1,true,""
109,0,"settings/itemflav/gcard_badge/account/season03_bplevel.rpak",1,false,""
"int","int","asset","int","bool","string"
