"cmd","args","speaker","emotion","text","direction"
"","","","","",""
"","","","","",""
"// Lines that start with two forward slashes, like this one, are comments, and ignored by the system.","","","","",""
"// Pages are broken up by blank lines. Multiple blank lines in a row are ok.","","","","",""
"// Most pages just specify lines of dialog in any of 3 slots. TOP, CENTER, and BOTTOM lines. (Or T, C, and B for short.)","","","","",""
"// Some pages specify special commands, like changing the background, music, or displaying titles.","","","","",""
"// Look direction is defined by l (left) and r (right). This means characters can look either direction, despite being in the top or bottom","","","","",""
"","","","","",""
"BACKGROUND","loadscreen_lore_bg_rift_inside_01","","","",""
"MUSICTRACK","SQ_S12_LoreText_Ch01_Music_01","","","",""
"AMBIENTTRACK","SQ_S12_LoreText_Ch01_AMB_Default","","","",""
"PLAYSOUND","SQ_S12_LoreText_Ch01_ChapterTitle","","","",""
"TITLE","#MISSION_PAGE_01","","","",""
"SUBTITLE","#MISSION_PAGE_TITLE_01","","","",""
"","","","","",""
"// narrator: Octane","","","","",""
"// location: Olympus","","","","",""
"// go-live: 2-15-22","","","","",""
"","","","","",""
"PLAYSOUND","SQ_S12_LoreText_Ch01_Music_Victory","","","",""
"t","","octane","happy","#MISSION_01_01","r"
"PLAYSOUND","SQ_S12_LoreText_Ch01_VO_01","","","",""
"b","","madmaggie","neutral","#MISSION_01_02","l"
"","","","","",""
"t","","lifeline","neutral","#MISSION_01_03","r"
"PLAYSOUND","SQ_S12_LoreText_Ch01_Stinger_01","","","",""
"PLAYSOUND","SQ_S12_LoreText_Ch01_VO_04 BOTTOM","","","",""
"b","","octane","happy","#MISSION_01_04","l"
"","","","","",""
"t","","madmaggie","neutral","#MISSION_01_05","r"
"PLAYSOUND","SQ_S12_LoreText_Ch01_Stinger_02","","","",""
"PLAYSOUND","SQ_S12_LoreText_Ch01_VO_05","","","",""
"PLAYSOUND","SQ_S12_LoreText_Ch01_VO_06 BOTTOM","","","",""
"b","","octane","neutral","#MISSION_01_06","l"
"","","","","",""
"t","","lifeline","angry","#MISSION_01_07","r"
"PLAYSOUND","SQ_S12_LoreText_Ch01_Stinger_03","","","",""
"PLAYSOUND","SQ_S12_LoreText_Ch01_SFX_LifelinesPhoneNotification","","","",""
"b","","octane","neutral","#MISSION_01_08","l"
"","","","","",""
"t","","lifeline","neutral","#MISSION_01_09","r"
"MUSICTRACK","SQ_S12_LoreText_Ch01_Music_02","","","",""
"PLAYSOUND","SQ_S12_LoreText_Ch01_VO_09","","","",""
"AMBIENTTRACK","SQ_S12_LoreText_Ch01_AMB_Default","","","",""
"","","","","",""
"t","","duardo","angry","#MISSION_01_10","r"
"PLAYSOUND","SQ_S12_LoreText_Ch01_SFX_LifelinesPhoneOpenVideo","","","",""
"AMBIENTTRACK","SQ_S12_LoreText_Ch01_AMB_CrowdLoop","","","",""
"PLAYSOUND","SQ_S12_LoreText_Ch01_VO_10","","","",""
"","","","","",""
"t","","duardo","angry","#MISSION_01_11","r"
"PLAYSOUND","SQ_S12_LoreText_Ch01_Stinger_04","","","",""
"AMBIENTTRACK","SQ_S12_LoreText_Ch01_AMB_CrowdLoopSofter","","","",""
"","","","","",""
"t","","madmaggie","angry","#MISSION_01_12","l"
"","","","","",""
