"cmd","args","speaker","emotion","text","direction"
"","","","","",""
"","","","","",""
"// Lines that start with two forward slashes, like this one, are comments, and ignored by the system.","","","","",""
"// Pages are broken up by blank lines. Multiple blank lines in a row are ok.","","","","",""
"// Most pages just specify lines of dialog in any of 3 slots. TOP, CENTER, and BOTTOM lines. (Or T, C, and B for short.)","","","","",""
"// Some pages specify special commands, like changing the background, music, or displaying titles.","","","","",""
"","","","","",""
"","","","","",""
"BACKGROUND","loadscreen_s05bp_06","","","",""
"MUSICTRACK","SQ_S12_LoreText_Ch02_Music_01","","","",""
"AMBIENTTRACK","SQ_S12_LoreText_Ch02_AMB_Default","","","",""
"PLAYSOUND","SQ_S12_LoreText_Ch02_ChapterTitle","","","",""
"TITLE","#MISSION_PAGE_02","","","",""
"SUBTITLE","#MISSION_PAGE_TITLE_02","","","",""
"","","","","",""
"// narrator: Octane","","","","",""
"// location: Psamathe, Silva Manor","","","","",""
"// go-live: 2-22-22","","","","",""
"","","","","",""
"c","","narrator","","#MISSION_02_01",""
"PLAYSOUND","SQ_S12_LoreText_Ch02_SFX_FireplaceCrackle","","","",""
"","","","","",""
"c","","narrator","","#MISSION_02_02",""
"","","","","",""
"c","","narrator","","#MISSION_02_03",""
"","","","","",""
"c","","narrator","","#MISSION_02_04",""
"PLAYSOUND","SQ_S12_LoreText_Ch02_SFX_KeypadAccessDenied","","","",""
"","","","","",""
"t","","duardo","neutral","#MISSION_02_05","r"
"PLAYSOUND","SQ_S12_LoreText_Ch02_SFX_DuardoFootstepsEnter","","","",""
"PLAYSOUND","SQ_S12_LoreText_Ch02_VO_01","","","",""
"MUSICTRACK","SQ_S12_LoreText_Ch02_Music_02","","","",""
"","","","","",""
"c","","narrator","","#MISSION_02_06",""
"PLAYSOUND","SQ_S12_LoreText_Ch02_Stinger_01","","","",""
"","","","","",""
"t","","octane","surprised","#MISSION_02_07","r"
"PLAYSOUND","SQ_S12_LoreText_Ch02_VO_02","","","",""
"PLAYSOUND","SQ_S12_LoreText_Ch02_Stinger_02 BOTTOM","","","",""
"b","","duardo","angry","#MISSION_02_08","l"
"","","","","",""
"t","","duardo","angry","#MISSION_02_09","r"
"b","","octane","angry","#MISSION_02_10","l"
"","","","","",""
"t","","duardo","angry","#MISSION_02_13","r"
"PLAYSOUND","SQ_S12_LoreText_Ch02_VO_09 BOTTOM","","","",""
"b","","octane","angry","#MISSION_02_14","l"
"","","","","",""
"t","","duardo","neutral","#MISSION_02_15","r"
"PLAYSOUND","SQ_S12_LoreText_Ch02_VO_10","","","",""
"MUSICTRACK","SQ_S12_LoreText_Ch02_Music_03","","","",""
"PLAYSOUND","SQ_S12_LoreText_Ch02_VO_11 BOTTOM","","","",""
"b","","octane","angry","#MISSION_02_16","l"
"","","","","",""
"t","","duardo","neutral","#MISSION_02_17","r"
"PLAYSOUND","SQ_S12_LoreText_Ch02_Stinger_05","","","",""
"PLAYSOUND","SQ_S12_LoreText_Ch02_VO_12","","","",""
"b","","octane","angry","#MISSION_02_18","l"
"","","","","",""
"t","","duardo","neutral","#MISSION_02_19","r"
"","","","","",""
"t","","duardo","neutral","#MISSION_02_20","r"
