"cmd","args","speaker","emotion","text","direction"
"","","","","",""
"","","","","",""
"// Lines that start with two forward slashes, like this one, are comments, and ignored by the system.","","","","",""
"// Pages are broken up by blank lines. Multiple blank lines in a row are ok.","","","","",""
"// Most pages just specify lines of dialog in any of 3 slots. TOP, CENTER, and BOTTOM lines. (Or T, C, and B for short.)","","","","",""
"// Some pages specify special commands, like changing the background, music, or displaying titles.","","","","",""
"","","","","",""
"","","","","",""
"BACKGROUND","loadscreen_s11bp_10","","","",""
"MUSICTRACK","SQ_S12_LoreText_Ch03_Music_01","","","",""
"AMBIENTTRACK","SQ_S12_LoreText_Ch03_AMB_Start","","","",""
"PLAYSOUND","SQ_S12_LoreText_Ch03_ChapterTitle","","","",""
"TITLE","#MISSION_PAGE_03","","","",""
"SUBTITLE","#MISSION_PAGE_TITLE_03","","","",""
"","","","","",""
"// narrator: N/A","","","","",""
"// location: Storm Point","","","","",""
"// go-live: 3-8-22","","","","",""
"","","","","",""
"PLAYSOUND","SQ_S12_LoreText_Ch03_Stinger_01","","","",""
"PLAYSOUND","SQ_S12_LoreText_Ch03_SFX_01_SpiderIntro","","","",""
"PLAYSOUND","SQ_S12_LoreText_Ch03_SFX_02_LegendsAttack","","","",""
"AMBIENTTRACK","SQ_S12_LoreText_Ch03_AMB_SpidersAttack","","","",""
"","","","","",""
"t","","lifeline","angry","#MISSION_03_01","r"
"PLAYSOUND","SQ_S12_LoreText_Ch03_VO_01","","","",""
"PLAYSOUND","SQ_S12_LoreText_Ch03_VO_02 BOTTOM","","","",""
"b","","fuse","surprised","#MISSION_03_02","l"
"","","","","",""
"PLAYSOUND","SQ_S12_LoreText_Ch03_SFX_03_SpiderScreams","","","",""
"","","","","",""
"t","","madmaggie","angry","#MISSION_03_03","r"
"","","","","",""
"t","","lifeline","angry","#MISSION_03_04","r"
"","","","","",""
"PLAYSOUND","SQ_S12_LoreText_Ch03_SFX_04_MoreSpiderViolence","","","",""
"","","","","",""
"t","","fuse","surprised","#MISSION_03_05","r"
"PLAYSOUND","SQ_S12_LoreText_Ch03_VO_05","","","",""
"PLAYSOUND","SQ_S12_LoreText_Ch03_VO_06 BOTTOM","","","",""
"b","","lifeline","sad","#MISSION_03_06","l"
"","","","","",""
"PLAYSOUND","SQ_S12_LoreText_Ch03_SFX_05_OutOfAmmo","","","",""
"","","","","",""
"t","","madmaggie","angry","#MISSION_03_07","r"
"PLAYSOUND","SQ_S12_LoreText_Ch03_VO_07","","","",""
"PLAYSOUND","SQ_S12_LoreText_Ch03_VO_08 BOTTOM","","","",""
"b","","lifeline","surprised","#MISSION_03_08","l"
"","","","","",""
"PLAYSOUND","SQ_S12_LoreText_Ch03_SFX_06_SpiderRetreat","","","",""
"AMBIENTTRACK","SQ_S12_LoreText_Ch03_AMB_SpidersRetreat","","","",""
"","","","","",""
"t","","madmaggie","neutral","#MISSION_03_09","r"
"PLAYSOUND","SQ_S12_LoreText_Ch03_VO_09","","","",""
"","","","","",""
"t","","fuse","happy","#MISSION_03_10","r"
"PLAYSOUND","SQ_S12_LoreText_Ch03_VO_10","","","",""
"MUSICTRACK","SQ_S12_LoreText_Ch03_Music_02","","","",""
