"cmd","args","speaker","emotion","text","direction"
"","","","","",""
"","","","","",""
"// Lines that start with two forward slashes, like this one, are comments, and ignored by the system.","","","","",""
"// Pages are broken up by blank lines. Multiple blank lines in a row are ok.","","","","",""
"// Most pages just specify lines of dialog in any of 3 slots. TOP, CENTER, and BOTTOM lines. (Or T, C, and B for short.)","","","","",""
"// Some pages specify special commands, like changing the background, music, or displaying titles.","","","","",""
"","","","","",""
"","","","","",""
"BACKGROUND","loadscreen_lore_bg_IMC_interior_01","","","",""
"MUSICTRACK","SQ_S12_LoreText_Ch04_Music_01","","","",""
"AMBIENTTRACK","SQ_S12_LoreText_Ch04_AMB_Default","","","",""
"PLAYSOUND","SQ_S12_LoreText_Ch04_ChapterTitle","","","",""
"TITLE","#MISSION_PAGE_04","","","",""
"SUBTITLE","#MISSION_PAGE_TITLE_04","","","",""
"","","","","",""
"","","","","",""
"// narrator: Octane","","","","",""
"// location: Frontier Corps headquarters","","","","",""
"// go-live: 3-15-22","","","","",""
"","","","","",""
"c","","narrator","","#MISSION_04_01",""
"PLAYSOUND","SQ_S12_LoreText_Ch04_SFX_01_OctaneEnters","","","",""
"","","","","",""
"c","","narrator","","#MISSION_04_02",""
"","","","","",""
"c","","narrator","","#MISSION_04_03",""
"","","","","",""
"PLAYSOUND","SQ_S12_LoreText_Ch04_SFX_02_DoorShutsAndLocks","","","",""
"AMBIENTTRACK","SQ_S12_LoreText_Ch04_AMB_ServerRoom","","","",""
"","","","","",""
"c","","narrator","","#MISSION_04_04",""
"","","","","",""
"c","","narrator","","#MISSION_04_05",""
"","","","","",""
"PLAYSOUND","SQ_S12_LoreText_Ch04_SFX_03_PhoneRings","","","",""
"","","","","",""
"c","","narrator","","#MISSION_04_06",""
"","","","","",""
"t","","duardo","neutral","#MISSION_04_07","r"
"PLAYSOUND","SQ_S12_LoreText_Ch04_SFX_03_PhoneAnswered","","","",""
"PLAYSOUND","SQ_S12_LoreText_Ch04_VO_01","","","",""
"","","","","",""
"c","","narrator","","#MISSION_04_08",""
"","","","","",""
"t","","octane","happy","#MISSION_04_09","r"
"PLAYSOUND","SQ_S12_LoreText_Ch04_VO_02","","","",""
"","","","","",""
"t","","octane","happy","#MISSION_04_10","r"
"PLAYSOUND","SQ_S12_LoreText_Ch04_Stinger_01","","","",""
"b","","duardo","angry","#MISSION_04_11","l"
"","","","","",""
"t","","octane","fearful","#MISSION_04_12","r"
"PLAYSOUND","SQ_S12_LoreText_Ch04_VO_05","","","",""
"","","","","",""
"c","","narrator","","#MISSION_04_13",""
"MUSICTRACK","SQ_S12_LoreText_Ch04_Music_02","","","",""
"","","","","",""
"t","","duardo","happy","#MISSION_04_14","r"
"PLAYSOUND","SQ_S12_LoreText_Ch04_Stinger_02","","","",""
"","","","","",""
"c","","narrator","","#MISSION_04_15",""
"","","","","",""
"t","","octane","neutral","#MISSION_04_16","r"
"PLAYSOUND","SQ_S12_LoreText_Ch04_VO_08 BOTTOM","","","",""
"b","","duardo","neutral","#MISSION_04_17","l"
"","","","","",""
"PLAYSOUND","SQ_S12_LoreText_Ch04_SFX_04_ComputerBeep_01","","","",""
"","","","","",""
