"cmd","args","speaker","emotion","text","direction"
"","","","","",""
"","","","","",""
"// Lines that start with two forward slashes, like this one, are comments, and ignored by the system.","","","","",""
"// Pages are broken up by blank lines. Multiple blank lines in a row are ok.","","","","",""
"// Most pages just specify lines of dialog in any of 3 slots. TOP, CENTER, and BOTTOM lines. (Or T, C, and B for short.)","","","","",""
"// Some pages specify special commands, like changing the background, music, or displaying titles.","","","","",""
"// Look direction is defined by l (left) and r (right). This means characters can look either direction, despite being in the top or bottom","","","","",""
"","","","","",""
"BACKGROUND","loadscreen_s07bp_09","","","",""
"MUSICTRACK","SQ_S12_LoreText_Ch05_Music_01","","","",""
"AMBIENTTRACK","SQ_S12_LoreText_Ch05_AMB_Start","","","",""
"PLAYSOUND","SQ_S12_LoreText_Ch05_ChapterTitle","","","",""
"TITLE","#MISSION_PAGE_05","","","",""
"SUBTITLE","#MISSION_PAGE_TITLE_05","","","",""
"","","","","",""
"// narrator:","Octane","","","",""
"// location:","Olympus post the S12 Launch Trailer, and Psamathe (in Duardo's study)","","","",""
"// go-live:","","","","",""
"","","","","",""
"c","","narrator","","#MISSION_05_01",""
"","","","","",""
"c","","narrator","","#MISSION_05_02",""
"","","","","",""
"c","","narrator","","#MISSION_05_03",""
"PLAYSOUND","SQ_S12_LoreText_Ch05_Stinger_01","","","",""
"","","","","",""
"t","","lifeline","happy","#MISSION_05_04","r"
"PLAYSOUND","SQ_S12_LoreText_Ch05_VO_01","","","",""
"PLAYSOUND","SQ_S12_LoreText_Ch05_VO_02 BOTTOM","","","",""
"b","","octane","happy","#MISSION_05_05","l"
"","","","","",""
"t","","lifeline","surprised","#MISSION_05_06","r"
"PLAYSOUND","SQ_S12_LoreText_Ch05_Stinger_02","","","",""
"PLAYSOUND","SQ_S12_LoreText_Ch05_VO_03 BOTTOM","","","",""
"b","","octane","happy","#MISSION_05_07","l"
"","","","","",""
"t","","lifeline","fearful","#MISSION_05_08","r"
"PLAYSOUND","SQ_S12_LoreText_Ch05_VO_04 BOTTOM","","","",""
"b","","octane","happy","#MISSION_05_09","l"
"","","","","",""
"c","","narrator","","#MISSION_05_10",""
"","","","","",""
"t","","lifeline","angry","#MISSION_05_11","r"
"MUSICTRACK","SQ_S12_LoreText_Ch05_Music_02","","","",""
"PLAYSOUND","SQ_S12_LoreText_Ch05_Stinger_03","","","",""
"PLAYSOUND","SQ_S12_LoreText_Ch05_VO_05","","","",""
"PLAYSOUND","SQ_S12_LoreText_Ch05_VO_06 BOTTOM","","","",""
"b","","octane","surprised","#MISSION_05_12","l"
"","","","","",""
"t","","lifeline","angry","#MISSION_05_13","r"
"PLAYSOUND","SQ_S12_LoreText_Ch05_VO_07 BOTTOM","","","",""
"b","","octane","happy","#MISSION_05_14","l"
"","","","","",""
"t","","octane","happy","#MISSION_05_15","r"
"PLAYSOUND","SQ_S12_LoreText_Ch05_Stinger_04","","","",""
"PLAYSOUND","SQ_S12_LoreText_Ch05_VO_10 BOTTOM","","","",""
"b","","lifeline","angry","#MISSION_05_16","l"
"","","","","",""
"c","","narrator","","#MISSION_05_17",""
"MUSICTRACK","SQ_S12_LoreText_Ch05_Music_03","","","",""
"","","","","",""
