"cmd","args","speaker","emotion","text","direction"
"","","","","",""
"","","","","",""
"// Lines that start with two forward slashes, like this one, are comments, and ignored by the system.","","","","",""
"// Pages are broken up by blank lines. Multiple blank lines in a row are ok.","","","","",""
"// Most pages just specify lines of dialog in any of 3 slots. TOP, CENTER, and BOTTOM lines. (Or T, C, and B for short.)","","","","",""
"// Some pages specify special commands, like changing the background, music, or displaying titles.","","","","",""
"","","","","",""
"","","","","",""
"BACKGROUND","loadscreen_s05bp_06","","","",""
"MUSICTRACK","SQ_S12_LoreText_Ch06_Music_01","","","",""
"AMBIENTTRACK","SQ_S12_LoreText_Ch06_AMB_SilvaRoom","","","",""
"PLAYSOUND","SQ_S12_LoreText_Ch06_ChapterTitle","","","",""
"TITLE","#MISSION_PAGE_06","","","",""
"SUBTITLE","#MISSION_PAGE_TITLE_06","","","",""
"","","","","",""
"c","","narrator","","#MISSION_06_01",""
"","","","","",""
"c","","narrator","","#MISSION_06_02",""
"","","","","",""
"c","","narrator","","#MISSION_06_03",""
"PLAYSOUND","SQ_S12_LoreText_Ch06_Stinger_01","","","",""
"","","","","",""
"t","","lifeline","angry","#MISSION_06_04","r"
"PLAYSOUND","SQ_S12_LoreText_Ch06_VO_01","","","",""
"PLAYSOUND","SQ_S12_LoreText_Ch06_VO_02 BOTTOM","","","",""
"b","","octane","angry","#MISSION_06_05","l"
"","","","","",""
"t","","lifeline","angry","#MISSION_06_06","r"
"PLAYSOUND","SQ_S12_LoreText_Ch06_VO_03 BOTTOM","","","",""
"b","","octane","sad","#MISSION_06_07","l"
"","","","","",""
"c","","narrator","","#MISSION_06_08",""
"","","","","",""
"t","","lifeline","neutral","#MISSION_06_09","r"
"PLAYSOUND","SQ_S12_LoreText_Ch06_VO_04","","","",""
"PLAYSOUND","SQ_S12_LoreText_Ch06_Stinger_02 BOTTOM","","","",""
"b","","octane","sad","#MISSION_06_10","l"
"","","","","",""
"t","","lifeline","angry","#MISSION_06_11","r"
"MUSICTRACK","SQ_S12_LoreText_Ch06_Music_02","","","",""
"PLAYSOUND","SQ_S12_LoreText_Ch06_VO_06 BOTTOM","","","",""
"b","","octane","angry","#MISSION_06_12","l"
"","","","","",""
"t","","lifeline","neutral","#MISSION_06_13","r"
"PLAYSOUND","SQ_S12_LoreText_Ch06_VO_05","","","",""
"b","","octane","neutral","#MISSION_06_14","l"
"","","","","",""
"t","","lifeline","neutral","#MISSION_06_15","r"
"PLAYSOUND","SQ_S12_LoreText_Ch06_Stinger_03","","","",""
"PLAYSOUND","SQ_S12_LoreText_Ch06_VO_08 BOTTOM","","","",""
"b","","octane","neutral","#MISSION_06_16","l"
"","","","","",""
"t","","lifeline","angry","#MISSION_06_17","r"
"PLAYSOUND","SQ_S12_LoreText_Ch06_VO_11 BOTTOM","","","",""
"b","","octane","sad","#MISSION_06_18","l"
"","","","","",""
"t","","lifeline","neutral","#MISSION_06_19","r"
"PLAYSOUND","SQ_S12_LoreText_Ch06_VO_07","","","",""
"b","","octane","neutral","#MISSION_06_20","l"
"","","","","",""
"t","","lifeline","angry","#MISSION_06_21","r"
"PLAYSOUND","SQ_S12_LoreText_Ch06_VO_10 BOTTOM","","","",""
