"cmd","args","speaker","emotion","text","direction"
"","","","","",""
"","","","","",""
"// Lines that start with two forward slashes, like this one, are comments, and ignored by the system.","","","","",""
"// Pages are broken up by blank lines. Multiple blank lines in a row are ok.","","","","",""
"// Most pages just specify lines of dialog in any of 3 slots. TOP, CENTER, and BOTTOM lines. (Or T, C, and B for short.)","","","","",""
"// Some pages specify special commands, like changing the background, music, or displaying titles.","","","","",""
"","","","","",""
"","","","","",""
"BACKGROUND","loadscreen_s05bp_06","","","",""
"MUSICTRACK","SQ_S12_LoreText_Ch07_Music_01","","","",""
"AMBIENTTRACK","SQ_S12_LoreText_Ch07_AMB_Intro","","","",""
"PLAYSOUND","SQ_S12_LoreText_Ch07_ChapterTitle","","","",""
"TITLE","#MISSION_PAGE_07","","","",""
"SUBTITLE","#MISSION_PAGE_TITLE_07","","","",""
"","","","","",""
"","","","","",""
"AMBIENTTRACK","SQ_S12_LoreText_Ch07_SFX_Duardo_CrowdLoop_A_LP","","","",""
"PLAYSOUND","SQ_S12_LoreText_Ch07_SFX_PhotoFlashes_A","","","",""
"c","","narrator","","#MISSION_07_01",""
"","","","","",""
"c","","narrator","","#MISSION_07_02",""
"","","","","",""
"c","","narrator","","#MISSION_07_03",""
"","","","","",""
"PLAYSOUND","SQ_S12_LoreText_Ch07_SFX_CrowdCheersClap_C_Layer","","","",""
"c","","narrator","","#MISSION_07_04",""
"","","","","",""
"c","","narrator","","#MISSION_07_05",""
"","","","","",""
"c","","narrator","","#MISSION_07_06",""
"","","","","",""
"c","","narrator","","#MISSION_07_07",""
"PLAYSOUND","SQ_S12_LoreText_Ch07_Stinger_01","","","",""
"","","","","",""
"t","","duardo","happy","#MISSION_07_08","r"
"MUSICTRACK","SQ_S12_LoreText_Ch07_Music_02","","","",""
"PLAYSOUND","SQ_S12_LoreText_Ch07_VO_01","","","",""
"AMBIENTTRACK","SQ_S12_LoreText_Ch07_SFX_CrowdCheersClaps_B_LP","","","",""
"PLAYSOUND","SQ_S12_LoreText_Ch07_SFX_CrowdCheersClap_A","","","",""
"PLAYSOUND","SQ_S12_LoreText_Ch07_SFX_Duardo_Chant_OneShot","","","",""
"","","","","",""
"t","","duardo","neutral","#MISSION_07_09","r"
"PLAYSOUND","SQ_S12_LoreText_Ch07_SFX_CrowdCheersClap_D_Layer","","","",""
"","","","","",""
"t","","duardo","neutral","#MISSION_07_10","r"
"","","","","",""
"t","","duardo","neutral","#MISSION_07_11","r"
"PLAYSOUND","SQ_S12_LoreText_Ch07_SFX_CrowdCheers_A","","","",""
"","","","","",""
"c","","narrator","","#MISSION_07_12",""
"","","","","",""
"t","","duardo","happy","#MISSION_07_13","r"
"MUSICTRACK","SQ_S12_LoreText_Ch07_Music_03","","","",""
"PLAYSOUND","SQ_S12_LoreText_Ch07_VO_02","","","",""
"PLAYSOUND","SQ_S12_LoreText_Ch07_SFX_CrowdCheersClap_D","","","",""
"","","","","",""
"t","","duardo","happy","#MISSION_07_14","r"
"PLAYSOUND","SQ_S12_LoreText_Ch07_SFX_CrowdCheers_B","","","",""
"","","","","",""
"t","","duardo","happy","#MISSION_07_15","r"
"","","","","",""
