"cmd","args","speaker","emotion","text","direction"
"","","","","",""
"","","","","",""
"// Lines that start with two forward slashes, like this one, are comments, and ignored by the system.","","","","",""
"// Pages are broken up by blank lines. Multiple blank lines in a row are ok.","","","","",""
"// Most pages just specify lines of dialog in any of 3 slots. TOP, CENTER, and BOTTOM lines. (Or T, C, and B for short.)","","","","",""
"// Some pages specify special commands, like changing the background, music, or displaying titles.","","","","",""
"// Look direction is defined by l (left) and r (right). This means characters can look either direction, despite being in the top or bottom","","","","",""
"","","","","",""
"BACKGROUND","loadscreen_s13quest_01","","","",""
"MUSICTRACK","SQ_S13_LoreText_Ch01_Music_01","","","",""
"AMBIENTTRACK","SQ_S13_LoreText_Ch01_AMB_Default","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch01_ChapterTitle","","","",""
"TITLE","#MISSION_PAGE_01","","","",""
"SUBTITLE","#MISSION_PAGE_TITLE_01","","","",""
"","","","","",""
"// narrator:","Wraith","","","",""
"// location:","Shipfall on Storm Point","","","",""
"// go-live:","10-May","","","",""
"","","","","",""
"","","","","",""
"c","","narrator","","#MISSION_01_01",""
"","","","","",""
"c","","narrator","","#MISSION_01_02",""
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch01_Stinger_01","","","",""
"c","","narrator","","#MISSION_01_03",""
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch01_SFX_MirageFootstepsEnter","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch01_VO_01","","","",""
"t","","mirage","happy","#MISSION_01_04","r"
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch01_VO_02","","","",""
"t","","wraith","neutral","#MISSION_01_05","r"
"b","","mirage","happy","#MISSION_01_06","l"
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch01_VO_15","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch01_SFX_MirageWraithFootstepsExit","","","",""
"t","","mirage","happy","#MISSION_01_07","r"
"b","","wraith","neutral","#MISSION_01_08","l"
"","","","","",""
"","","","","",""
"t","","wraith","surprised","#MISSION_01_09","r"
"","","","","",""
"c","","narrator","","#MISSION_01_10",""
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch04_SFX_BangalorePunchNewcastle","","","",""
"t","","bangalore","angry","#MISSION_01_10_1","r"
"b","","newcastle","angry","#MISSION_01_10_2","l"
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch01_SFX_WraithFootstepsAbruptStop","","","",""
"MUSICTRACK","SQ_S13_LoreText_Ch01_Music_02","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch01_Stinger_05","","","",""
"c","","narrator","","#MISSION_01_11",""
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch01_VO_04","","","",""
"t","","bangalore","angry","#MISSION_01_12","r"
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch01_VO_05","","","",""
"t","","mirage","happy","#MISSION_01_13","r"
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch01_SFX_MirageCloakingActivate","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch01_VO_06","","","",""
