"cmd","args","speaker","emotion","text","direction"
"","","","","",""
"","","","","",""
"// Lines that start with two forward slashes, like this one, are comments, and ignored by the system.","","","","",""
"// Pages are broken up by blank lines. Multiple blank lines in a row are ok.","","","","",""
"// Most pages just specify lines of dialog in any of 3 slots. TOP, CENTER, and BOTTOM lines. (Or T, C, and B for short.)","","","","",""
"// Some pages specify special commands, like changing the background, music, or displaying titles.","","","","",""
"// Look direction is defined by l (left) and r (right). This means characters can look either direction, despite being in the top or bottom","","","","",""
"","","","","",""
"BACKGROUND","loadscreen_006","","","",""
"MUSICTRACK","SQ_S13_LoreText_Ch02_Music_01","","","",""
"AMBIENTTRACK","SQ_S13_LoreText_Ch02_AMB_Default","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch02_ChapterTitle","","","",""
"TITLE","#MISSION_PAGE_02","","","",""
"SUBTITLE","#MISSION_PAGE_TITLE_02","","","",""
"","","","","",""
"// narrator:","Mirage","","","",""
"// location:","Paradise Lounge","","","",""
"// go-live:","17-May","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"c","","narrator","","#MISSION_02_01",""
"","","","","",""
"c","","narrator","","#MISSION_02_02",""
"","","","","",""
"c","","narrator","","#MISSION_02_03",""
"","","","","",""
"c","","narrator","","#MISSION_02_04",""
"","","","","",""
"c","","narrator","","#MISSION_02_05",""
"","","","","",""
"t","","mercenary","","#MISSION_02_06",""
"b","","mirage","happy","#MISSION_02_07","l"
"PLAYSOUND","SQ_S13_LoreText_Ch02_VO_01 BOTTOM","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch02_Stinger_07 BOTTOM","","","",""
"","","","","",""
"t","","mercenary","","#MISSION_02_08",""
"","","","","",""
"t","","mercenary","","#MISSION_02_09","r"
"b","","mirage","neutral","#MISSION_02_10","l"
"PLAYSOUND","SQ_S13_LoreText_Ch02_VO_08 BOTTOM","","","",""
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch02_Stinger_01","","","",""
"t","","mercenary","","#MISSION_02_11",""
"","","","","",""
"c","","narrator","","#MISSION_02_12",""
"","","","","",""
"t","","mirage","neutral","#MISSION_02_13","r"
"b","","mercenary","","#MISSION_02_14",""
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch02_Stinger_08","","","",""
"t","","mercenary","","#MISSION_02_15",""
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch02_Stinger_02","","","",""
"c","","narrator","","#MISSION_02_16",""
"","","","","",""
"c","","narrator","","#MISSION_02_17",""
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch02_VO_09","","","",""
"t","","mirage","happy","#MISSION_02_18","r"
"b","","mercenary","","#MISSION_02_19",""
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch02_VO_02","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch02_Stinger_09","","","",""
"t","","mirage","fearful","#MISSION_02_20","r"
"b","","mercenary","","#MISSION_02_21",""
"","","","","",""
"t","","mercenary","","#MISSION_02_22",""
"","","","","",""
"t","","mercenary","","#MISSION_02_23",""
"b","","mirage","neutral","#MISSION_02_24","l"
"","","","","",""
"t","","mercenary","","#MISSION_02_25",""
