"cmd","args","speaker","emotion","text","direction"
"","","","","",""
"","","","","",""
"// Lines that start with two forward slashes, like this one, are comments, and ignored by the system.","","","","",""
"// Pages are broken up by blank lines. Multiple blank lines in a row are ok.","","","","",""
"// Most pages just specify lines of dialog in any of 3 slots. TOP, CENTER, and BOTTOM lines. (Or T, C, and B for short.)","","","","",""
"// Some pages specify special commands, like changing the background, music, or displaying titles.","","","","",""
"// Look direction is defined by l (left) and r (right). This means characters can look either direction, despite being in the top or bottom","","","","",""
"","","","","",""
"BACKGROUND","loadscreen_s13quest_02","","","",""
"MUSICTRACK","SQ_S13_LoreText_Ch03_Music_01","","","",""
"AMBIENTTRACK","SQ_S13_LoreText_Ch03_AMB_Default","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch03_ChapterTitle","","","",""
"TITLE","#MISSION_PAGE_03","","","",""
"SUBTITLE","#MISSION_PAGE_TITLE_03","","","",""
"","","","","",""
"// narrator:","Wraith","","","",""
"// location:","Harris Valley Warehouse","","","",""
"// go-live:","24-May","","","",""
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch03_SFX_DistantVoices","","","",""
"c","","narrator","","#MISSION_03_01",""
"","","","","",""
"c","","narrator","","#MISSION_03_02",""
"","","","","",""
"c","","narrator","","#MISSION_03_03",""
"","","","","",""
"c","","narrator","","#MISSION_03_04",""
"","","","","",""
"c","","narrator","","#MISSION_03_05",""
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch03_VO_01","","","",""
"t","","mirage","fearful","#MISSION_03_06","r"
"","","","","",""
"c","","narrator","","#MISSION_03_07",""
"","","","","",""
"t","","wraith","neutral","#MISSION_03_08","r"
"","","","","",""
"c","","narrator","","#MISSION_03_09",""
"","","","","",""
"c","","narrator","","#MISSION_03_10",""
"","","","","",""
"MUSICTRACK","SQ_S13_LoreText_Ch03_Music_02","","","",""
"t","","mirage","neutral","#MISSION_03_11","r"
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch03_SFX_NewcastleEnterWarehouse","","","",""
"","","","","",""
"c","","narrator","","#MISSION_03_12",""
"","","","","",""
"t","","headmercenary","neutral","#MISSION_03_13","r"
"b","","newcastle","neutral","#MISSION_03_14","l"
"","","","","",""
"c","","narrator","","#MISSION_03_15",""
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch03_VO_02","","","",""
"t","","wraith","angry","#MISSION_03_16","r"
"b","","mirage","fearful","#MISSION_03_17","l"
"PLAYSOUND","SQ_S13_LoreText_Ch03_VO_03 BOTTOM","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch03_Stinger_02 BOTTOM","","","",""
"","","","","",""
"MUSICTRACK","SQ_S13_LoreText_Ch03_Music_03","","","",""
"c","","narrator","","#MISSION_03_18",""
"","","","","",""
"t","","wraith","neutral","#MISSION_03_19","r"
"","","","","",""
"c","","narrator","","#MISSION_03_20",""
"","","","","",""
"MUSICTRACK","SQ_S13_LoreText_Ch03_Music_04","","","",""
"t","","headmercenary","neutral","#MISSION_03_21","r"
"PLAYSOUND","SQ_S13_LoreText_Ch03_Stinger_03","","","",""
"","","","","",""
