"cmd","args","speaker","emotion","text","direction"
"","","","","",""
"","","","","",""
"// Lines that start with two forward slashes, like this one, are comments, and ignored by the system.","","","","",""
"// Pages are broken up by blank lines. Multiple blank lines in a row are ok.","","","","",""
"// Most pages just specify lines of dialog in any of 3 slots. TOP, CENTER, and BOTTOM lines. (Or T, C, and B for short.)","","","","",""
"// Some pages specify special commands, like changing the background, music, or displaying titles.","","","","",""
"// Look direction is defined by l (left) and r (right). This means characters can look either direction, despite being in the top or bottom","","","","",""
"","","","","",""
"BACKGROUND","loadscreen_s13quest_01","","","",""
"MUSICTRACK","","","","",""
"AMBIENTTRACK","SQ_S13_LoreText_Ch04_AMB_Shipfall","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch04_ChapterTitle","","","",""
"TITLE","#MISSION_PAGE_04","","","",""
"SUBTITLE","#MISSION_PAGE_TITLE_04","","","",""
"","","","","",""
"// narrator:","Bangalore","","","",""
"// location:","Shipfall on Storm Point, Harris Valley, and Harris Valley Warehouse","","","",""
"// go-live:","31-May","","","",""
"","","","","",""
"MUSICTRACK","SQ_S13_LoreText_Ch04_Music_01","","","",""
"c","","narrator","","#MISSION_04_01",""
"","","","","",""
"c","","narrator","","#MISSION_04_02",""
"","","","","",""
"c","","narrator","","#MISSION_04_03",""
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch04_SFX_BangalorePunchNewcastle","","","",""
"","","","","",""
"t","","bangalore","neutral","#MISSION_04_04","r"
"b","","newcastle","angry","#MISSION_04_05","l"
"PLAYSOUND","SQ_S13_LoreText_Ch04_VO_01 BOTTOM","","","",""
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch04_VO_02","","","",""
"t","","bangalore","angry","#MISSION_04_06","r"
"b","","newcastle","neutral","#MISSION_04_07","l"
"","","","","",""
"t","","bangalore","neutral","#MISSION_04_08","r"
"b","","newcastle","sad","#MISSION_04_09","l"
"PLAYSOUND","SQ_S13_LoreText_Ch04_VO_03 BOTTOM","","","",""
"","","","","",""
"t","","bangalore","fearful","#MISSION_04_10","r"
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch04_VO_04","","","",""
"t","","newcastle","angry","#MISSION_04_11","r"
"PLAYSOUND","SQ_S13_LoreText_Ch04_Stinger_01","","","",""
"","","","","",""
"t","","bangalore","surprised","#MISSION_04_12","r"
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch04_VO_05","","","",""
"t","","bangalore","angry","#MISSION_04_13","r"
"","","","","",""
"c","","narrator","","#MISSION_04_14",""
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch04_Stinger_06","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch04_SFX_Bracelet","","","",""
"MUSICTRACK","SQ_S13_LoreText_Ch04_Music_02","","","",""
"t","","newcastle","neutral","#MISSION_04_15","r"
"b","","bangalore","fearful","#MISSION_04_16","l"
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch04_SFX_PhoneRing","","","",""
"t","","newcastle","sad","#MISSION_04_17","r"
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch04_SFX_NewcastleExit","","","",""
