"cmd","args","speaker","emotion","text","direction"
"","","","","",""
"","","","","",""
"// Lines that start with two forward slashes, like this one, are comments, and ignored by the system.","","","","",""
"// Pages are broken up by blank lines. Multiple blank lines in a row are ok.","","","","",""
"// Most pages just specify lines of dialog in any of 3 slots. TOP, CENTER, and BOTTOM lines. (Or T, C, and B for short.)","","","","",""
"// Some pages specify special commands, like changing the background, music, or displaying titles.","","","","",""
"// Look direction is defined by l (left) and r (right). This means characters can look either direction, despite being in the top or bottom","","","","",""
"","","","","",""
"BACKGROUND","loadscreen_s13quest_02","","","",""
"MUSICTRACK","SQ_S13_LoreText_Ch05_Music_01","","","",""
"AMBIENTTRACK","SQ_S13_LoreText_Ch05_AMB_Default","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch05_ChapterTitle","","","",""
"TITLE","#MISSION_PAGE_05","","","",""
"SUBTITLE","#MISSION_PAGE_TITLE_05","","","",""
"","","","","",""
"","","","","",""
"c","","narrator","","#MISSION_05_01",""
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch05_Stinger_01","","","",""
"t","","mercenary","","#MISSION_05_02",""
"","","","","",""
"c","","narrator","","#MISSION_05_03",""
"","","","","",""
"MUSICTRACK","SQ_S13_LoreText_Ch05_Music_02","","","",""
"t","","mercenary","","#MISSION_05_04",""
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch05_SFX_GatlingGunWindUp_01","","","",""
"c","","narrator","","#MISSION_05_05",""
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch05_SFX_WraithBangalorePortal","","","",""
"c","","narrator","","#MISSION_05_06",""
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch05_SFX_GatlingGunFire_01","","","",""
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch05_VO_02","","","",""
"t","","bangalore","angry","#MISSION_05_07","r"
"b","","wraith","neutral","#MISSION_05_08","l"
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch05_SFX_WoodSplinters","","","",""
"c","","narrator","","#MISSION_05_09",""
"","","","","",""
"t","","bangalore","neutral","#MISSION_05_10","r"
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch05_SFX_GatlingGunWindDown","","","",""
"c","","narrator","","#MISSION_05_11",""
"","","","","",""
"t","","bangalore","neutral","#MISSION_05_12","r"
"","","","","",""
"c","","narrator","","#MISSION_05_13",""
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch05_SFX_BangaloreWraithFight","","","",""
"c","","narrator","","#MISSION_05_14",""
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch05_VO_03","","","",""
"t","","bangalore","angry","#MISSION_05_15","r"
"b","","wraith","angry","#MISSION_05_16","l"
"PLAYSOUND","SQ_S13_LoreText_Ch05_VO_04 BOTTOM","","","",""
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch05_SFX_WraithFight","","","",""
"c","","narrator","","#MISSION_05_17",""
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch05_VO_05","","","",""
"t","","bangalore","angry","#MISSION_05_18","r"
"","","","","",""
"c","","narrator","","#MISSION_05_19",""
"","","","","",""
