"cmd","args","speaker","emotion","text","direction"
"","","","","",""
"","","","","",""
"// Lines that start with two forward slashes, like this one, are comments, and ignored by the system.","","","","",""
"// Pages are broken up by blank lines. Multiple blank lines in a row are ok.","","","","",""
"// Most pages just specify lines of dialog in any of 3 slots. TOP, CENTER, and BOTTOM lines. (Or T, C, and B for short.)","","","","",""
"// Some pages specify special commands, like changing the background, music, or displaying titles.","","","","",""
"// Look direction is defined by l (left) and r (right). This means characters can look either direction, despite being in the top or bottom","","","","",""
"","","","","",""
"BACKGROUND","loadscreen_s13quest_02","","","",""
"MUSICTRACK","SQ_S13_LoreText_Ch06_Music_01","","","",""
"AMBIENTTRACK","SQ_S13_LoreText_Ch06_AMB_Default","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch06_ChapterTitle","","","",""
"TITLE","#MISSION_PAGE_06","","","",""
"SUBTITLE","#MISSION_PAGE_TITLE_06","","","",""
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch06_SFX_GroupFight","","","",""
"c","","narrator","","#MISSION_06_01",""
"","","","","",""
"c","","narrator","","#MISSION_06_02",""
"","","","","",""
"c","","narrator","","#MISSION_06_03",""
"","","","","",""
"c","","narrator","","#MISSION_06_04",""
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch06_SFX_Gunfire_01","","","",""
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch06_VO_02","","","",""
"MUSICTRACK","SQ_S13_LoreText_Ch06_Music_02","","","",""
"t","","mirage","surprised","#MISSION_06_05","r"
"","","","","",""
"t","","mirage","neutral","#MISSION_06_06","r"
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch06_SFX_Gunfire_03","","","",""
"t","","wraith","neutral","#MISSION_06_07","r"
"b","","bangalore","angry","#MISSION_06_08","l"
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch06_SFX_MirageGetsPunched","","","",""
"t","","mirage","neutral","#MISSION_06_09","r"
"","","","","",""
"c","","narrator","","#MISSION_06_10",""
"","","","","",""
"MUSICTRACK","SQ_S13_LoreText_Ch06_Music_03","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch06_Stinger_07","","","",""
"c","","narrator","","#MISSION_06_11",""
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch06_SFX_GatlingGunWindUp_01","","","",""
"c","","narrator","","#MISSION_06_12",""
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch06_Stinger_01","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch06_VO_03","","","",""
"MUSICTRACK","SQ_S13_LoreText_Ch06_Music_04","","","",""
"t","","mirage","surprised","#MISSION_06_13","r"
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch06_SFX_MirageDiveTackle","","","",""
"c","","narrator","","#MISSION_06_14",""
"","","","","",""
"c","","narrator","","#MISSION_06_15",""
"","","","","",""
"t","","mirage","neutral","#MISSION_06_16","r"
"b","","bangalore","angry","#MISSION_06_17","l"
"PLAYSOUND","SQ_S13_LoreText_Ch06_VO_04 BOTTOM","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch06_Stinger_02 BOTTOM","","","",""
