"cmd","args","speaker","emotion","text","direction"
"","","","","",""
"","","","","",""
"// Lines that start with two forward slashes, like this one, are comments, and ignored by the system.","","","","",""
"// Pages are broken up by blank lines. Multiple blank lines in a row are ok.","","","","",""
"// Most pages just specify lines of dialog in any of 3 slots. TOP, CENTER, and BOTTOM lines. (Or T, C, and B for short.)","","","","",""
"// Some pages specify special commands, like changing the background, music, or displaying titles.","","","","",""
"// Look direction is defined by l (left) and r (right). This means characters can look either direction, despite being in the top or bottom","","","","",""
"","","","","",""
"BACKGROUND","loadscreen_s13quest_03","","","",""
"MUSICTRACK","SQ_S13_LoreText_Ch07_Music_01","","","",""
"AMBIENTTRACK","SQ_S13_LoreText_Ch07_AMB_Default","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch07_ChapterTitle","","","",""
"TITLE","#MISSION_PAGE_07","","","",""
"SUBTITLE","#MISSION_PAGE_TITLE_07","","","",""
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch07_SFX_BangaloreWalking","","","",""
"c","","narrator","","#MISSION_07_01",""
"","","","","",""
"c","","narrator","","#MISSION_07_02",""
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch07_Stinger_01","","","",""
"c","","narrator","","#MISSION_07_03",""
"","","","","",""
"c","","narrator","","#MISSION_07_04",""
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch07_SFX_WraithRun","","","",""
"t","","wraith","neutral","#MISSION_07_05","r"
"","","","","",""
"c","","narrator","","#MISSION_07_06",""
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch07_VO_05","","","",""
"t","","bangalore","angry","#MISSION_07_07","r"
"b","","wraith","neutral","#MISSION_07_08","l"
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch07_VO_06","","","",""
"t","","wraith","sad","#MISSION_07_09","r"
"","","","","",""
"t","","wraith","neutral","#MISSION_07_10","r"
"b","","bangalore","neutral","#MISSION_07_11","l"
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch07_VO_01","","","",""
"t","","wraith","neutral","#MISSION_07_12","r"
"","","","","",""
"t","","wraith","neutral","#MISSION_07_13","r"
"b","","bangalore","neutral","#MISSION_07_14","l"
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch07_Stinger_08","","","",""
"c","","narrator","","#MISSION_07_15",""
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch07_VO_02","","","",""
"t","","bangalore","neutral","#MISSION_07_16","r"
"","","","","",""
"t","","bangalore","neutral","#MISSION_07_17","r"
"","","","","",""
"c","","narrator","","#MISSION_07_18",""
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch07_SFX_BangaloreWraithWalk","","","",""
"AMBIENTTRACK","SQ_S13_LoreText_Ch07_AMB_Backyard_Party","","","",""
"MUSICTRACK","SQ_S13_LoreText_Ch07_Music_02","","","",""
"c","","narrator","","#MISSION_07_19",""
"","","","","",""
"c","","narrator","","#MISSION_07_20",""
"","","","","",""
"c","","narrator","","#MISSION_07_21",""
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch07_SFX_WraithStepsForward","","","",""
"","","","","",""
