"cmd","args","speaker","emotion","text","direction"
"","","","","",""
"","","","","",""
"// Lines that start with two forward slashes, like this one, are comments, and ignored by the system.","","","","",""
"// Pages are broken up by blank lines. Multiple blank lines in a row are ok.","","","","",""
"// Most pages just specify lines of dialog in any of 3 slots. TOP, CENTER, and BOTTOM lines. (Or T, C, and B for short.)","","","","",""
"// Some pages specify special commands, like changing the background, music, or displaying titles.","","","","",""
"// Look direction is defined by l (left) and r (right). This means characters can look either direction, despite being in the top or bottom","","","","",""
"","","","","",""
"BACKGROUND","loadscreen_s03bp_11","","","",""
"MUSICTRACK","SQ_S13_LoreText_Ch08_Music_01","","","",""
"AMBIENTTRACK","SQ_S13_LoreText_Ch08_AMB_Default","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch08_ChapterTitle","","","",""
"TITLE","#MISSION_PAGE_08","","","",""
"SUBTITLE","#MISSION_PAGE_TITLE_08","","","",""
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch08_SFX_WraithWalkDropship","","","",""
"c","","narrator","","#MISSION_08_01",""
"","","","","",""
"c","","narrator","","#MISSION_08_02",""
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch08_VO_01","","","",""
"t","","mirage","happy","#MISSION_08_03","r"
"","","","","",""
"c","","narrator","","#MISSION_08_04",""
"","","","","",""
"c","","narrator","","#MISSION_08_05",""
"","","","","",""
"t","","wraith","neutral","#MISSION_08_06","r"
"b","","mirage","fearful","#MISSION_08_07","l"
"PLAYSOUND","SQ_S13_LoreText_Ch08_VO_02 BOTTOM","","","",""
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch08_VO_03","","","",""
"t","","wraith","sad","#MISSION_08_08","r"
"","","","","",""
"t","","mirage","neutral","#MISSION_08_09","r"
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch08_Stinger_01","","","",""
"c","","narrator","","#MISSION_08_10",""
"","","","","",""
"t","","mirage","neutral","#MISSION_08_11","r"
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch08_SFX_PaperSlide","","","",""
"c","","narrator","","#MISSION_08_12",""
"","","","","",""
"t","","mirage","neutral","#MISSION_08_13","r"
"","","","","",""
"c","","narrator","","#MISSION_08_14",""
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch08_Stinger_02","","","",""
"MUSICTRACK","SQ_S13_LoreText_Ch08_Music_02","","","",""
"c","","narrator","","#MISSION_08_15",""
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch08_VO_04","","","",""
"t","","mirage","happy","#MISSION_08_16","r"
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch08_Stinger_03","","","",""
"c","","narrator","","#MISSION_08_17",""
"","","","","",""
"c","","narrator","","#MISSION_08_18",""
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch08_VO_05","","","",""
"t","","mirage","sad","#MISSION_08_19","r"
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch08_SFX_WraithFlipPages","","","",""
"c","","narrator","","#MISSION_08_20",""
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch08_Stinger_04","","","",""
"t","","mirage","neutral","#MISSION_08_21","r"
"","","","","",""
"c","","narrator","","#MISSION_08_22",""
"","","","","",""
"c","","narrator","","#MISSION_08_23",""
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch08_Stinger_05","","","",""
"c","","narrator","","#MISSION_08_24",""
"","","","","",""
"c","","narrator","","#MISSION_08_END",""
"string","string","string","string","string","string"
