"featureFlag","name","alias","priority","perspective","canPlayIfSolo","legendFlavors","radioDisplayName","team","radioIntercept","vduVideo","dialogue"
"xx","bc_bloodhound_storyOfTheHunt_01","diag_mp_bloodhound_tt_01a_%perspective%",36,"",true,"","","",false,"",""
"xx","bc_bloodhound_storyOfTheHunt_02","diag_mp_bloodhound_tt_01b_%perspective%",36,"",true,"","","",false,"",""
"xx","bc_bloodhound_storyOfTheHunt_03","diag_mp_bloodhound_tt_01c_%perspective%",36,"",true,"","","",false,"",""
"xx","bc_bloodhound_storyOfTheWeapon_01","diag_mp_bloodhound_tt_02a_%perspective%",36,"",true,"","","",false,"",""
"xx","bc_bloodhound_storyOfTheWeapon_02","diag_mp_bloodhound_tt_02b_%perspective%",36,"",true,"","","",false,"",""
"xx","bc_bloodhound_storyOfTheWeapon_03","diag_mp_bloodhound_tt_02c_%perspective%",36,"",true,"","","",false,"",""
"xx","bc_bloodhound_storyOfTheGuide_01","diag_mp_bloodhound_tt_03a_%perspective%",36,"",true,"","","",false,"",""
"xx","bc_bloodhound_storyOfTheGuide_02","diag_mp_bloodhound_tt_03b_%perspective%",36,"",true,"","","",false,"",""
"xx","bc_bloodhound_storyOfTheGuide_03","diag_mp_bloodhound_tt_03c_%perspective%",36,"",true,"","","",false,"",""
"xx","bc_bloodhound_storyOfTheGuide_04","diag_mp_bloodhound_tt_03d_%perspective%",36,"",true,"","","",false,"",""
"xx","bc_bloodhound_storyOfTheGuide_05","diag_mp_bloodhound_tt_03e_%perspective%",36,"",true,"","","",false,"",""
"xx","bc_bloodhound_storyOfTheGuide_06","diag_mp_bloodhound_tt_03f_%perspective%",36,"",true,"","","",false,"",""
"xx","bc_bloodhound_enterBloodTTArena","diag_mp_bloodhound_bc_btrJoinAnnounce_%perspective%",36,"",true,"","","",false,"",""
"string","string","string","int","string","bool","string","string","string","bool","asset_noprecache","string"
