"levelIndex","xpPerLevel","reward","rewardQty","premium","notes"
0,29500,"settings/itemflav/weapon_skin/r97/s04bp_legendary_01.rpak",1,true,""
0,0,"settings/itemflav/character_skin/lifeline/s04bp_rare_01.rpak",1,true,""
0,0,"settings/itemflav/character_skin/pathfinder/s04bp_rare_01.rpak",1,true,""
0,0,"settings/itemflav/character_skin/crypto/s04bp_rare_01.rpak",1,true,""
0,0,"settings/itemflav/xp_boost/battlepass_season04.rpak",1,true,""
1,29500,"settings/itemflav/gcard_tracker/revenant/season04_wins.rpak",1,false,""
1,0,"settings/itemflav/grx_currency/premium.rpak",50,true,""
2,29500,"settings/itemflav/gcard_tracker/crypto/season04_wins.rpak",1,false,""
2,0,"settings/itemflav/pack/cosmetic_rare.rpak",1,true,""
3,29500,"settings/itemflav/gcard_tracker/wattson/season04_wins.rpak",1,false,""
3,0,"settings/itemflav/xp_boost/battlepass_season04.rpak",1,true,""
4,29500,"settings/itemflav/gcard_tracker/pathfinder/season04_wins.rpak",1,false,""
4,0,"settings/itemflav/pack/cosmetic_legendary.rpak",1,true,""
5,29500,"settings/itemflav/gcard_tracker/bangalore/season04_wins.rpak",1,false,""
5,0,"settings/itemflav/grx_currency/premium.rpak",50,true,""
6,29500,"settings/itemflav/gcard_tracker/mirage/season04_wins.rpak",1,false,""
6,0,"settings/itemflav/weapon_charm/charm_apex_theme_v20_assim_pathfinder_koscreen01.rpak",1,true,""
7,29500,"settings/itemflav/gcard_tracker/caustic/season04_wins.rpak",1,false,""
7,0,"settings/itemflav/loadscreen/s04bp_10.rpak",1,true,""
8,29500,"settings/itemflav/gcard_tracker/wraith/season04_wins.rpak",1,false,""
8,0,"settings/itemflav/pack/cosmetic_rare.rpak",1,true,""
9,29500,"settings/itemflav/gcard_tracker/gibraltar/season04_wins.rpak",1,false,""
9,0,"settings/itemflav/grx_currency/premium.rpak",100,true,""
10,29500,"settings/itemflav/gcard_tracker/bloodhound/season04_wins.rpak",1,false,""
10,0,"settings/itemflav/weapon_skin/kraber/s04bp_rare_01.rpak",1,true,""
11,29500,"settings/itemflav/gcard_tracker/lifeline/season04_wins.rpak",1,false,""
11,0,"settings/itemflav/gcard_frame/gibraltar/s04bp_epic_01.rpak",1,true,""
12,29500,"settings/itemflav/gcard_tracker/octane/season04_wins.rpak",1,false,""
12,0,"settings/itemflav/skydive_emote/revenant/snake.rpak",1,true,""
13,29500,"settings/itemflav/xp_boost/battlepass_season04.rpak",1,true,""
14,29500,"settings/itemflav/pack/cosmetic_rare.rpak",1,false,""
14,0,"settings/itemflav/weapon_skin/hemlok/s04bp_rare_01.rpak",1,true,""
15,29500,"settings/itemflav/gcard_frame/wraith/s04bp_rare_01.rpak",1,true,""
16,29500,"settings/itemflav/loadscreen/s04bp_04.rpak",1,true,""
17,29500,"settings/itemflav/grx_currency/premium.rpak",100,true,""
18,29500,"settings/itemflav/pack/cosmetic_rare.rpak",1,false,""
18,0,"settings/itemflav/weapon_skin/eva/s04bp_rare_01.rpak",1,true,""
19,29500,"settings/itemflav/grx_currency/crafting.rpak",120,true,""
20,29500,"settings/itemflav/skydive_emote/octane/selfie.rpak",1,true,""
21,29500,"settings/itemflav/pack/cosmetic_rare.rpak",1,true,""
22,29500,"settings/itemflav/pack/cosmetic_rare.rpak",1,false,""
22,0,"settings/itemflav/weapon_skin/autopistol/s04bp_rare_01.rpak",1,true,""
23,29500,"settings/itemflav/xp_boost/battlepass_season04.rpak",1,true,""
24,29500,"settings/itemflav/character_skin/wraith/s04bp_legendary_01.rpak",1,true,""
25,29500,"settings/itemflav/grx_currency/crafting.rpak",120,true,""
26,29500,"settings/itemflav/pack/cosmetic_rare.rpak",1,false,""
26,0,"settings/itemflav/weapon_skin/dmr/s04bp_rare_01.rpak",1,true,""
27,29500,"settings/itemflav/weapon_charm/charm_apex_theme_v20_assim_prop_motherboard01.rpak",1,true,""
28,29500,"settings/itemflav/grx_currency/premium.rpak",100,true,""
29,29500,"settings/itemflav/skydive_emote/caustic/barrelroll.rpak",1,true,""
30,29500,"settings/itemflav/pack/cosmetic_rare.rpak",1,false,""
30,0,"settings/itemflav/weapon_skin/energy_ar/s04bp_rare_01.rpak",1,true,""
31,29500,"settings/itemflav/grx_currency/crafting.rpak",120,true,""
32,29500,"settings/itemflav/character_kill_quip/gibraltar/s04bp_rare_01.rpak",1,true,""
33,29500,"settings/itemflav/xp_boost/battlepass_season04.rpak",1,true,""
34,29500,"settings/itemflav/weapon_skin/alternator/s04bp_rare_01.rpak",1,true,""
35,29500,"settings/itemflav/loadscreen/s04bp_05.rpak",1,true,""
36,29500,"settings/itemflav/gcard_frame/pathfinder/s04bp_epic_01.rpak",1,true,""
37,29500,"settings/itemflav/gcard_frame/bloodhound/s04bp_rare_01.rpak",1,true,""
38,29500,"settings/itemflav/weapon_skin/pdw/s04bp_rare_01.rpak",1,true,""
39,29500,"settings/itemflav/character_kill_quip/revenant/s04bp_rare_01.rpak",1,true,""
40,29500,"settings/itemflav/grx_currency/crafting.rpak",120,true,""
41,29500,"settings/itemflav/loadscreen/s04bp_03.rpak",1,true,""
42,29500,"settings/itemflav/weapon_skin/mastiff/s04bp_rare_01.rpak",1,true,""
43,29500,"settings/itemflav/xp_boost/battlepass_season04.rpak",1,true,""
44,29500,"settings/itemflav/grx_currency/premium.rpak",100,true,""
45,29500,"settings/itemflav/skydive_emote/crypto/topgun.rpak",1,true,""
