"levelIndex","temp","xpPerLevel","reward","rewardQty","premium","notes","notes2"
0,"1",10,"settings/itemflav/character_skin/seer/s10bp_rarep_v21_mutate.rpak",1,true,"",""
0,"1",0,"settings/itemflav/character_skin/wattson/s10bp_rarep_v21_mutate.rpak",1,true,"",""
0,"1",0,"settings/itemflav/character_skin/gibraltar/s10bp_rarep_v21_mutate.rpak",1,true,"",""
0,"1",0,"settings/itemflav/weapon_skin/3030repeater/s10bp_lgnd_v21_mutate.rpak",1,true,"",""
0,"1",0,"settings/itemflav/xp_boost/battlepass_season10.rpak",1,true,"",""
0,"1",0,"settings/itemflav/loadscreen/s10bp_01.rpak",1,false,"",""
1,"2",10,"settings/itemflav/gcard_frame/seer/s10bp_epic_01.rpak",1,true,"",""
2,"3",10,"settings/itemflav/pack/cosmetic_legendary.rpak",1,true,"",""
3,"4",10,"settings/itemflav/musicpack/s10bp_season10.rpak",1,false,"",""
3,"4",0,"settings/itemflav/character_kill_quip/seer/s10bp_rare_01.rpak",1,true,"",""
4,"5",10,"settings/itemflav/grx_currency/premium.rpak",100,false,"",""
4,"5",0,"settings/itemflav/grx_currency/premium.rpak",100,true,"",""
5,"6",10,"settings/itemflav/xp_boost/battlepass_season10.rpak",1,true,"",""
5,"6",0,"settings/itemflav/weapon_skin/semipistol/s10bp_rare_v21_mutate.rpak",1,false,"",""
6,"7",10,"settings/itemflav/pack/cosmetic_rare.rpak",1,true,"",""
6,"7",0,"settings/itemflav/gcard_tracker/bangalore/s10bp_season10_wins.rpak",1,false,"",""
7,"8",10,"settings/itemflav/emote_icon/seer/s10bp_epic_v21_mutate.rpak",1,true,"",""
7,"8",0,"settings/itemflav/gcard_tracker/fuse/s10bp_season10_wins.rpak",1,false,"",""
8,"9",10,"settings/itemflav/weapon_charm/charm_apex_theme_v21_mutate_seer_crocodile01.rpak",1,true,"",""
8,"9",0,"settings/itemflav/gcard_tracker/loba/s10bp_season10_wins.rpak",1,false,"",""
9,"10",10,"settings/itemflav/loadscreen/s10bp_02.rpak",1,true,"",""
9,"10",0,"settings/itemflav/gcard_tracker/bangalore/s10bp_season10_kills.rpak",1,false,"",""
10,"11",10,"settings/itemflav/weapon_skin/dragon/s10bp_rare_v21_pariah.rpak",1,true,"",""
10,"11",0,"settings/itemflav/gcard_tracker/fuse/s10bp_season10_kills.rpak",1,false,"",""
11,"12",10,"settings/itemflav/grx_currency/crafting.rpak",120,true,"",""
11,"12",0,"settings/itemflav/gcard_tracker/loba/s10bp_season10_kills.rpak",1,false,"",""
