"featureFlag","name","alias","priority","perspective","canPlayIfSolo","legendFlavors","radioDisplayName","team","radioIntercept","vduVideo","dialogue"
"","bc_CynMU2Lore_Part1_a","diag_mp_crypto_bc_droneViewFeed_02_1p",100,"",true,"","","",false,"",""
"","bc_CynMU2Lore_Part1_b","diag_mp_crypto_bc_droneViewFeed_03_1p",100,"",true,"","","",false,"",""
"","bc_CynMU2Lore_Part1_c","diag_mp_crypto_bc_droneViewFeed_04_1p",100,"",true,"","","",false,"",""
"","bc_CynMU2Lore_Part2_a","diag_mp_crypto_bc_droneViewFeed_05_1p",100,"",true,"","","",false,"",""
"","bc_CynMU2Lore_Part2_b","diag_mp_crypto_bc_droneViewFeed_06_1p",100,"",true,"","","",false,"",""
"","bc_CynMU2Lore_Part2_c","diag_mp_crypto_bc_droneViewFeed_07_1p",100,"",true,"","","",false,"",""
"","bc_CynMU2Lore_Part3_a","diag_mp_crypto_bc_droneViewFeed_08_1p",100,"",true,"","","",false,"",""
"","bc_CynMU2Lore_Part3_b","diag_mp_crypto_bc_droneViewFeed_09_1p",100,"",true,"","","",false,"",""
"","bc_CynMU2Lore_Part3_c","diag_mp_crypto_bc_droneViewFeed_10_1p",100,"",true,"","","",false,"",""
"","bc_CynMU2Lore_Discover","diag_mp_crypto_bc_droneViewFeed_01_1p",35,"",true,"","","",false,"",""
"","bc_CynMU2Lore_SignOff","diag_mp_crypto_bc_droneViewFeed_11_1p",35,"",true,"","","",false,"",""
"string","string","string","int","string","bool","string","string","string","bool","asset_noprecache","string"
