"featureFlag","name","alias","priority","radioDisplayName","team","radioIntercept","vduVideo","dialogue","bucket","note"
"xx","Blood_Announcer_Challenge01","diag_mp_bloodhound_btr_challengeprowlerround1_02_3p",10,"#HOST_AI","TEAM_MILITIA",false,"","","",""
"xx","Blood_Announcer_Challenge02","diag_mp_bloodhound_btr_challengeprowlerround2_01_3p",10,"#HOST_AI","TEAM_MILITIA",false,"","","",""
"xx","Blood_Announcer_Challenge03","diag_mp_bloodhound_btr_challengeprowlerround3_01_3p",10,"#HOST_AI","TEAM_MILITIA",false,"","","",""
"xx","Blood_Announcer_ChallengeComplete_01","diag_mp_bloodhound_btr_challengeComplete_01_3p",10,"#HOST_AI","TEAM_MILITIA",false,"","","",""
"xx","Blood_Announcer_ChallengeComplete_02","diag_mp_bloodhound_btr_challengeComplete_02_3p",10,"#HOST_AI","TEAM_MILITIA",false,"","","",""
"xx","Blood_Announcer_ChallengeComplete_03","diag_mp_bloodhound_btr_challengeComplete_03_3p",10,"#HOST_AI","TEAM_MILITIA",false,"","","",""
"xx","Blood_Announcer_ChallengeComplete_04","diag_mp_bloodhound_btr_challengeComplete_04_3p",10,"#HOST_AI","TEAM_MILITIA",false,"","","",""
"xx","Blood_Announcer_EnteredMidChallenge","diag_mp_bloodhound_btr_joinedprogress_01_3p",10,"#HOST_AI","TEAM_MILITIA",false,"","","",""
"xx","Blood_Announcer_EnteredPostChallenge","diag_mp_bloodhound_btr_joinedcleared_01_3p",10,"#HOST_AI","TEAM_MILITIA",false,"","","",""
"xx","Blood_Announcer_OneProwlerLeft_01","diag_mp_bloodhound_btr_challengeProwlerOneLeft_01_3p",10,"#HOST_AI","TEAM_MILITIA",false,"","","",""
"xx","Blood_Announcer_OneProwlerLeft_02","diag_mp_bloodhound_btr_challengeProwlerOneLeft_02_3p",10,"#HOST_AI","TEAM_MILITIA",false,"","","",""
"xx","Blood_Announcer_OneProwlerLeft_03","diag_mp_bloodhound_btr_challengeProwlerOneLeft_03_3p",10,"#HOST_AI","TEAM_MILITIA",false,"","","",""
"string","string","string","int","string","string","bool","asset_noprecache","string","string","string"
