"levelIndex","xpPerLevel","reward","rewardQty","premium","notes"
0,29500,"settings/itemflav/character_skin/lifeline/season01_rare_01.rpak",1,true,""
0,0,"settings/itemflav/character_skin/mirage/season01_rare_01.rpak",1,true,""
0,0,"settings/itemflav/character_skin/wraith/season01_rare_01.rpak",1,true,""
1,29500,"settings/itemflav/weapon_skin/tripletake/season01_rare_c.rpak",1,true,""
1,0,"settings/itemflav/pack/cosmetic_rare.rpak",1,false,""
2,29500,"settings/itemflav/gcard_tracker/wraith/season01_kills.rpak",1,true,""
3,29500,"settings/itemflav/weapon_skin/hemlok/season01_rare_a.rpak",1,true,""
3,0,"settings/itemflav/gcard_tracker/gibraltar/season01_wins.rpak",1,false,""
4,29500,"settings/itemflav/gcard_badge/account/season01_bplevel.rpak",1,true,""
5,29500,"settings/itemflav/character_intro_quip/bangalore/season01_common_01.rpak",1,true,""
5,0,"settings/itemflav/gcard_tracker/pathfinder/season01_wins.rpak",1,false,""
6,29500,"settings/itemflav/grx_currency/premium.rpak",50,true,""
7,29500,"settings/itemflav/gcard_tracker/bloodhound/season01_kills.rpak",1,true,""
7,0,"settings/itemflav/gcard_tracker/wraith/season01_wins.rpak",1,false,""
8,29500,"settings/itemflav/weapon_skin/pdw/season01_rare_b.rpak",1,true,""
9,29500,"settings/itemflav/gcard_badge/account/season01_bplevel.rpak",1,true,""
9,0,"settings/itemflav/gcard_tracker/bangalore/season01_wins.rpak",1,false,""
10,29500,"settings/itemflav/grx_currency/premium.rpak",50,true,""
11,29500,"settings/itemflav/xp_boost/battlepass_season01.rpak",1,true,""
11,0,"settings/itemflav/pack/cosmetic_rare.rpak",1,false,""
12,29500,"settings/itemflav/gcard_frame/mirage/season01_rare_01.rpak",1,true,""
13,29500,"settings/itemflav/weapon_skin/dmr/season01_rare_b.rpak",1,true,""
13,0,"settings/itemflav/gcard_tracker/bloodhound/season01_wins.rpak",1,false,""
14,29500,"settings/itemflav/gcard_badge/account/season01_bplevel.rpak",1,true,""
15,29500,"settings/itemflav/character_intro_quip/mirage/season01_common_01.rpak",1,true,""
15,0,"settings/itemflav/gcard_tracker/caustic/season01_wins.rpak",1,false,""
16,29500,"settings/itemflav/grx_currency/premium.rpak",50,true,""
17,29500,"settings/itemflav/gcard_frame/octane/season01_rare_01.rpak",1,true,""
17,0,"settings/itemflav/gcard_tracker/mirage/season01_wins.rpak",1,false,""
18,29500,"settings/itemflav/weapon_skin/spitfire/season01_rare_a.rpak",1,true,""
19,29500,"settings/itemflav/gcard_badge/account/season01_bplevel.rpak",1,true,""
19,0,"settings/itemflav/gcard_tracker/lifeline/season01_wins.rpak",1,false,""
20,29500,"settings/itemflav/grx_currency/premium.rpak",50,true,""
21,29500,"settings/itemflav/xp_boost/battlepass_season01.rpak",1,true,""
21,0,"settings/itemflav/gcard_tracker/octane/season01_wins.rpak",1,false,""
22,29500,"settings/itemflav/gcard_frame/wraith/season01_rare_01.rpak",1,true,""
23,29500,"settings/itemflav/weapon_skin/mozambique/season01_rare_b.rpak",1,true,""
23,0,"settings/itemflav/pack/cosmetic_rare.rpak",1,false,""
24,29500,"settings/itemflav/gcard_badge/account/season01_bplevel.rpak",1,true,""
25,29500,"settings/itemflav/pack/cosmetic_epic.rpak",1,true,""
25,0,"settings/itemflav/gcard_tracker/caustic/season01_damage_done.rpak",1,false,""
26,29500,"settings/itemflav/character_intro_quip/pathfinder/season01_common_01.rpak",1,true,""
27,29500,"settings/itemflav/gcard_tracker/mirage/season01_kills.rpak",1,true,""
27,0,"settings/itemflav/gcard_tracker/bangalore/season01_damage_done.rpak",1,false,""
28,29500,"settings/itemflav/weapon_skin/kraber/season01_rare_c.rpak",1,true,""
29,29500,"settings/itemflav/gcard_badge/account/season01_bplevel.rpak",1,true,""
29,0,"settings/itemflav/gcard_tracker/gibraltar/season01_damage_done.rpak",1,false,""
30,29500,"settings/itemflav/grx_currency/premium.rpak",50,true,""
31,29500,"settings/itemflav/xp_boost/battlepass_season01.rpak",1,true,""
