"featureFlag","weaponRef","attachmentOverride","availableOptics","defaultOptic","supportedAttachmentOverride"
"xx","mp_weapon_shotgun_pistol","","","",""
"xx","mp_weapon_shotgun_pistol_whiteset","","optic_cq_hcog_classic optic_cq_holosight","optic_cq_hcog_classic",""
"xx","mp_weapon_shotgun_pistol_blueset","","optic_cq_hcog_bruiser optic_cq_holosight_variable optic_cq_threat","optic_cq_threat",""
"xx","mp_weapon_shotgun_pistol_purpleset","","","",""
"xx","mp_weapon_shotgun_pistol_gold","","","",""
"xx","mp_weapon_semipistol","","","",""
"xx","mp_weapon_semipistol_whiteset","","optic_cq_hcog_classic optic_cq_holosight","optic_cq_hcog_classic",""
"xx","mp_weapon_semipistol_blueset","","optic_cq_hcog_bruiser optic_cq_holosight_variable optic_cq_threat","optic_cq_threat",""
"xx","mp_weapon_semipistol_purpleset","","","",""
"xx","mp_weapon_semipistol_gold","","","",""
"xx","mp_weapon_autopistol","","","",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","","!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","","!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","","","",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","","","",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","","","",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","","","",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","","","",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","","","",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","","","",""
"xx","mp_weapon_wingman","","","",""
"xx","mp_weapon_wingman_whiteset","","optic_cq_hcog_classic optic_cq_holosight","optic_cq_hcog_classic",""
