"levelIndex","temp","xpPerLevel","reward","rewardQty","premium","notes","notes2"
0,"1",10,"settings/itemflav/character_skin/wraith/epicp_v21_scavenger.rpak",1,true,"",""
0,"1",0,"settings/itemflav/character_skin/revenant/epicp_v21_scavenger.rpak",1,true,"",""
0,"1",0,"settings/itemflav/character_skin/loba/epicp_v21_scavenger.rpak",1,true,"",""
0,"1",0,"settings/itemflav/weapon_skin/compound_bow/lgnd_v21_scavenger.rpak",1,true,"",""
0,"1",0,"settings/itemflav/xp_boost/battlepass_season11.rpak",1,true,"",""
1,"2",10,"settings/itemflav/gcard_frame/wraith/s11bp_epic_01.rpak",1,true,"",""
1,"2",0,"settings/itemflav/loadscreen/s11bp_01.rpak",1,false,"",""
2,"3",10,"settings/itemflav/pack/cosmetic_legendary.rpak",1,true,"",""
3,"4",10,"settings/itemflav/musicpack/s11bp_season11.rpak",1,false,"",""
3,"4",0,"settings/itemflav/grx_currency/crafting.rpak",120,true,"",""
4,"5",10,"settings/itemflav/grx_currency/premium.rpak",100,false,"",""
4,"5",0,"settings/itemflav/grx_currency/premium.rpak",100,true,"",""
5,"6",10,"settings/itemflav/xp_boost/battlepass_season11.rpak",1,true,"",""
5,"6",0,"settings/itemflav/weapon_skin/mozambique/rare_v21_scavenger.rpak",1,false,"",""
6,"7",10,"settings/itemflav/character_kill_quip/wraith/s11bp_rare_01.rpak",1,true,"",""
6,"7",0,"settings/itemflav/gcard_tracker/gibraltar/season11_wins.rpak",1,false,"",""
7,"8",10,"settings/itemflav/loadscreen/s11bp_02.rpak",1,true,"",""
7,"8",0,"settings/itemflav/gcard_tracker/gibraltar/season11_kills.rpak",1,false,"",""
8,"9",10,"settings/itemflav/weapon_charm/charm_apex_theme_v21_scavenger_wraith_helmet01.rpak",1,true,"",""
8,"9",0,"settings/itemflav/gcard_tracker/caustic/season11_wins.rpak",1,false,"",""
9,"10",10,"settings/itemflav/emote_icon/wraith/s11bp_epic_v21_wraith_03.rpak",1,true,"",""
9,"10",0,"settings/itemflav/gcard_tracker/caustic/season11_kills.rpak",1,false,"",""
10,"11",10,"settings/itemflav/weapon_skin/volt/rare_v21_s11_bp.rpak",1,true,"",""
10,"11",0,"settings/itemflav/gcard_tracker/wattson/season11_wins.rpak",1,false,"",""
11,"12",10,"settings/itemflav/grx_currency/crafting.rpak",120,true,"",""
11,"12",0,"settings/itemflav/gcard_tracker/wattson/season11_kills.rpak",1,false,"",""
12,"13",10,"settings/itemflav/grx_currency/premium.rpak",100,true,"",""
12,"13",0,"settings/itemflav/pack/cosmetic_rare.rpak",1,false,"",""
13,"14",10,"settings/itemflav/xp_boost/battlepass_season11.rpak",1,true,"",""
13,"14",0,"settings/itemflav/weapon_skin/hemlok/rare_v21_scavenger.rpak",1,false,"",""
14,"15",10,"settings/itemflav/character_kill_quip/loba/s11bp_rare_01.rpak",1,true,"",""
14,"15",0,"settings/itemflav/gcard_tracker/rampart/season11_wins.rpak",1,false,"",""
15,"16",10,"settings/itemflav/weapon_charm/charm_apex_theme_v21_scavenger_loba_helmet01.rpak",1,true,"",""
15,"16",0,"settings/itemflav/gcard_tracker/rampart/season11_kills.rpak",1,false,"",""
16,"17",10,"settings/itemflav/pack/cosmetic_rare.rpak",1,true,"",""
17,"18",10,"settings/itemflav/gcard_frame/loba/s11bp_epic_01.rpak",1,true,"",""
17,"18",0,"settings/itemflav/loadscreen/s11bp_03.rpak",1,false,"",""
18,"19",10,"settings/itemflav/emote_icon/loba/s11bp_epic_v21_loba_03.rpak",1,true,"",""
18,"19",0,"settings/itemflav/gcard_tracker/ash/season11_wins.rpak",1,false,"",""
