"featureFlag","loadout","loadoutText","contents","exclusivityStyleWeapons","exclusivityStyleConsumables","exclusivityStyleEquipment"
"xx","","","","","",""
"xx","assault_loadout_1","#CONTROL_ASSAULT_LOADOUT","","ALL","NONE","RARITY"
"xx","","","mp_weapon_energy_ar_blueset","","",""
"xx","","","mp_weapon_wingman_blueset","","",""
"xx","","","health_pickup_health_large","","",""
"xx","","","health_pickup_health_small","","",""
"xx","","","mp_weapon_thermite_grenade","","",""
"xx","","","armor_pickup_lv2","","",""
"xx","","","helmet_pickup_lv2","","",""
"xx","","","incapshield_pickup_lv2","","",""
"xx","","","","","",""
"xx","assault_loadout_2","#CONTROL_ASSAULT_LOADOUT","","ALL","NONE","RARITY"
"xx","","","mp_weapon_rspn101_blueset","","",""
"xx","","","mp_weapon_alternator_smg_blueset","","",""
"xx","","","health_pickup_health_large","","",""
"xx","","","health_pickup_health_small","","",""
"xx","","","mp_weapon_frag_grenade","","",""
"xx","","","armor_pickup_lv2","","",""
"xx","","","helmet_pickup_lv2","","",""
"xx","","","incapshield_pickup_lv2","","",""
"xx","","","","","",""
"xx","assault_loadout_3","#CONTROL_ASSAULT_LOADOUT","","ALL","NONE","RARITY"
"xx","","","mp_weapon_nemesis_blueset","","",""
"xx","","","mp_weapon_semipistol_blueset","","",""
"xx","","","health_pickup_health_large","","",""
"xx","","","health_pickup_health_small","","",""
"xx","","","mp_weapon_frag_grenade","","",""
"xx","","","armor_pickup_lv2","","",""
"xx","","","helmet_pickup_lv2","","",""
"xx","","","incapshield_pickup_lv2","","",""
"xx","","","","","",""
"xx","assault_loadout_4","#CONTROL_ASSAULT_LOADOUT","","ALL","NONE","RARITY"
"xx","","","mp_weapon_vinson_blueset","","",""
"xx","","","mp_weapon_semipistol_blueset","","",""
"xx","","","health_pickup_health_large","","",""
"xx","","","health_pickup_health_small","","",""
"xx","","","mp_weapon_frag_grenade","","",""
"xx","","","armor_pickup_lv2","","",""
"xx","","","helmet_pickup_lv2","","",""
"xx","","","incapshield_pickup_lv2","","",""
"xx","","","","","",""
"xx","assault_loadout_5","#CONTROL_ASSAULT_LOADOUT","","ALL","NONE","RARITY"
"xx","","","mp_weapon_energy_ar_blueset","","",""
"xx","","","mp_weapon_energy_shotgun_blueset","","",""
"xx","","","health_pickup_health_large","","",""
"xx","","","health_pickup_health_small","","",""
"xx","","","mp_weapon_thermite_grenade","","",""
"xx","","","armor_pickup_lv2","","",""
"xx","","","helmet_pickup_lv2","","",""
"xx","","","incapshield_pickup_lv2","","",""
"xx","","","","","",""
"xx","assault_loadout_6","#CONTROL_ASSAULT_LOADOUT","","ALL","NONE","RARITY"
"xx","","","mp_weapon_rspn101_blueset","","",""
"xx","","","mp_weapon_shotgun_pistol_blueset","","",""
"xx","","","health_pickup_health_large","","",""
"xx","","","health_pickup_health_small","","",""
"xx","","","mp_weapon_frag_grenade","","",""
"xx","","","armor_pickup_lv2","","",""
"xx","","","helmet_pickup_lv2","","",""
"xx","","","incapshield_pickup_lv2","","",""
"xx","","","","","",""
"xx","assault_loadout_7","#CONTROL_ASSAULT_LOADOUT","","ALL","NONE","RARITY"
"xx","","","mp_weapon_vinson_blueset","","",""
"xx","","","mp_weapon_shotgun_pistol_blueset","","",""
"xx","","","health_pickup_health_large","","",""
"xx","","","health_pickup_health_small","","",""
"xx","","","mp_weapon_frag_grenade","","",""
"xx","","","armor_pickup_lv2","","",""
"xx","","","helmet_pickup_lv2","","",""
"xx","","","incapshield_pickup_lv2","","",""
"xx","","","","","",""
"xx","blitz_loadout_1","#CONTROL_BLITZ_LOADOUT","","ALL","NONE","RARITY"
"xx","","","mp_weapon_pdw_blueset","","",""
"xx","","","mp_weapon_energy_shotgun_blueset","","",""
"xx","","","health_pickup_health_large","","",""
"xx","","","health_pickup_health_small","","",""
"xx","","","mp_weapon_thermite_grenade","","",""
"xx","","","armor_pickup_lv2","","",""
"xx","","","helmet_pickup_lv2","","",""
"xx","","","incapshield_pickup_lv2","","",""
