"cmd","args","speaker","emotion","text","direction"
"","","","","",""
"","","","","",""
"// Lines that start with two forward slashes, like this one, are comments, and ignored by the system.","","","","",""
"// Pages are broken up by blank lines. Multiple blank lines in a row are ok.","","","","",""
"// Most pages just specify lines of dialog in any of 3 slots. TOP, CENTER, and BOTTOM lines. (Or T, C, and B for short.)","","","","",""
"// Some pages specify special commands, like changing the background, music, or displaying titles.","","","","",""
"// Look direction is defined by l (left) and r (right). This means characters can look either direction, despite being in the top or bottom","","","","",""
"","","","","",""
"BACKGROUND","loadscreen_s14quest_01","","","",""
"MUSICTRACK","SQ_S14_LoreText_Ch01_Music_01","","","",""
"AMBIENTTRACK","SQ_S14_LoreText_Ch01_AMB_Bar","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch01_ChapterTitle","","","",""
"TITLE","#MISSION_PAGE_01","","","",""
"SUBTITLE","#S14_MISSION_PAGE_TITLE_01","","","",""
"","","","","",""
"// narrator: Fuse","","","","",""
"// location: Talos","","","","",""
"// go-live: Sep 13 2022","","","","",""
"","","","","",""
"","","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch01_SFX_MiragePsycheOut","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch01_VO_09","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch01_Stinger_18","","","",""
"t","","mirage","sad","#S14_MISSION_01_01","r"
"","","","","",""
"t","","mirage","surprised","#S14_MISSION_01_02","r"
"PLAYSOUND","SQ_S14_LoreText_Ch01_VO_18","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch01_Stinger_21","","","",""
"","","","","",""
"t","","mirage","sad","#S14_MISSION_01_03","r"
"PLAYSOUND","SQ_S14_LoreText_Ch01_VO_19","","","",""
"","","","","",""
"t","","mirage","sad","#S14_MISSION_01_04","r"
"PLAYSOUND","SQ_S14_LoreText_Ch01_Stinger_21","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch01_VO_20","","","",""
"","","","","",""
"t","","mirage","happy","#S14_MISSION_01_05","r"
"PLAYSOUND","SQ_S14_LoreText_Ch01_VO_23","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch01_SFX_MiragePsycheOutFades","","","",""
"","","","","",""
"t","","mirage","sad","#S14_MISSION_01_06","r"
"","","","","",""
"t","","mirage","angry","#S14_MISSION_01_07","r"
"PLAYSOUND","SQ_S14_LoreText_Ch01_VO_02","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch01_Stinger_01","","","",""
"","","","","",""
"t","","mirage","neutral","#S14_MISSION_01_08","r"
"","","","","",""
"t","","mirage","sad","#S14_MISSION_01_09","r"
"","","","","",""
"t","","mirage","sad","#S14_MISSION_01_10","r"
"","","","","",""
"t","","mirage","surprised","#S14_MISSION_01_11","r"
"PLAYSOUND","SQ_S14_LoreText_Ch01_VO_05","","","",""
"","","","","",""
"t","","mirage","angry","#S14_MISSION_01_12","r"
"PLAYSOUND","SQ_S14_LoreText_Ch01_Stinger_19","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch01_MusicStop","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch01_VO_15","","","",""
"b","","vantage","happy","#S14_MISSION_01_13","l"
