"cmd","args","speaker","emotion","text","direction"
"","","","","",""
"","","","","",""
"// Lines that start with two forward slashes, like this one, are comments, and ignored by the system.","","","","",""
"// Pages are broken up by blank lines. Multiple blank lines in a row are ok.","","","","",""
"// Most pages just specify lines of dialog in any of 3 slots. TOP, CENTER, and BOTTOM lines. (Or T, C, and B for short.)","","","","",""
"// Some pages specify special commands, like changing the background, music, or displaying titles.","","","","",""
"// Look direction is defined by l (left) and r (right). This means characters can look either direction, despite being in the top or bottom","","","","",""
"","","","","",""
"BACKGROUND","loadscreen_s14quest_02","","","",""
"MUSICTRACK","SQ_S14_LoreText_Ch02_Music_01","","","",""
"AMBIENTTRACK","SQ_S14_LoreText_Ch02_AMB_WattsonLab","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch02_ChapterTitle","","","",""
"TITLE","#MISSION_PAGE_02","","","",""
"SUBTITLE","#S14_MISSION_PAGE_TITLE_02","","","",""
"","","","","",""
"// narrator: Wattson","","","","",""
"// location: Eelhead Bay (On Solace City)","","","","",""
"// go—live: Aug 23 2022","","","","",""
"","","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch02_WattsonWorksOnComputer_01","","","",""
"","","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch02_VO_01","","","",""
"c","","narrator","","#S14_MISSION_02_01",""
"","","","","",""
"c","","narrator","","#S14_MISSION_02_02",""
"","","","","",""
"c","","narrator","","#S14_MISSION_02_03",""
"","","","","",""
"c","","narrator","","#S14_MISSION_02_04",""
"","","","","",""
"t","","vantage","neutral","#S14_MISSION_02_05","r"
"PLAYSOUND","SQ_S14_LoreText_Ch02_Stinger_01 BOTTOM","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch02_VO_02 BOTTOM","","","",""
"b","","wattson","fearful","#S14_MISSION_02_06","l"
"","","","","",""
"c","","narrator","","#S14_MISSION_02_07",""
"","","","","",""
"c","","narrator","","#S14_MISSION_02_08",""
"","","","","",""
"t","","wattson","neutral","#S14_MISSION_02_09","r"
"b","","vantage","neutral","#S14_MISSION_02_10","l"
"","","","","",""
"t","","vantage","happy","#S14_MISSION_02_11","r"
"","","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch02_WattsonWorksOnComputer_02","","","",""
"c","","narrator","","#S14_MISSION_02_12",""
"","","","","",""
"t","","wattson","neutral","#S14_MISSION_02_13","r"
"","","","","",""
"t","","wattson","neutral","#S14_MISSION_02_14","r"
"","","","","",""
"t","","vantage","happy","#S14_MISSION_02_15","r"
"PLAYSOUND","SQ_S14_LoreText_Ch02_VO_06","","","",""
"","","","","",""
"t","","wattson","fearful","#S14_MISSION_02_16","r"
"PLAYSOUND","SQ_S14_LoreText_Ch02_VO_03","","","",""
"b","","vantage","neutral","#S14_MISSION_02_17","l"
"","","","","",""
"t","","vantage","neutral","#S14_MISSION_02_18","r"
"","","","","",""
"t","","vantage","neutral","#S14_MISSION_02_19","r"
"","","","","",""
"t","","vantage","neutral","#S14_MISSION_02_20","r"
"","","","","",""
"t","","wattson","neutral","#S14_MISSION_02_21","r"
"PLAYSOUND","SQ_S14_LoreText_Ch02_Stinger_02 BOTTOM","","","",""
