"cmd","args","speaker","emotion","text","direction"
"","","","","",""
"","","","","",""
"// Lines that start with two forward slashes, like this one, are comments, and ignored by the system.","","","","",""
"// Pages are broken up by blank lines. Multiple blank lines in a row are ok.","","","","",""
"// Most pages just specify lines of dialog in any of 3 slots. TOP, CENTER, and BOTTOM lines. (Or T, C, and B for short.)","","","","",""
"// Some pages specify special commands, like changing the background, music, or displaying titles.","","","","",""
"// Look direction is defined by l (left) and r (right). This means characters can look either direction, despite being in the top or bottom","","","","",""
"","","","","",""
"BACKGROUND","loadscreen_s14quest_03","","","",""
"MUSICTRACK","SQ_S14_LoreText_Ch03_Music_01","","","",""
"AMBIENTTRACK","SQ_S14_LoreText_Ch03_AMB_BoreasCity","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch03_ChapterTitle","","","",""
"TITLE","#MISSION_PAGE_03","","","",""
"SUBTITLE","#S14_MISSION_PAGE_TITLE_03","","","",""
"","","","","",""
"","","","","",""
"c","","narrator","","#S14_MISSION_03_01",""
"","","","","",""
"c","","narrator","","#S14_MISSION_03_02",""
"","","","","",""
"c","","narrator","","#S14_MISSION_03_03",""
"","","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch03_ProtestCrowd_01","","","",""
"c","","narrator","","#S14_MISSION_03_04",""
"","","","","",""
"c","","narrator","","#S14_MISSION_03_05",""
"","","","","",""
"c","","narrator","","#S14_MISSION_03_06",""
"PLAYSOUND","SQ_S14_LoreText_Ch03_Rampart_WalksIn","","","",""
"","","","","",""
"t","","rampart","surprised","#S14_MISSION_03_07","r"
"PLAYSOUND","SQ_S14_LoreText_Ch03_VO_01","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch03_Stinger_01","","","",""
"","","","","",""
"c","","narrator","","#S14_MISSION_03_08",""
"","","","","",""
"c","","narrator","","#S14_MISSION_03_09",""
"","","","","",""
"t","","rampart","happy","#S14_MISSION_03_10","r"
"PLAYSOUND","SQ_S14_LoreText_Ch03_VO_02","","","",""
"","","","","",""
"t","","rampart","happy","#S14_MISSION_03_11","r"
"b","","seer","neutral","#S14_MISSION_03_12","l"
"","","","","",""
"t","","rampart","happy","#S14_MISSION_03_13","r"
"PLAYSOUND","SQ_S14_LoreText_Ch03_VO_03","","","",""
"b","","seer","neutral","#S14_MISSION_03_14","l"
"","","","","",""
"t","","rampart","surprised","#S14_MISSION_03_15","r"
"PLAYSOUND","SQ_S14_LoreText_Ch03_VO_04","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch03_VO_05 BOTTOM","","","",""
"b","","seer","sad","#S14_MISSION_03_16","l"
"","","","","",""
"t","","seer","sad","#S14_MISSION_03_17","r"
"PLAYSOUND","SQ_S14_LoreText_Ch03_VO_06","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch03_Stinger_02","","","",""
"","","","","",""
"t","","rampart","neutral","#S14_MISSION_03_18","r"
"","","","","",""
"t","","rampart","neutral","#S14_MISSION_03_19","r"
"","","","","",""
"t","","seer","neutral","#S14_MISSION_03_20","r"
"","","","","",""
"c","","narrator","","#S14_MISSION_03_21",""
"","","","","",""
"t","","rampart","angry","#S14_MISSION_03_22","r"
