"cmd","args","speaker","emotion","text","direction"
"","","","","",""
"","","","","",""
"// Lines that start with two forward slashes, like this one, are comments, and ignored by the system.","","","","",""
"// Pages are broken up by blank lines. Multiple blank lines in a row are ok.","","","","",""
"// Most pages just specify lines of dialog in any of 3 slots. TOP, CENTER, and BOTTOM lines. (Or T, C, and B for short.)","","","","",""
"// Some pages specify special commands, like changing the background, music, or displaying titles.","","","","",""
"// Look direction is defined by l (left) and r (right). This means characters can look either direction, despite being in the top or bottom","","","","",""
"","","","","",""
"BACKGROUND","loadscreen_s14quest_04","","","",""
"MUSICTRACK","SQ_S14_LoreText_Ch04_Music_01","","","",""
"AMBIENTTRACK","SQ_S14_LoreText_Ch04_AMB_INT_Talos","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch04_ChapterTitle","","","",""
"TITLE","#MISSION_PAGE_04","","","",""
"SUBTITLE","#S14_MISSION_PAGE_TITLE_04","","","",""
"","","","","",""
"","","","","",""
"// narrator: Fuse","","","","",""
"// location: Talos","","","","",""
"// go-live: Sep 13 2022","","","","",""
"","","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch04_PeoplePackingGear","","","",""
"c","","narrator","","#S14_MISSION_04_01",""
"","","","","",""
"c","","narrator","","#S14_MISSION_04_02",""
"","","","","",""
"c","","narrator","","#S14_MISSION_04_03",""
"","","","","",""
"c","","narrator","","#S14_MISSION_04_04",""
"","","","","",""
"t","","bloodhound","happy","#S14_MISSION_04_05","r"
"PLAYSOUND","SQ_S14_LoreText_Ch04_Stinger_01","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch04_VO_01 BOTTOM","","","",""
"b","","fuse","happy","#S14_MISSION_04_06","l"
"","","","","",""
"t","","bloodhound","happy","#S14_MISSION_04_07","r"
"b","","fuse","happy","#S14_MISSION_04_08","l"
"","","","","",""
"t","","vantage","surprised","#S14_MISSION_04_09","r"
"PLAYSOUND","SQ_S14_LoreText_Ch04_VO_02","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch04_VO_03 BOTTOM","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch04_Stinger_02 BOTTOM","","","",""
"b","","fuse","surprised","#S14_MISSION_04_10","l"
"","","","","",""
"t","","vantage","neutral","#S14_MISSION_04_11","r"
"PLAYSOUND","SQ_S14_LoreText_Ch04_VO_04 BOTTOM","","","",""
"b","","fuse","happy","#S14_MISSION_04_12","l"
"","","","","",""
"t","","vantage","happy","#S14_MISSION_04_13","r"
"PLAYSOUND","SQ_S14_LoreText_Ch04_VO_05","","","",""
"b","","bloodhound","neutral","#S14_MISSION_04_14","l"
"","","","","",""
"t","","bloodhound","neutral","#S14_MISSION_04_15","r"
"","","","","",""
"t","","vantage","neutral","#S14_MISSION_04_16","r"
"","","","","",""
"t","","vantage","neutral","#S14_MISSION_04_17","r"
"","","","","",""
"t","","vantage","neutral","#S14_MISSION_04_18","r"
"","","","","",""
"t","","fuse","neutral","#S14_MISSION_04_19","r"
"b","","vantage","neutral","#S14_MISSION_04_20","l"
"","","","","",""
"t","","vantage","surprised","#S14_MISSION_04_21","r"
"PLAYSOUND","SQ_S14_LoreText_Ch04_Stinger_03","","","",""
