"cmd","args","speaker","emotion","text","direction"
"","","","","",""
"","","","","",""
"// Lines that start with two forward slashes, like this one, are comments, and ignored by the system.","","","","",""
"// Pages are broken up by blank lines. Multiple blank lines in a row are ok.","","","","",""
"// Most pages just specify lines of dialog in any of 3 slots. TOP, CENTER, and BOTTOM lines. (Or T, C, and B for short.)","","","","",""
"// Some pages specify special commands, like changing the background, music, or displaying titles.","","","","",""
"// Look direction is defined by l (left) and r (right). This means characters can look either direction, despite being in the top or bottom","","","","",""
"","","","","",""
"BACKGROUND","loadscreen_s14quest_05","","","",""
"MUSICTRACK","SQ_S14_LoreText_Ch05_Music_01","","","",""
"AMBIENTTRACK","SQ_S14_LoreText_Ch05_AMB_EXT_GaeaCity","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch05_ChapterTitle","","","",""
"TITLE","#MISSION_PAGE_05","","","",""
"SUBTITLE","#S14_MISSION_PAGE_TITLE_05","","","",""
"","","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch05_SFX_LobaAndVantage_fts","","","",""
"c","","narrator","","#S14_MISSION_05_01",""
"","","","","",""
"c","","narrator","","#S14_MISSION_05_02",""
"","","","","",""
"t","","vantage","surprised","#S14_MISSION_05_03","r"
"PLAYSOUND","SQ_S14_LoreText_Ch05_VO_01","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch05_VO_02 BOTTOM","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch05_Stinger_01 BOTTOM","","","",""
"b","","loba","angry","#S14_MISSION_05_04","l"
"","","","","",""
"t","","vantage","neutral","#S14_MISSION_05_05","r"
"","","","","",""
"t","","vantage","neutral","#S14_MISSION_05_06","r"
"","","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch05_VO_03","","","",""
"t","","loba","angry","#S14_MISSION_05_07","r"
"b","","vantage","angry","#S14_MISSION_05_08","l"
"PLAYSOUND","SQ_S14_LoreText_Ch05_VO_16 BOTTOM","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch05_SFX_EchoApprove BOTTOM","","","",""
"","","","","",""
"t","","loba","neutral","#S14_MISSION_05_09","r"
"PLAYSOUND","SQ_S14_LoreText_Ch05_VO_04 BOTTOM","","","",""
"b","","vantage","surprised","#S14_MISSION_05_10","l"
"","","","","",""
"t","","loba","neutral","#S14_MISSION_05_11","r"
"b","","vantage","neutral","#S14_MISSION_05_12","l"
"","","","","",""
"t","","loba","neutral","#S14_MISSION_05_13","r"
"","","","","",""
"t","","vantage","fearful","#S14_MISSION_05_14","r"
"PLAYSOUND","SQ_S14_LoreText_Ch05_VO_05","","","",""
"","","","","",""
"c","","narrator","","#S14_MISSION_05_15",""
"","","","","",""
"c","","narrator","","#S14_MISSION_05_16",""
"","","","","",""
"t","","loba","neutral","#S14_MISSION_05_17","r"
"","","","","",""
"t","","loba","happy","#S14_MISSION_05_18","r"
"","","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch05_SFX_Notebook_ShufflePages","","","",""
"t","","vantage","neutral","#S14_MISSION_05_19","r"
"PLAYSOUND","SQ_S14_LoreText_Ch05_VO_06 BOTTOM","","","",""
