"cmd","args","speaker","emotion","text","direction"
"","","","","",""
"","","","","",""
"// Lines that start with two forward slashes, like this one, are comments, and ignored by the system.","","","","",""
"// Pages are broken up by blank lines. Multiple blank lines in a row are ok.","","","","",""
"// Most pages just specify lines of dialog in any of 3 slots. TOP, CENTER, and BOTTOM lines. (Or T, C, and B for short.)","","","","",""
"// Some pages specify special commands, like changing the background, music, or displaying titles.","","","","",""
"// Look direction is defined by l (left) and r (right). This means characters can look either direction, despite being in the top or bottom","","","","",""
"","","","","",""
"BACKGROUND","loadscreen_s14quest_06","","","",""
"MUSICTRACK","SQ_S14_LoreText_Ch06_Music_01","","","",""
"AMBIENTTRACK","SQ_S14_LoreText_Ch06_AMB_INT_KingsCanyonUnderground","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch06_ChapterTitle","","","",""
"TITLE","#MISSION_PAGE_06","","","",""
"SUBTITLE","#S14_MISSION_PAGE_TITLE_06","","","",""
"","","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch06_SFX_ValkyrieWalks","","","",""
"c","","narrator","","#S14_MISSION_06_01",""
"","","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch06_SFX_RevenantBodies_FallOnThGround","","","",""
"","","","","",""
"c","","narrator","","#S14_MISSION_06_02",""
"","","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch06_VO_01","","","",""
"t","","valkyrie","angry","#S14_MISSION_06_03","r"
"PLAYSOUND","SQ_S14_LoreText_Ch06_VO_02 BOTTOM","","","",""
"b","","revenant","happy","#S14_MISSION_06_04","l"
"","","","","",""
"c","","narrator","","#S14_MISSION_06_05",""
"","","","","",""
"t","","valkyrie","neutral","#S14_MISSION_06_06","r"
"PLAYSOUND","SQ_S14_LoreText_Ch06_Stinger_01 BOTTOM","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch06_VO_03 BOTTOM","","","",""
"b","","revenant","surprised","#S14_MISSION_06_07","l"
"","","","","",""
"t","","revenant","happy","#S14_MISSION_06_08","r"
"PLAYSOUND","SQ_S14_LoreText_Ch06_VO_04","","","",""
"","","","","",""
"c","","narrator","","#S14_MISSION_06_09",""
"","","","","",""
"t","","valkyrie","angry","#S14_MISSION_06_10","r"
"PLAYSOUND","SQ_S14_LoreText_Ch06_VO_05","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch06_VO_06 BOTTOM","","","",""
"b","","revenant","happy","#S14_MISSION_06_11","l"
"","","","","",""
"t","","valkyrie","angry","#S14_MISSION_06_12","r"
"PLAYSOUND","SQ_S14_LoreText_Ch06_VO_07","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch06_Stinger_02","","","",""
"","","","","",""
"c","","narrator","","#S14_MISSION_06_13",""
"","","","","",""
"t","","revenant","surprised","#S14_MISSION_06_14","r"
"PLAYSOUND","SQ_S14_LoreText_Ch06_VO_08","","","",""
"b","","valkyrie","neutral","#S14_MISSION_06_15","l"
"","","","","",""
"t","","revenant","happy","#S14_MISSION_06_16","r"
"PLAYSOUND","SQ_S14_LoreText_Ch06_VO_09","","","",""
"b","","valkyrie","neutral","#S14_MISSION_06_17","l"
"","","","","",""
