"cmd","args","speaker","emotion","text","direction"
"","","","","",""
"","","","","",""
"// Lines that start with two forward slashes, like this one, are comments, and ignored by the system.","","","","",""
"// Pages are broken up by blank lines. Multiple blank lines in a row are ok.","","","","",""
"// Most pages just specify lines of dialog in any of 3 slots. TOP, CENTER, and BOTTOM lines. (Or T, C, and B for short.)","","","","",""
"// Some pages specify special commands, like changing the background, music, or displaying titles.","","","","",""
"// Look direction is defined by l (left) and r (right). This means characters can look either direction, despite being in the top or bottom","","","","",""
"","","","","",""
"BACKGROUND","loadscreen_s14quest_01","","","",""
"MUSICTRACK","SQ_S14_LoreText_Ch07_Music_01","","","",""
"AMBIENTTRACK","SQ_S14_LoreText_Ch07_AMB_INT_ParadiseLoungeActivity","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch07_ChapterTitle","","","",""
"TITLE","#MISSION_PAGE_07","","","",""
"SUBTITLE","#S14_MISSION_PAGE_TITLE_07","","","",""
"","","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch07_SFX_CrowdActivityBar","","","",""
"c","","narrator","","#S14_MISSION_07_01",""
"","","","","",""
"c","","narrator","","#S14_MISSION_07_02",""
"","","","","",""
"t","","mirage","happy","#S14_MISSION_07_03","r"
"","","","","",""
"t","","jim","","#S14_MISSION_07_04","r"
"b","","mirage","neutral","#S14_MISSION_07_05","l"
"","","","","",""
"c","","narrator","","#S14_MISSION_07_06",""
"","","","","",""
"t","","mirage","happy","#S14_MISSION_07_07","r"
"PLAYSOUND","SQ_S14_LoreText_Ch07_VO_01","","","",""
"","","","","",""
"t","","mirage","fearful","#S14_MISSION_07_08","r"
"PLAYSOUND","SQ_S14_LoreText_Ch07_Stinger_01","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch07_VO_02","","","",""
"","","","","",""
"t","","mirage_hologram","happy","#S14_MISSION_07_09","r"
"PLAYSOUND","SQ_S14_LoreText_Ch07_SFX_MiragePsycheOutDies","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch07_VO_03 BOTTOM","","","",""
"b","","mirage","sad","#S14_MISSION_07_10","l"
"","","","","",""
"c","","narrator","","#S14_MISSION_07_11",""
"","","","","",""
"t","","mirage","neutral","#S14_MISSION_07_12","r"
"PLAYSOUND","SQ_S14_LoreText_Ch07_SFX_MixingDrink","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch07_SFX_OpenDoor","","","",""
"","","","","",""
"t","","vantage","happy","#S14_MISSION_07_13","r"
"PLAYSOUND","SQ_S14_LoreText_Ch07_VO_04","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch07_SFX_DrinkStrawFirst","","","",""
"","","","","",""
"t","","mirage","neutral","#S14_MISSION_07_14","r"
"PLAYSOUND","SQ_S14_LoreText_Ch07_VO_05 BOTTOM","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch07_Stinger_02 BOTTOM","","","",""
"b","","vantage","surprised","#S14_MISSION_07_15","l"
"","","","","",""
"t","","mirage","happy","#S14_MISSION_07_16","r"
"PLAYSOUND","SQ_S14_LoreText_Ch07_VO_06","","","",""
"","","","","",""
"t","","mirage","sad","#S14_MISSION_07_17","r"
