"cmd","args","speaker","emotion","text","direction"
"","","","","",""
"","","","","",""
"// Lines that start with two forward slashes, like this one, are comments, and ignored by the system.","","","","",""
"// Pages are broken up by blank lines. Multiple blank lines in a row are ok.","","","","",""
"// Most pages just specify lines of dialog in any of 3 slots. TOP, CENTER, and BOTTOM lines. (Or T, C, and B for short.)","","","","",""
"// Some pages specify special commands, like changing the background, music, or displaying titles.","","","","",""
"// Look direction is defined by l (left) and r (right). This means characters can look either direction, despite being in the top or bottom","","","","",""
"","","","","",""
"BACKGROUND","","","","",""
"MUSICTRACK","SQ_S14_LoreText_Ch08_Music_01","","","",""
"AMBIENTTRACK","SQ_S14_LoreText_Ch08_AMB_Computer","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch08_ChapterTitle","","","",""
"TITLE","#MISSION_PAGE_EPILOGUE","","","",""
"SUBTITLE","#S14_MISSION_PAGE_TITLE_08","","","",""
"","","","","",""
"CHATLOG","","","","#S14_MISSION_08_01",""
"CHATLOG","","","","#S14_MISSION_08_02",""
"CHATLOG","","","","#S14_MISSION_08_03",""
"CHATLOG","","","","#S14_MISSION_08_04",""
"CHATLOG","","","","#S14_MISSION_08_05",""
"CHATLOG","","","","#S14_MISSION_08_06",""
"","","","","",""
"CHATLOG","","","","#S14_MISSION_08_07",""
"CHATLOG","","","","#S14_MISSION_08_08",""
"CHATLOG","","","","#S14_MISSION_08_09",""
"CHATLOG","","","","#S14_MISSION_08_10",""
"CHATLOG","","","","#S14_MISSION_08_11",""
"CHATLOG","","","","#S14_MISSION_08_12",""
"CHATLOG","","","","#S14_MISSION_08_13",""
"CHATLOG","","","","#S14_MISSION_08_14",""
"CHATLOG","","","","#S14_MISSION_08_15",""
"CHATLOG","","","","#S14_MISSION_08_16",""
"CHATLOG","","","","#S14_MISSION_08_17",""
"","","","","",""
"CHATLOG","","","","#S14_MISSION_08_18",""
"CHATLOG","","","","#S14_MISSION_08_19",""
"CHATLOG","","","","#S14_MISSION_08_20",""
"CHATLOG","","","","#S14_MISSION_08_21",""
"CHATLOG","","","","#S14_MISSION_08_22",""
"CHATLOG","","","","#S14_MISSION_08_23",""
"MUSICTRACK","SQ_S14_LoreText_Ch08_Music_02","","","",""
"CHATLOG","","","","#S14_MISSION_08_24",""
"CHATLOG","","","","#S14_MISSION_08_25",""
"","","","","",""
"CHATLOG","","","","#S14_MISSION_08_26",""
"CHATLOG","","","","#S14_MISSION_08_27",""
"CHATLOG","","","","#S14_MISSION_08_28",""
"CHATLOG","","","","#S14_MISSION_08_29",""
"CHATLOG","","","","#S14_MISSION_08_30",""
"CHATLOG","","","","#S14_MISSION_08_31",""
"CHATLOG","","","","#S14_MISSION_08_32",""
"CHATLOG","","","","#S14_MISSION_08_33",""
"CHATLOG","","","","#S14_MISSION_08_34",""
"CHATLOG","","","","#S14_MISSION_08_35",""
"CHATLOG","","","","#S14_MISSION_08_36",""
"CHATLOG","","","","#S14_MISSION_08_37",""
"CHATLOG","","","","#S14_MISSION_08_38",""
"CHATLOG","","","","#S14_MISSION_08_39",""
"CHATLOG","","","","#S14_MISSION_08_40",""
"","","","","",""
"CHATLOG","","","","#S14_MISSION_08_41",""
"string","string","string","string","string","string"
