"levelIndex","temp","xpPerLevel","reward","rewardQty","premium"
0,"1",10,"settings/itemflav/weapon_skin/flatline/s08bp_legendary_01.rpak",1,true
0,"1",0,"settings/itemflav/character_skin/fuse/s08bp_rare_01.rpak",1,true
0,"1",0,"settings/itemflav/character_skin/loba/s08bp_rare_01.rpak",1,true
0,"1",0,"settings/itemflav/character_skin/gibraltar/s08bp_rare_01.rpak",1,true
0,"1",0,"settings/itemflav/xp_boost/battlepass_season08.rpak",1,true
1,"2",10,"settings/itemflav/pack/cosmetic_rare.rpak",1,true
1,"2",0,"settings/itemflav/weapon_skin/mozambique/s08bp_rare_01.rpak",1,false
2,"3",10,"settings/itemflav/grx_currency/premium.rpak",100,true
2,"3",0,"settings/itemflav/musicpack/s08bp_season8.rpak",1,false
3,"4",10,"settings/itemflav/emote_icon/lifeline/s08bp_epic_01.rpak",1,true
3,"4",0,"settings/itemflav/loadscreen/s08bp_01.rpak",1,false
4,"5",10,"settings/itemflav/pack/cosmetic_legendary.rpak",1,true
4,"5",0,"settings/itemflav/pack/cosmetic_rare.rpak",1,false
5,"6",10,"settings/itemflav/xp_boost/battlepass_season08.rpak",1,true
5,"6",0,"settings/itemflav/gcard_tracker/gibraltar/season08_kills.rpak",1,false
6,"7",10,"settings/itemflav/loadscreen/s08bp_02.rpak",1,true
6,"7",0,"settings/itemflav/gcard_tracker/wattson/season08_kills.rpak",1,false
7,"8",10,"settings/itemflav/musicpack/s08bp_fuse.rpak",1,true
7,"8",0,"settings/itemflav/gcard_tracker/crypto/season08_kills.rpak",1,false
8,"9",10,"settings/itemflav/weapon_skin/3030repeater/s08bp_rare_01.rpak",1,true
8,"9",0,"settings/itemflav/weapon_skin/sentinel/s08bp_rare_01.rpak",1,false
9,"10",10,"settings/itemflav/gcard_frame/wattson/s08bp_epic_01.rpak",1,true
9,"10",0,"settings/itemflav/gcard_tracker/gibraltar/season08_wins.rpak",1,false
10,"11",10,"settings/itemflav/emote_icon/gibraltar/s08bp_epic_01.rpak",1,true
10,"11",0,"settings/itemflav/gcard_tracker/wattson/season08_wins.rpak",1,false
11,"12",10,"settings/itemflav/grx_currency/crafting.rpak",120,true
11,"12",0,"settings/itemflav/gcard_tracker/crypto/season08_wins.rpak",1,false
12,"13",10,"settings/itemflav/grx_currency/premium.rpak",100,true
12,"13",0,"settings/itemflav/pack/cosmetic_rare.rpak",1,false
13,"14",10,"settings/itemflav/xp_boost/battlepass_season08.rpak",1,true
13,"14",0,"settings/itemflav/gcard_tracker/loba/season08_kills.rpak",1,false
14,"15",10,"settings/itemflav/character_kill_quip/loba/s08bp_rare_01.rpak",1,true
14,"15",0,"settings/itemflav/gcard_tracker/caustic/season08_kills.rpak",1,false
15,"16",10,"settings/itemflav/gcard_frame/caustic/s08bp_epic_01.rpak",1,true
15,"16",0,"settings/itemflav/gcard_tracker/bloodhound/season08_kills.rpak",1,false
16,"17",10,"settings/itemflav/weapon_skin/alternator/s08bp_rare_01.rpak",1,true
16,"17",0,"settings/itemflav/weapon_skin/flatline/s08bp_rare_01.rpak",1,false
17,"18",10,"settings/itemflav/character_kill_quip/caustic/s08bp_rare_01.rpak",1,true
17,"18",0,"settings/itemflav/gcard_tracker/loba/season08_wins.rpak",1,false
18,"19",10,"settings/itemflav/emote_icon/loba/s08bp_epic_01.rpak",1,true
18,"19",0,"settings/itemflav/gcard_tracker/caustic/season08_wins.rpak",1,false
19,"20",10,"settings/itemflav/grx_currency/crafting.rpak",120,true
19,"20",0,"settings/itemflav/gcard_tracker/bloodhound/season08_wins.rpak",1,false
20,"21",10,"settings/itemflav/grx_currency/premium.rpak",100,true
20,"21",0,"settings/itemflav/pack/cosmetic_rare.rpak",1,false
