"levelIndex","temp","xpPerLevel","reward","rewardQty","premium","notes","notes2"
0,"1",10,"settings/itemflav/character_skin/catalyst/epicp_v22_magicgoth.rpak",1,true,"",""
0,"1",0,"settings/itemflav/character_skin/seer/epicp_v22_magicgoth.rpak",1,true,"",""
0,"1",0,"settings/itemflav/character_skin/loba/epicp_v22_magicgoth.rpak",1,true,"",""
0,"1",0,"settings/itemflav/weapon_skin/energy_ar/lgnd_v22_magicgoth.rpak",1,true,"",""
0,"1",0,"settings/itemflav/xp_boost/battlepass_season15.rpak",1,true,"",""
0,"1",0,"settings/itemflav/loadscreen/s15bp_magicgoth_04.rpak",1,false,"",""
1,"2",10,"settings/itemflav/skydive_emote/catalyst/epic_v22_magicgoth_backflip.rpak",1,true,"",""
2,"3",10,"settings/itemflav/grx_currency/premium.rpak",100,true,"",""
3,"4",10,"settings/itemflav/musicpack/s15bp_season15.rpak",1,false,"",""
3,"4",0,"settings/itemflav/grx_currency/crafting.rpak",120,true,"",""
4,"5",10,"settings/itemflav/grx_currency/premium.rpak",100,false,"",""
4,"5",0,"settings/itemflav/pack/cosmetic_legendary.rpak",1,true,"",""
5,"6",10,"settings/itemflav/xp_boost/battlepass_season15.rpak",1,true,"",""
5,"6",0,"settings/itemflav/weapon_charm/charm_apex_theme_v22_magicgoth_magicgoth04.rpak",1,false,"",""
6,"7",10,"settings/itemflav/pack/cosmetic_rare.rpak",1,true,"",""
6,"7",0,"settings/itemflav/pack/cosmetic_rare.rpak",1,false,"",""
7,"8",10,"settings/itemflav/weapon_skin/autopistol/rare_v22_magicgoth.rpak",1,true,"",""
7,"8",0,"settings/itemflav/gcard_tracker/vantage/season15_magicgoth_wins.rpak",1,false,"",""
8,"9",10,"settings/itemflav/character_kill_quip/fuse/s15bp_rare_01.rpak",1,true,"",""
8,"9",0,"settings/itemflav/gcard_tracker/vantage/season15_magicgoth_kills.rpak",1,false,"",""
9,"10",10,"settings/itemflav/emote_icon/vantage_magicgoth/epic_v22_vantage_magicgoth_01.rpak",1,true,"",""
10,"11",10,"settings/itemflav/gcard_frame/crypto/epic_v22_magicgoth01.rpak",1,true,"",""
10,"11",0,"settings/itemflav/weapon_skin/volt/rare_v22_magicgoth.rpak",1,false,"",""
