"featureFlag","name","alias","priority","radioDisplayName","team","radioIntercept","vduVideo","dialogue"
"","","",0,"","",false,"",""
"","Training_Welcome","diag_mp_trIntro_01_75_bloodhound_3p",0,"Bloodhound","",false,"","Welcome to Apex Legends."
"","Training_Welcome2","diag_mp_trIntro_02_50_bloodhound_3p",0,"Bloodhound","",false,"","I am Bloth Hoondr... you can call me bloodhound."
"","Training_Movement","diag_mp_trIntro_03_50_bloodhound_3p",0,"Bloodhound","",false,"","Let us begin with basic movement. Complete the checklist on your HUD."
"","Training_GoToLoot","diag_mp_trIntro_04_50_bloodhound_3p",0,"Bloodhound","",false,"","Follow me. Sliding down hills increases speed."
"","Training_Loot_LootIntro","diag_mp_trLooting_01_50_bloodhound_3p",0,"Bloodhound","",false,"","Remember you start with nothing and must seek out supplies on your own."
"","Training_Loot_LootBin","diag_mp_trLooting_02_50_bloodhound_3p",0,"Bloodhound","",false,"","Inside the territories, you can find Supply Bins that carry weapons and resources you will need to survive. Open one."
"","Training_Loot_LootBinOpened","diag_mp_trLooting_03_50_bloodhound_3p",0,"Bloodhound","",false,"","Strong work. Grab your supplies."
"","Training_Loot_NextGrenade","diag_mp_trLooting_04_50_bloodhound_3p",0,"Bloodhound","",false,"","Your HUD will show what you have equipped. Follow the checklist to access and cycle through your inventory."
"","Training_Weapons_LootBin","diag_mp_trWeapons_01_50_bloodhound_3p",0,"Bloodhound","",false,"","Inside this Supply Bin you will find a weapon and ammo. Arm yourself."
"","Training_Weapons_EnableRange","diag_mp_trWeapons_06_50_bloodhound_3p",0,"Bloodhound","",false,"","The battle calls upon you. Slatra as many targets as you wish."
"","Training_Weapons_SecondWeapon","diag_mp_trWeapons_02_50_bloodhound_3p",0,"Bloodhound","",false,"","Each shot is important - as well as the weapon you hold. Grab a second. The field is full of choices."
"","Training_Weapons_SecondWeapon2","diag_mp_trWeapons_05_50_bloodhound_3p",0,"Bloodhound","",false,"","Remember, you can carry only two weapons. To equip a third, you must swap out the one you are holding. Choose your new weapon. "
"","Training_Ping1","diag_mp_trPinging_01_50_bloodhound_3p",0,"Bloodhound","",false,"","A powerful key to becoming an Apex Legend is communication with your brethren."
"","Training_Ping2","diag_mp_trPinging_02_50_bloodhound_3p",0,"Bloodhound","",false,"","You can Ping different locations, objects, and enemies depending on where you are looking. "
