"levelIndex","xpPerLevel","reward","rewardQty","premium","notes"
0,29500,"settings/itemflav/weapon_skin/hemlok/s05bp_legendary_01.rpak",1,true,""
0,0,"settings/itemflav/character_skin/wraith/s05bp_rare_01.rpak",1,true,""
0,0,"settings/itemflav/character_skin/revenant/s05bp_rare_01.rpak",1,true,""
0,0,"settings/itemflav/character_skin/bloodhound/s05bp_rare_01.rpak",1,true,""
0,0,"settings/itemflav/xp_boost/battlepass_season05.rpak",1,true,""
0,0,"settings/itemflav/gcard_tracker/pathfinder/season05_wins.rpak",1,false,""
1,29500,"settings/itemflav/pack/cosmetic_rare.rpak",1,true,""
1,0,"settings/itemflav/gcard_tracker/gibraltar/season05_kills.rpak",1,false,""
2,29500,"settings/itemflav/grx_currency/premium.rpak",50,true,""
2,0,"settings/itemflav/pack/cosmetic_rare.rpak",1,false,""
3,29500,"settings/itemflav/loadscreen/s05bp_01.rpak",1,true,""
3,0,"settings/itemflav/gcard_tracker/wraith/season05_wins.rpak",1,false,""
4,29500,"settings/itemflav/pack/cosmetic_legendary.rpak",1,true,""
4,0,"settings/itemflav/gcard_tracker/crypto/season05_kills.rpak",1,false,""
5,29500,"settings/itemflav/character_kill_quip/gibraltar/s05bp_rare_01.rpak",1,true,""
5,0,"settings/itemflav/character_kill_quip/wraith/s05bp_rare_01.rpak",1,false,""
6,29500,"settings/itemflav/weapon_skin/kraber/s05bp_rare_01.rpak",1,true,""
6,0,"settings/itemflav/pack/cosmetic_rare.rpak",1,false,""
7,29500,"settings/itemflav/grx_currency/crafting.rpak",120,true,""
7,0,"settings/itemflav/gcard_tracker/bangalore/season05_wins.rpak",1,false,""
8,29500,"settings/itemflav/loadscreen/s05bp_02.rpak",1,true,""
8,0,"settings/itemflav/gcard_tracker/wattson/season05_kills.rpak",1,false,""
9,29500,"settings/itemflav/xp_boost/battlepass_season05.rpak",1,true,""
9,0,"settings/itemflav/character_kill_quip/revenant/s05bp_rare_01.rpak",1,false,""
10,29500,"settings/itemflav/grx_currency/premium.rpak",50,true,""
10,0,"settings/itemflav/pack/cosmetic_rare.rpak",1,false,""
11,29500,"settings/itemflav/weapon_skin/dmr/s05bp_rare_01.rpak",1,true,""
11,0,"settings/itemflav/gcard_tracker/octane/season05_wins.rpak",1,false,""
12,29500,"settings/itemflav/skydive_emote/pathfinder/dance.rpak",1,true,""
12,0,"settings/itemflav/gcard_tracker/loba/season05_kills.rpak",1,false,""
13,29500,"settings/itemflav/character_kill_quip/bangalore/s05bp_rare_01.rpak",1,true,""
13,0,"settings/itemflav/gcard_tracker/lifeline/season05_wins.rpak",1,false,""
14,29500,"settings/itemflav/weapon_skin/g7/s05bp_rare_01.rpak",1,true,""
14,0,"settings/itemflav/gcard_tracker/mirage/season05_kills.rpak",1,false,""
15,29500,"settings/itemflav/grx_currency/crafting.rpak",120,true,""
15,0,"settings/itemflav/gcard_tracker/caustic/season05_wins.rpak",1,false,""
16,29500,"settings/itemflav/loadscreen/s05bp_03.rpak",1,true,""
16,0,"settings/itemflav/pack/cosmetic_rare.rpak",1,false,""
17,29500,"settings/itemflav/grx_currency/premium.rpak",100,true,""
17,0,"settings/itemflav/gcard_tracker/bloodhound/season05_kills.rpak",1,false,""
18,29500,"settings/itemflav/weapon_skin/tripletake/s05bp_rare_01.rpak",1,true,""
18,0,"settings/itemflav/gcard_tracker/revenant/season05_wins.rpak",1,false,""
19,29500,"settings/itemflav/xp_boost/battlepass_season05.rpak",1,true,""
19,0,"settings/itemflav/character_kill_quip/mirage/s05bp_rare_01.rpak",1,false,""
20,29500,"settings/itemflav/gcard_frame/octane/s05bp_epic_01.rpak",1,true,""
20,0,"settings/itemflav/gcard_tracker/revenant/season05_kills.rpak",1,false,""
21,29500,"settings/itemflav/weapon_skin/chargerifle/s05bp_rare_01.rpak",1,true,""
21,0,"settings/itemflav/gcard_tracker/bloodhound/season05_wins.rpak",1,false,""
22,29500,"settings/itemflav/musicpack/s05bp_season5.rpak",1,true,""
22,0,"settings/itemflav/gcard_tracker/caustic/season05_kills.rpak",1,false,""
23,29500,"settings/itemflav/grx_currency/crafting.rpak",120,true,""
23,0,"settings/itemflav/character_kill_quip/crypto/s05bp_rare_01.rpak",1,false,""
24,29500,"settings/itemflav/character_skin/mirage/s05bp_legendary_01.rpak",1,true,""
24,0,"settings/itemflav/pack/cosmetic_rare.rpak",1,false,""
25,29500,"settings/itemflav/pack/cosmetic_rare.rpak",1,true,""
25,0,"settings/itemflav/gcard_tracker/mirage/season05_wins.rpak",1,false,""
26,29500,"settings/itemflav/gcard_frame/revenant/s05bp_epic_01.rpak",1,true,""
26,0,"settings/itemflav/gcard_tracker/lifeline/season05_kills.rpak",1,false,""
27,29500,"settings/itemflav/weapon_skin/hemlok/s05bp_rare_01.rpak",1,true,""
27,0,"settings/itemflav/gcard_tracker/loba/season05_wins.rpak",1,false,""
28,29500,"settings/itemflav/weapon_charm/charm_apex_theme_v20_trshunter_prop_satchel01.rpak",1,true,""
28,0,"settings/itemflav/character_kill_quip/wattson/s05bp_rare_01.rpak",1,false,""
29,29500,"settings/itemflav/xp_boost/battlepass_season05.rpak",1,true,""
29,0,"settings/itemflav/gcard_tracker/octane/season05_kills.rpak",1,false,""
30,29500,"settings/itemflav/weapon_skin/flatline/s05bp_rare_01.rpak",1,true,""
30,0,"settings/itemflav/gcard_tracker/wattson/season05_wins.rpak",1,false,""
31,29500,"settings/itemflav/character_kill_quip/caustic/s05bp_rare_01.rpak",1,true,""
31,0,"settings/itemflav/pack/cosmetic_rare.rpak",1,false,""
32,29500,"settings/itemflav/grx_currency/crafting.rpak",120,true,""
32,0,"settings/itemflav/gcard_tracker/bangalore/season05_kills.rpak",1,false,""
33,29500,"settings/itemflav/loadscreen/s05bp_04.rpak",1,true,""
33,0,"settings/itemflav/gcard_tracker/crypto/season05_wins.rpak",1,false,""
34,29500,"settings/itemflav/grx_currency/premium.rpak",100,true,""
34,0,"settings/itemflav/gcard_tracker/wraith/season05_kills.rpak",1,false,""
35,29500,"settings/itemflav/weapon_skin/r301/s05bp_rare_01.rpak",1,true,""
35,0,"settings/itemflav/gcard_tracker/gibraltar/season05_wins.rpak",1,false,""
36,29500,"settings/itemflav/skydive_emote/lifeline/relax.rpak",1,true,""
36,0,"settings/itemflav/gcard_tracker/pathfinder/season05_kills.rpak",1,false,""
