"levelIndex","temp","xpPerLevel","reward","rewardQty","premium","notes","notes2"
0,"1",10,"settings/itemflav/xp_boost/battlepass_season16.rpak",1,true,"",""
0,"1",0,"settings/itemflav/character_skin/bloodhound/epicp_v22_partymusic.rpak",1,true,"",""
0,"1",0,"settings/itemflav/character_skin/mirage/epicp_v22_partymusic.rpak",1,true,"",""
0,"1",0,"settings/itemflav/character_skin/rampart/epicp_v22_partymusic.rpak",1,true,"",""
0,"1",0,"settings/itemflav/weapon_skin/g7/lgnd_v22_partymusic.rpak",1,true,"",""
0,"1",0,"settings/itemflav/loadscreen/s16bp_partymusic_01.rpak",1,false,"",""
1,"2",10,"settings/itemflav/skydive_emote/loba/epic_v22_partymusic_backflip.rpak",1,true,"",""
2,"3",10,"settings/itemflav/grx_currency/premium.rpak",100,true,"",""
3,"4",10,"settings/itemflav/grx_currency/crafting.rpak",120,true,"",""
3,"4",0,"settings/itemflav/musicpack/s16bp_partymusic_01.rpak",1,false,"",""
4,"5",10,"settings/itemflav/pack/cosmetic_legendary.rpak",1,true,"",""
4,"5",0,"settings/itemflav/grx_currency/premium.rpak",100,false,"",""
5,"6",10,"settings/itemflav/xp_boost/battlepass_season16.rpak",1,true,"",""
5,"6",0,"settings/itemflav/weapon_charm/charm_apex_theme_v22_partymusic_partymusic01.rpak",1,false,"",""
6,"7",10,"settings/itemflav/pack/cosmetic_rare.rpak",1,true,"",""
6,"7",0,"settings/itemflav/pack/cosmetic_rare.rpak",1,false,"",""
7,"8",10,"settings/itemflav/weapon_skin/devotion/rare_v22_partymusic.rpak",1,true,"",""
7,"8",0,"settings/itemflav/gcard_tracker/madmaggie/s16bp_partymusic_wins.rpak",1,false,"",""
8,"9",10,"settings/itemflav/character_kill_quip/madmaggie/s16bp_rare_01.rpak",1,true,"",""
8,"9",0,"settings/itemflav/gcard_tracker/madmaggie/s16bp_partymusic_kills.rpak",1,false,"",""
9,"10",10,"settings/itemflav/emote_icon/partymusic/epic_v22_partymusic_01.rpak",1,true,"",""
10,"11",10,"settings/itemflav/gcard_frame/fuse/epic_v22_partymusic01.rpak",1,true,"",""
11,"12",10,"settings/itemflav/character_emote/wattson/epic_v22_partymusic_hugherself.rpak",1,true,"",""
11,"12",0,"settings/itemflav/weapon_skin/kraber/rare_v22_partymusic.rpak",1,false,"",""
12,"13",10,"settings/itemflav/grx_currency/crafting.rpak",120,true,"",""
12,"13",0,"settings/itemflav/loadscreen/s16bp_partymusic_02.rpak",1,false,"",""
13,"14",10,"settings/itemflav/xp_boost/battlepass_season16.rpak",1,true,"",""
13,"14",0,"settings/itemflav/weapon_skin/mozambique/rare_v22_partymusic.rpak",1,false,"",""
14,"15",10,"settings/itemflav/gcard_tracker/crypto/s16bp_partymusic_career_kills.rpak",1,true,"",""
15,"16",10,"settings/itemflav/gcard_tracker/crypto/s16bp_partymusic_career_wins.rpak",1,true,"",""
15,"16",0,"settings/itemflav/gcard_tracker/fuse/s16bp_partymusic_wins.rpak",1,false,"",""
16,"17",10,"settings/itemflav/gcard_tracker/crypto/s16bp_partymusic_career_damage_done.rpak",1,true,"",""
16,"17",0,"settings/itemflav/gcard_tracker/fuse/s16bp_partymusic_kills.rpak",1,false,"",""
17,"18",10,"settings/itemflav/gcard_frame/crypto/epic_v22_partymusic01.rpak",1,true,"",""
17,"18",0,"settings/itemflav/gcard_tracker/wattson/s16bp_partymusic_wins.rpak",1,false,"",""
18,"19",10,"settings/itemflav/emote_icon/crypto_partymusic/epic_v22_crypto_partymusic_01.rpak",1,true,"",""
18,"19",0,"settings/itemflav/gcard_tracker/wattson/s16bp_partymusic_kills.rpak",1,false,"",""
19,"20",10,"settings/itemflav/grx_currency/crafting.rpak",120,true,"",""
20,"21",10,"settings/itemflav/grx_currency/premium.rpak",100,true,"",""
20,"21",0,"settings/itemflav/weapon_skin/3030repeater/rare_v22_partymusic.rpak",1,false,"",""
21,"22",10,"settings/itemflav/xp_boost/battlepass_season16.rpak",1,true,"",""
21,"22",0,"settings/itemflav/gcard_tracker/crypto/s16bp_partymusic_wins.rpak",1,false,"",""
22,"23",10,"settings/itemflav/character_kill_quip/crypto/s16bp_rare_01.rpak",1,true,"",""
22,"23",0,"settings/itemflav/gcard_tracker/crypto/s16bp_partymusic_kills.rpak",1,false,"",""
23,"24",10,"settings/itemflav/weapon_charm/charm_apex_theme_v22_partymusic_partymusic02.rpak",1,true,"",""
23,"24",0,"settings/itemflav/pack/cosmetic_rare.rpak",1,false,"",""
24,"25",10,"settings/itemflav/character_skin/crypto/lgnd_v22_partymusic.rpak",1,true,"",""
24,"25",0,"settings/itemflav/weapon_skin/r97/rare_v22_partymusic.rpak",1,false,"",""
25,"26",10,"settings/itemflav/weapon_skin/car/rare_v22_partymusic.rpak",1,true,"",""
