"levelIndex","temp","xpPerLevel","reward","rewardQty","premium","notes","notes2"
0,"1",10,"settings/itemflav/weapon_skin/spitfire/s09bp_legendary_01.rpak",1,true,"",""
0,"1",0,"settings/itemflav/character_skin/octane/s09bp_rare_01.rpak",1,true,"",""
0,"1",0,"settings/itemflav/character_skin/mirage/s09bp_rare_01.rpak",1,true,"",""
0,"1",0,"settings/itemflav/character_skin/bangalore/s09bp_rare_01.rpak",1,true,"",""
0,"1",0,"settings/itemflav/xp_boost/battlepass_season09.rpak",1,true,"",""
1,"2",10,"settings/itemflav/pack/cosmetic_rare.rpak",1,true,"",""
1,"2",0,"settings/itemflav/weapon_skin/alternator/s09bp_rare_01.rpak",1,false,"",""
2,"3",10,"settings/itemflav/grx_currency/premium.rpak",100,true,"",""
2,"3",0,"settings/itemflav/loadscreen/s09bp_01.rpak",1,false,"",""
3,"4",10,"settings/itemflav/emote_icon/pathfinder/s09bp_epic_01.rpak",1,true,"",""
3,"4",0,"settings/itemflav/musicpack/s09bp_season9.rpak",1,false,"",""
4,"5",10,"settings/itemflav/pack/cosmetic_legendary.rpak",1,true,"",""
4,"5",0,"settings/itemflav/grx_currency/premium.rpak",100,false,"",""
5,"6",10,"settings/itemflav/xp_boost/battlepass_season09.rpak",1,true,"",""
5,"6",0,"settings/itemflav/gcard_tracker/fuse/season09_kills.rpak",1,false,"",""
6,"7",10,"settings/itemflav/weapon_skin/dmr/s09bp_rare_01.rpak",1,true,"",""
6,"7",0,"settings/itemflav/gcard_tracker/mirage/season09_kills.rpak",1,false,"",""
7,"8",10,"settings/itemflav/character_kill_quip/valkyrie/s09bp_rare_01.rpak",1,true,"",""
7,"8",0,"settings/itemflav/gcard_tracker/bangalore/season09_kills.rpak",1,false,"",""
8,"9",10,"settings/itemflav/emote_icon/valkyrie/s09bp_epic_01.rpak",1,true,"",""
8,"9",0,"settings/itemflav/weapon_skin/pdw/s09bp_rare_01.rpak",1,false,"",""
9,"10",10,"settings/itemflav/character_kill_quip/bloodhound/s09bp_rare_01.rpak",1,true,"",""
9,"10",0,"settings/itemflav/gcard_tracker/fuse/season09_wins.rpak",1,false,"",""
10,"11",10,"settings/itemflav/gcard_frame/caustic/s09bp_epic_01.rpak",1,true,"",""
10,"11",0,"settings/itemflav/gcard_tracker/mirage/season09_wins.rpak",1,false,"",""
11,"12",10,"settings/itemflav/grx_currency/crafting.rpak",120,true,"",""
11,"12",0,"settings/itemflav/gcard_tracker/bangalore/season09_wins.rpak",1,false,"",""
12,"13",10,"settings/itemflav/grx_currency/premium.rpak",100,true,"",""
12,"13",0,"settings/itemflav/pack/cosmetic_rare.rpak",1,false,"",""
13,"14",10,"settings/itemflav/xp_boost/battlepass_season09.rpak",1,true,"",""
13,"14",0,"settings/itemflav/gcard_tracker/caustic/season09_kills.rpak",1,false,"",""
14,"15",10,"settings/itemflav/weapon_skin/flatline/s09bp_rare_01.rpak",1,true,"",""
14,"15",0,"settings/itemflav/gcard_tracker/wattson/season09_kills.rpak",1,false,"",""
15,"16",10,"settings/itemflav/gcard_frame/revenant/s09bp_epic_01.rpak",1,true,"",""
15,"16",0,"settings/itemflav/gcard_tracker/lifeline/season09_kills.rpak",1,false,"",""
16,"17",10,"settings/itemflav/character_kill_quip/wattson/s09bp_rare_01.rpak",1,true,"",""
16,"17",0,"settings/itemflav/weapon_skin/mozambique/s09bp_rare_01.rpak",1,false,"",""
17,"18",10,"settings/itemflav/loadscreen/s09bp_02.rpak",1,true,"",""
17,"18",0,"settings/itemflav/gcard_tracker/caustic/season09_wins.rpak",1,false,"",""
18,"19",10,"settings/itemflav/emote_icon/horizon/s09bp_epic_01.rpak",1,true,"",""
18,"19",0,"settings/itemflav/gcard_tracker/wattson/season09_wins.rpak",1,false,"",""
