"levelIndex","temp","xpPerLevel","reward","rewardQty","premium","notes","notes2"
0,"1",10,"settings/itemflav/character_skin/vantage/epicp_v22_huntersafari.rpak",1,true,"",""
0,"1",0,"settings/itemflav/character_skin/bangalore/epicp_v22_huntersafari.rpak",1,true,"",""
0,"1",0,"settings/itemflav/character_skin/horizon/epicp_v22_huntersafari.rpak",1,true,"",""
0,"1",0,"settings/itemflav/weapon_skin/wingman/lgnd_v22_huntersafari.rpak",1,true,"",""
0,"1",0,"settings/itemflav/xp_boost/battlepass_season14.rpak",1,true,"",""
0,"1",0,"settings/itemflav/loadscreen/s14bp_huntersafari_01.rpak",1,false,"",""
1,"2",10,"settings/itemflav/skydive_emote/vantage/epic_v22_huntersafari_batflip.rpak",1,true,"",""
2,"3",10,"settings/itemflav/pack/cosmetic_legendary.rpak",1,true,"",""
3,"4",10,"settings/itemflav/musicpack/s14bp_season14.rpak",1,false,"",""
3,"4",0,"settings/itemflav/grx_currency/crafting.rpak",120,true,"",""
4,"5",10,"settings/itemflav/grx_currency/premium.rpak",100,false,"",""
4,"5",0,"settings/itemflav/grx_currency/premium.rpak",100,true,"",""
5,"6",10,"settings/itemflav/xp_boost/battlepass_season14.rpak",1,true,"",""
5,"6",0,"settings/itemflav/weapon_charm/charm_apex_theme_v22_huntersafari_huntersafari01.rpak",1,false,"",""
6,"7",10,"settings/itemflav/pack/cosmetic_rare.rpak",1,true,"",""
6,"7",0,"settings/itemflav/pack/cosmetic_rare.rpak",1,false,"",""
7,"8",10,"settings/itemflav/weapon_skin/r97/rare_v22_huntersafari.rpak",1,true,"",""
7,"8",0,"settings/itemflav/gcard_tracker/pathfinder/season14_huntersafari_wins.rpak",1,false,"",""
8,"9",10,"settings/itemflav/character_kill_quip/valkyrie/s14bp_rare_01.rpak",1,true,"",""
8,"9",0,"settings/itemflav/gcard_tracker/valkyrie/season14_huntersafari_wins.rpak",1,false,"",""
9,"10",10,"settings/itemflav/emote_icon/loba_huntersafari/epic_v22_loba_huntersafari_01.rpak",1,true,"",""
9,"10",0,"settings/itemflav/weapon_skin/semipistol/rare_v22_huntersafari.rpak",1,false,"",""
10,"11",10,"settings/itemflav/gcard_frame/wattson/epic_v22_huntersafari01.rpak",1,true,"",""
10,"11",0,"settings/itemflav/loadscreen/s14bp_huntersafari_02.rpak",1,false,"",""
11,"12",10,"settings/itemflav/character_emote/lifeline/epic_v22_huntersafari_dancing.rpak",1,true,"",""
11,"12",0,"settings/itemflav/gcard_tracker/lifeline/season14_huntersafari_wins.rpak",1,false,"",""
12,"13",10,"settings/itemflav/grx_currency/crafting.rpak",120,true,"",""
13,"14",10,"settings/itemflav/xp_boost/battlepass_season14.rpak",1,true,"",""
14,"15",10,"settings/itemflav/gcard_tracker/wraith/s14bp_career_kills.rpak",1,true,"",""
14,"15",0,"settings/itemflav/weapon_skin/g7/rare_v22_huntersafari.rpak",1,false,"",""
15,"16",10,"settings/itemflav/gcard_tracker/wraith/s14bp_career_wins.rpak",1,true,"",""
15,"16",0,"settings/itemflav/gcard_tracker/bangalore/season14_huntersafari_wins.rpak",1,false,"",""
16,"17",10,"settings/itemflav/emote_icon/wraith_huntersafari/epic_v22_wraith_huntersafari_01.rpak",1,true,"",""
16,"17",0,"settings/itemflav/gcard_tracker/wattson/season14_huntersafari_wins.rpak",1,false,"",""
17,"18",10,"settings/itemflav/gcard_frame/wraith/epic_v22_huntersafari01.rpak",1,true,"",""
17,"18",0,"settings/itemflav/gcard_tracker/crypto/season14_huntersafari_wins.rpak",1,false,"",""
18,"19",10,"settings/itemflav/gcard_tracker/wraith/s14bp_career_damage_done.rpak",1,true,"",""
18,"19",0,"settings/itemflav/gcard_tracker/revenant/season14_huntersafari_wins.rpak",1,false,"",""
19,"20",10,"settings/itemflav/grx_currency/crafting.rpak",120,true,"",""
19,"20",0,"settings/itemflav/weapon_skin/flatline/rare_v22_huntersafari.rpak",1,false,"",""
20,"21",10,"settings/itemflav/grx_currency/premium.rpak",100,true,"",""
21,"22",10,"settings/itemflav/xp_boost/battlepass_season14.rpak",1,true,"",""
22,"23",10,"settings/itemflav/character_kill_quip/wraith/s14bp_rare_01.rpak",1,true,"",""
22,"23",0,"settings/itemflav/gcard_tracker/wraith/season14_huntersafari_wins.rpak",1,false,"",""
23,"24",10,"settings/itemflav/weapon_charm/charm_apex_theme_v22_huntersafari_huntersafari02.rpak",1,true,"",""
23,"24",0,"settings/itemflav/pack/cosmetic_rare.rpak",1,false,"",""
24,"25",10,"settings/itemflav/character_skin/wraith/lgnd_v22_huntersafari.rpak",1,true,"",""
24,"25",0,"settings/itemflav/weapon_skin/autopistol/rare_v22_huntersafari.rpak",1,false,"",""
25,"26",10,"settings/itemflav/weapon_skin/hemlok/rare_v22_huntersafari.rpak",1,true,"",""
25,"26",0,"settings/itemflav/gcard_tracker/octane/season14_huntersafari_wins.rpak",1,false,"",""
26,"27",10,"settings/itemflav/pack/cosmetic_rare.rpak",1,true,"",""
26,"27",0,"settings/itemflav/gcard_tracker/gibraltar/season14_huntersafari_wins.rpak",1,false,"",""
27,"28",10,"settings/itemflav/grx_currency/crafting.rpak",120,true,"",""
28,"29",10,"settings/itemflav/grx_currency/premium.rpak",100,true,"",""
28,"29",0,"settings/itemflav/weapon_skin/mozambique/rare_v22_huntersafari.rpak",1,false,"",""
29,"30",10,"settings/itemflav/xp_boost/battlepass_season14.rpak",1,true,"",""
30,"31",10,"settings/itemflav/character_kill_quip/vantage/s14bp_rare_01.rpak",1,true,"",""
30,"31",0,"settings/itemflav/gcard_tracker/bloodhound/season14_huntersafari_wins.rpak",1,false,"",""
31,"32",10,"settings/itemflav/gcard_frame/vantage/epic_v22_huntersafari01.rpak",1,true,"",""
31,"32",0,"settings/itemflav/weapon_skin/eva/rare_v22_huntersafari.rpak",1,false,"",""
32,"33",10,"settings/itemflav/weapon_charm/charm_apex_theme_v22_huntersafari_huntersafari03.rpak",1,true,"",""
32,"33",0,"settings/itemflav/gcard_tracker/vantage/season14_huntersafari_wins.rpak",1,false,"",""
33,"34",10,"settings/itemflav/weapon_skin/dmr/rare_v22_huntersafari.rpak",1,true,"",""
33,"34",0,"settings/itemflav/gcard_tracker/loba/season14_huntersafari_wins.rpak",1,false,"",""
34,"35",10,"settings/itemflav/emote_icon/huntersafari/epic_v22_huntersafari_01.rpak",1,true,"",""
34,"35",0,"settings/itemflav/gcard_tracker/rampart/season14_huntersafari_wins.rpak",1,false,"",""
35,"36",10,"settings/itemflav/grx_currency/premium.rpak",100,true,"",""
36,"37",10,"settings/itemflav/grx_currency/crafting.rpak",120,true,"",""
36,"37",0,"settings/itemflav/weapon_skin/sentinel/rare_v22_huntersafari.rpak",1,false,"",""
37,"38",10,"settings/itemflav/xp_boost/battlepass_season14.rpak",1,true,"",""
38,"39",10,"settings/itemflav/emote_icon/madmaggie_huntersafari/epic_v22_madmaggie_huntersafari_01.rpak",1,true,"",""
38,"39",0,"settings/itemflav/gcard_tracker/fuse/season14_huntersafari_wins.rpak",1,false,"",""
39,"40",10,"settings/itemflav/weapon_skin/devotion/rare_v22_huntersafari.rpak",1,true,"",""
39,"40",0,"settings/itemflav/gcard_tracker/seer/season14_huntersafari_wins.rpak",1,false,"",""
40,"41",10,"settings/itemflav/character_kill_quip/newcastle/s14bp_rare_01.rpak",1,true,"",""
40,"41",0,"settings/itemflav/weapon_skin/car/rare_v22_huntersafari.rpak",1,false,"",""
41,"42",10,"settings/itemflav/gcard_frame/revenant/epic_v22_huntersafari01.rpak",1,true,"",""
41,"42",0,"settings/itemflav/gcard_tracker/ash/season14_huntersafari_wins.rpak",1,false,"",""
42,"43",10,"settings/itemflav/character_emote/ash/epic_v22_huntersafari_meditating.rpak",1,true,"",""
42,"43",0,"settings/itemflav/gcard_tracker/madmaggie/season14_huntersafari_wins.rpak",1,false,"",""
43,"44",10,"settings/itemflav/grx_currency/crafting.rpak",120,true,"",""
44,"45",10,"settings/itemflav/grx_currency/premium.rpak",100,true,"",""
44,"45",0,"settings/itemflav/loadscreen/s14bp_huntersafari_04.rpak",1,false,"",""
45,"46",10,"settings/itemflav/xp_boost/battlepass_season14.rpak",1,true,"",""
46,"47",10,"settings/itemflav/weapon_charm/charm_apex_theme_v22_huntersafari_huntersafari04.rpak",1,true,"",""
46,"47",0,"settings/itemflav/gcard_tracker/horizon/season14_huntersafari_wins.rpak",1,false,"",""
47,"48",10,"settings/itemflav/gcard_tracker/caustic/s14bp_career_kills.rpak",1,true,"",""
47,"48",0,"settings/itemflav/gcard_tracker/newcastle/season14_huntersafari_wins.rpak",1,false,"",""
48,"49",10,"settings/itemflav/gcard_tracker/caustic/s14bp_career_wins.rpak",1,true,"",""
48,"49",0,"settings/itemflav/pack/cosmetic_rare.rpak",1,false,"",""
49,"50",10,"settings/itemflav/character_skin/caustic/lgnd_v22_huntersafari.rpak",1,true,"",""
49,"50",0,"settings/itemflav/gcard_tracker/caustic/season14_huntersafari_wins.rpak",1,false,"",""
50,"51",10,"settings/itemflav/gcard_tracker/caustic/s14bp_career_damage_done.rpak",1,true,"",""
50,"51",0,"settings/itemflav/musicpack/s14bp_vantage.rpak",1,false,"",""
51,"52",10,"settings/itemflav/emote_icon/huntersafari/epic_v22_huntersafari_02.rpak",1,true,"",""
51,"52",0,"settings/itemflav/gcard_tracker/mirage/season14_huntersafari_wins.rpak",1,false,"",""
52,"53",10,"settings/itemflav/grx_currency/crafting.rpak",120,true,"",""
53,"54",10,"settings/itemflav/xp_boost/battlepass_season14.rpak",1,true,"",""
54,"55",10,"settings/itemflav/gcard_frame/caustic/epic_v22_huntersafari01.rpak",1,true,"",""
54,"55",0,"settings/itemflav/weapon_skin/peacekeeper/rare_v22_huntersafari.rpak",1,false,"",""
55,"56",10,"settings/itemflav/weapon_skin/volt/rare_v22_huntersafari.rpak",1,true,"",""
55,"56",0,"settings/itemflav/gcard_tracker/caustic/season14_huntersafari_kills.rpak",1,false,"",""
56,"57",10,"settings/itemflav/character_kill_quip/caustic/s14bp_rare_01.rpak",1,true,"",""
56,"57",0,"settings/itemflav/gcard_tracker/rampart/season14_huntersafari_kills.rpak",1,false,"",""
57,"58",10,"settings/itemflav/loadscreen/s14bp_huntersafari_05.rpak",1,true,"",""
57,"58",0,"settings/itemflav/character_skin/wattson/rare_v22_huntersafari.rpak",1,false,"",""
58,"59",10,"settings/itemflav/pack/cosmetic_rare.rpak",1,true,"",""
58,"59",0,"settings/itemflav/gcard_tracker/vantage/season14_huntersafari_kills.rpak",1,false,"",""
59,"60",10,"settings/itemflav/grx_currency/crafting.rpak",120,true,"",""
59,"60",0,"settings/itemflav/pack/cosmetic_rare.rpak",1,false,"",""
60,"61",10,"settings/itemflav/grx_currency/premium.rpak",100,true,"",""
61,"62",10,"settings/itemflav/xp_boost/battlepass_season14.rpak",1,true,"",""
62,"63",10,"settings/itemflav/emote_icon/octane_huntersafari/epic_v22_octane_huntersafari_01.rpak",1,true,"",""
62,"63",0,"settings/itemflav/weapon_skin/dragon/rare_v22_huntersafari.rpak",1,false,"",""
63,"64",10,"settings/itemflav/gcard_frame/crypto/epic_v22_huntersafari01.rpak",1,true,"",""
63,"64",0,"settings/itemflav/gcard_tracker/octane/season14_huntersafari_kills.rpak",1,false,"",""
64,"65",10,"settings/itemflav/skydive_emote/vantage/epic_v22_huntersafari_playfetch.rpak",1,true,"",""
64,"65",0,"settings/itemflav/gcard_tracker/crypto/season14_huntersafari_kills.rpak",1,false,"",""
65,"66",10,"settings/itemflav/character_kill_quip/pathfinder/s14bp_rare_01.rpak",1,true,"",""
65,"66",0,"settings/itemflav/gcard_tracker/wattson/season14_huntersafari_kills.rpak",1,false,"",""
66,"67",10,"settings/itemflav/weapon_skin/mastiff/rare_v22_huntersafari.rpak",1,true,"",""
66,"67",0,"settings/itemflav/pack/cosmetic_rare.rpak",1,false,"",""
67,"68",10,"settings/itemflav/grx_currency/crafting.rpak",120,true,"",""
67,"68",0,"settings/itemflav/gcard_tracker/lifeline/season14_huntersafari_kills.rpak",1,false,"",""
68,"69",10,"settings/itemflav/grx_currency/premium.rpak",100,true,"",""
69,"70",10,"settings/itemflav/xp_boost/battlepass_season14.rpak",1,true,"",""
70,"71",10,"settings/itemflav/weapon_skin/r301/rare_v22_huntersafari.rpak",1,true,"",""
70,"71",0,"settings/itemflav/gcard_tracker/wraith/season14_huntersafari_kills.rpak",1,false,"",""
