"featureFlag","event","priority","blocksNextPriority","method","bodyType","alias_1p_victim_only","alias_3p_except_victim","alias_3p_attacker_only","alias_3p_except_attacker"
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",105,false,"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","","!!DATA EXCLUDED!!","",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",105,false,"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","","","",""
"xx","death",105,false,"SE_GIB","NPC_PROWLER","","","",""
"xx","death",105,false,"SE_GIB","NPC_SPECTRE","","","",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",105,false,"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","","","",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",110,true,"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","","","","!!DATA EXCLUDED!!"
"xx","death",110,true,"SE_HEADSHOT_BULLET","NPC_SPECTRE","","","","Android.Light.BulletImpact_Headshot_3P_vs_3P"
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",110,true,"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","","","","!!DATA EXCLUDED!!"
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",110,true,"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","","","","!!DATA EXCLUDED!!"
"xx","death",110,true,"SE_HEADSHOT_SHOTGUN","NPC_SPECTRE","","","","Android.Heavy.BulletImpact_Headshot_3P_vs_3P"
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",110,true,"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","","","","!!DATA EXCLUDED!!"
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",110,true,"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","","","","!!DATA EXCLUDED!!"
"xx","death",110,true,"SE_HEADSHOT_TITAN","NPC_SPECTRE","","","","Android.Heavy.BulletImpact_Headshot_3P_vs_3P"
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",110,true,"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","","","","!!DATA EXCLUDED!!"
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",120,true,"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","","!!DATA EXCLUDED!!","",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",140,true,"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","","!!DATA EXCLUDED!!","",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",160,true,"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","","!!DATA EXCLUDED!!","",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",180,true,"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","","!!DATA EXCLUDED!!","",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",200,true,"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","","!!DATA EXCLUDED!!","",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",220,true,"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","","!!DATA EXCLUDED!!","",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",290,true,"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","","!!DATA EXCLUDED!!","",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",290,true,"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","","!!DATA EXCLUDED!!","",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",290,true,"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","","!!DATA EXCLUDED!!","",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",290,true,"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","","!!DATA EXCLUDED!!","",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",290,true,"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","","!!DATA EXCLUDED!!","",""
"xx","death",120,true,"SE_EXECUTION","CLASS_BANSHEE","","","",""
"xx","death",290,true,"SE_ANY","CLASS_BANSHEE","diag_mp_wraith_effort_deathCam_3p","diag_mp_wraith_effort_death_3p","",""
"xx","death",120,true,"SE_EXECUTION","CLASS_BLOODHOUND","","","",""
"xx","death",290,true,"SE_ANY","CLASS_BLOODHOUND","diag_mp_bloodhound_effort_deathCam_3p","diag_mp_bloodhound_effort_death_3p","",""
"xx","death",120,true,"SE_EXECUTION","CLASS_GIBRALTER","","","",""
"xx","death",290,true,"SE_ANY","CLASS_GIBRALTER","diag_mp_gibraltar_effort_deathCam_3p","diag_mp_gibraltar_effort_death_3p","",""
"xx","death",120,true,"SE_EXECUTION","CLASS_LIFELINE","","","",""
"xx","death",290,true,"SE_ANY","CLASS_LIFELINE","diag_mp_lifeline_effort_deathCam_3p","diag_mp_lifeline_effort_death_3p","",""
"xx","death",120,true,"SE_EXECUTION","CLASS_PATHFINDER","","","",""
"xx","death",290,true,"SE_ANY","CLASS_PATHFINDER","diag_mp_pathfinder_effort_deathCam_3p","diag_mp_pathfinder_effort_death_3p","",""
"xx","death",120,true,"SE_EXECUTION","CLASS_MIRAGE","","","",""
"xx","death",290,true,"SE_ANY","CLASS_MIRAGE","diag_mp_mirage_effort_deathCam_3p","diag_mp_mirage_effort_death_3p","",""
"xx","death",120,true,"SE_EXECUTION","CLASS_BANGALORE","","","",""
"xx","death",290,true,"SE_ANY","CLASS_BANGALORE","diag_mp_bangalore_effort_deathCam_3p","diag_mp_bangalore_effort_death_3p","",""
"xx","death",120,true,"SE_EXECUTION","CLASS_CAUSTIC","","","",""
"xx","death",290,true,"SE_ANY","CLASS_CAUSTIC","diag_mp_caustic_effort_deathCam_3p","diag_mp_caustic_effort_death_3p","",""
"xx","death",120,true,"SE_EXECUTION","CLASS_OCTANE","","","",""
"xx","death",290,true,"SE_ANY","CLASS_OCTANE","diag_mp_octane_effort_deathCam_3p","diag_mp_octane_effort_death_3p","",""
"xx","death",120,true,"SE_EXECUTION","CLASS_WATTSON","","","",""
"xx","death",290,true,"SE_ANY","CLASS_WATTSON","diag_mp_wattson_effort_deathCam_3p","diag_mp_wattson_effort_death_3p","",""
"xx","death",120,true,"SE_EXECUTION","CLASS_CRYPTO","","","",""
"xx","death",290,true,"SE_ANY","CLASS_CRYPTO","diag_mp_crypto_effort_deathCam_3p","diag_mp_crypto_effort_death_3p","",""
"xx","death",120,true,"SE_EXECUTION","CLASS_REVENANT","","","",""
"xx","death",290,true,"SE_ANY","CLASS_REVENANT","diag_mp_revenant_effort_deathCam_3p","diag_mp_revenant_effort_death_3p","",""
"xx","death",120,true,"SE_EXECUTION","CLASS_LOBA","","","",""
"xx","death",290,true,"SE_ANY","CLASS_LOBA","diag_mp_loba_effort_deathCam_3p","diag_mp_loba_effort_death_3p","",""
"xx","death",120,true,"SE_EXECUTION","CLASS_RAMPART","","","",""
"xx","death",290,true,"SE_ANY","CLASS_RAMPART","diag_mp_rampart_effort_deathCam_3p","diag_mp_rampart_effort_death_3p","",""
"xx","death",120,true,"SE_EXECUTION","CLASS_HORIZON","","","",""
"xx","death",290,true,"SE_ANY","CLASS_HORIZON","diag_mp_horizon_effort_deathCam_3p","diag_mp_horizon_effort_death_3p","",""
"xx","death",120,true,"SE_EXECUTION","CLASS_FUSE","","","",""
"xx","death",290,true,"SE_ANY","CLASS_FUSE","diag_mp_fuse_effort_deathCam_3p","diag_mp_fuse_effort_death_3p","",""
"xx","death",120,true,"SE_EXECUTION","CLASS_VALKYRIE","","","",""
"xx","death",290,true,"SE_ANY","CLASS_VALKYRIE","diag_mp_valkyrie_effort_deathCam_3p","diag_mp_valkyrie_effort_death_3p","",""
"xx","death",120,true,"SE_EXECUTION","CLASS_SEER","","","",""
"xx","death",290,true,"SE_ANY","CLASS_SEER","diag_mp_seer_effort_deathCam_3p","diag_mp_seer_effort_death_3p","",""
"xx","death",120,true,"SE_EXECUTION","CLASS_ASH","","","",""
"xx","death",290,true,"SE_ANY","CLASS_ASH","diag_mp_ash_effort_deathCam_3p","diag_mp_ash_effort_death_3p","",""
"xx","death",120,true,"SE_EXECUTION","CLASS_MADMAGGIE","","","",""
"xx","death",290,true,"SE_ANY","CLASS_MADMAGGIE","diag_mp_madmaggie_effort_deathCam_3p","diag_mp_madmaggie_effort_death_3p","",""
"xx","death",120,true,"SE_EXECUTION","CLASS_NEWCASTLE","","","",""
"xx","death",290,true,"SE_ANY","CLASS_NEWCASTLE","diag_mp_newcastle_effort_deathCam_3p","diag_mp_newcastle_effort_death_3p","",""
"xx","death",120,true,"SE_EXECUTION","CLASS_VANTAGE","","","",""
"xx","death",290,true,"SE_ANY","CLASS_VANTAGE","diag_mp_vantage_effort_deathCam_3p","diag_mp_vantage_effort_death_3p","",""
"xx","death",120,true,"SE_EXECUTION","CLASS_CATALYST","","","",""
"xx","death",290,true,"SE_ANY","CLASS_CATALYST","diag_mp_catalyst_effort_deathCam_3p","diag_mp_catalyst_effort_death_3p","",""
"xx","death",290,true,"SE_TITAN_STEP","PLAYER_HUMAN_MALE","","titan_grunt_squish","",""
"xx","death",290,true,"SE_TITAN_STEP","PLAYER_HUMAN_MALE","diag_efforts_DeathCrush_sp_cooper_3p_vs_1p","diag_efforts_DeathCrush_mp_maleHuman_3p","",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",500,true,"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","","!!DATA EXCLUDED!!","",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",500,true,"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",300,true,"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","","!!DATA EXCLUDED!!","",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",300,true,"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","","!!DATA EXCLUDED!!","",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",400,false,"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","","!!DATA EXCLUDED!!","",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",400,false,"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","","!!DATA EXCLUDED!!","",""
