"cmd","args","speaker","text","emotion","direction"
"","","","","",""
"","","","","",""
"// Lines that start with two forward slashes, like this one, are comments, and ignored by the system.","","","","",""
"// Pages are broken up by blank lines. Multiple blank lines in a row are ok.","","","","",""
"// Most pages just specify lines of dialog in any of 3 slots. TOP, CENTER, and BOTTOM lines. (Or T, C, and B for short.)","","","","",""
"// Some pages specify special commands, like changing the background, music, or displaying titles.","","","","",""
"// Valid audio commands listed below","","","","",""
"// PLAYSOUND, PLAYSOUNDLOOP_A, PLAYSOUNDLOOP_B, PLAYSOUNDLOOP_C","","","","",""
"// STOPSOUND, STOPSOUNDLOOP_A, STOPSOUNDLOOP_B, STOPSOUNDLOOP_C","","","","",""
"// MUSICTRACK, AMBIENTTRACK","","","","",""
"","","","","",""
"BACKGROUND","loadscreen_s09bp_02","","","",""
"MUSICTRACK","SQ_S11_LoreText_Ch01_Music_01","","","",""
"AMBIENTTRACK","SQ_S11_LoreText_Ch01_AMB_AshRoom","","","",""
"PLAYSOUND","SQ_S11_LoreText_ChapterTitle","","","",""
"TITLE","#MISSION_PAGE_01","","","",""
"SUBTITLE","#MISSION_PAGE_TITLE_01","","","",""
"","","","","",""
"// narrator: horizon","","","","",""
"// location: Ash Arenas bunker","","","","",""
"","","","","",""
"c","","narrator","#MISSION_01_PRELUDE_01","",""
"","","","","",""
"c","","narrator","#MISSION_01_PRELUDE_02","",""
"","","","","",""
"c","","narrator","#MISSION_01_PRELUDE_03","",""
"","","","","",""
"c","","narrator","#MISSION_01_PRELUDE_04","",""
"b","","horizon","#MISSION_01_PRELUDE_05","fearful","l"
"PLAYSOUND","SQ_S11_LoreText_Ch01_SFX_01 BOTTOM","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch01_VO_11 BOTTOM","","","",""
"","","","","",""
"t","","ash","#MISSION_01_01","neutral","r"
"PLAYSOUND","SQ_S11_LoreText_Ch01_SFX_02","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch01_VO_12","","","",""
"b","","horizon","#MISSION_01_02","fearful","l"
"","","","","",""
"t","","ash","#MISSION_01_03","happy","r"
"PLAYSOUND","SQ_S11_LoreText_Ch01_VO_13","","","",""
"b","","horizon","#MISSION_01_04","surprised","l"
"","","","","",""
"t","","horizon","#MISSION_01_05","angry","r"
"PLAYSOUND","SQ_S11_LoreText_Ch01_SFX_03","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch01_VO_02","","","",""
"b","","ash","#MISSION_01_06","neutral","l"
"","","","","",""
"t","","horizon","#MISSION_01_07","angry","r"
"PLAYSOUND","SQ_S11_LoreText_Ch01_VO_17","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch01_SFX_17","","","",""
"b","","ash","#MISSION_01_08","happy","l"
"","","","","",""
"t","","horizon","#MISSION_01_09","angry","r"
"","","","","",""
"t","","horizon","#MISSION_01_10","angry","r"
"PLAYSOUND","SQ_S11_LoreText_Ch01_SFX_18","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch01_VO_14","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch01_VO_07 BOTTOM","","","",""
"b","","ash","#MISSION_01_11","neutral","l"
"","","","","",""
