"cmd","args","speaker","text","emotion","direction"
"","","","","",""
"","","","","",""
"// Lines that start with two forward slashes, like this one, are comments, and ignored by the system.","","","","",""
"// Pages are broken up by blank lines. Multiple blank lines in a row are ok.","","","","",""
"// Most pages just specify lines of dialog in any of 3 slots. TOP, CENTER, and BOTTOM lines. (Or T, C, and B for short.)","","","","",""
"// Some pages specify special commands, like changing the background, music, or displaying titles.","","","","",""
"","","","","",""
"","","","","",""
"BACKGROUND","loadscreen_lore_bg_rift_inside_01","","","",""
"MUSICTRACK","SQ_S11_LoreText_Ch02_Music_01","","","",""
"AMBIENTTRACK","SQ_S11_LoreText_Ch02_AMB_Rift","","","",""
"PLAYSOUND","SQ_S11_LoreText_ChapterTitle","","","",""
"TITLE","#MISSION_PAGE_02","","","",""
"SUBTITLE","#MISSION_PAGE_TITLE_02","","","",""
"","","","","",""
"","","","","",""
"c","","narrator","#MISSION_02_PRELUDE_01","",""
"PLAYSOUND","SQ_S11_LoreText_Ch02_SFX_AshArrive","","","",""
"","","","","",""
"c","","narrator","#MISSION_02_PRELUDE_02","",""
"","","","","",""
"c","","narrator","#MISSION_02_PRELUDE_03","",""
"","","","","",""
"t","","gibraltar","#MISSION_02_01","neutral","r"
"PLAYSOUND","SQ_S11_LoreText_Ch02_VO_01","","","",""
"b","","ash","#MISSION_02_02","neutral","l"
"PLAYSOUND","SQ_S11_LoreText_Ch02_VO_02 BOTTOM","","","",""
"","","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch02_SFX_AshDigging","","","",""
"","","","","",""
"t","","gibraltar","#MISSION_02_03","neutral","r"
"PLAYSOUND","SQ_S11_LoreText_Ch02_VO_03 BOTTOM","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch02_SFX_01","","","",""
"b","","pathfinder","#MISSION_02_04","happy","l"
"","","","","",""
"c","","narrator","#MISSION_02_07","",""
"PLAYSOUND","SQ_S11_LoreText_Ch02_SFX_02","","","",""
"","","","","",""
"t","","ash","#MISSION_02_08","angry","r"
"PLAYSOUND","SQ_S11_LoreText_Ch02_VO_04","","","",""
"MUSICTRACK","SQ_S11_LoreText_Ch02_Music_02","","","",""
"b","","pathfinder","#MISSION_02_09","sad","l"
"","","","","",""
"t","","ash","#MISSION_02_10","neutral","r"
"PLAYSOUND","SQ_S11_LoreText_Ch02_SFX_04","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch02_VO_10 BOTTOM","","","",""
"b","","pathfinder","#MISSION_02_11","sad","l"
"","","","","",""
"t","","pathfinder","#MISSION_02_12","sad","r"
"","","","","",""
"t","","pathfinder","#MISSION_02_13","sad","r"
"PLAYSOUND","SQ_S11_LoreText_Ch02_VO_11","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch02_VO_05 BOTTOM","","","",""
"b","","gibraltar","#MISSION_02_14","sad","l"
"","","","","",""
"t","","ash","#MISSION_02_15","sad","r"
"PLAYSOUND","SQ_S11_LoreText_Ch02_VO_12","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch02_SFX_05 BOTTOM","","","",""
"b","","pathfinder","#MISSION_02_16","neutral","l"
"","","","","",""
"t","","ash","#MISSION_02_17","neutral","r"
