"cmd","args","speaker","text","emotion","direction"
"","","","","",""
"","","","","",""
"// Lines that start with two forward slashes, like this one, are comments, and ignored by the system.","","","","",""
"// Pages are broken up by blank lines. Multiple blank lines in a row are ok.","","","","",""
"// Most pages just specify lines of dialog in any of 3 slots. TOP, CENTER, and BOTTOM lines. (Or T, C, and B for short.)","","","","",""
"// Some pages specify special commands, like changing the background, music, or displaying titles.","","","","",""
"","","","","",""
"","","","","",""
"BACKGROUND","loadscreen_lore_bg_storm_catcher_outside_01","","","",""
"MUSICTRACK","SQ_S11_LoreText_Ch03_Music_01","","","",""
"AMBIENTTRACK","SQ_S11_LoreText_Ch03_AMB_StormCatcher","","","",""
"PLAYSOUND","SQ_S11_LoreText_ChapterTitle","","","",""
"TITLE","#MISSION_PAGE_03","","","",""
"SUBTITLE","#MISSION_PAGE_TITLE_03","","","",""
"","","","","",""
"c","","narrator","#MISSION_03_PRELUDE_01","",""
"","","","","",""
"c","","narrator","#MISSION_03_PRELUDE_02","",""
"","","","","",""
"c","","narrator","#MISSION_03_PRELUDE_03","",""
"","","","","",""
"c","","narrator","#MISSION_03_PRELUDE_04","",""
"PLAYSOUND","SQ_S11_LoreText_Ch03_SFX_01","","","",""
"","","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch03_SFX_DroneLaunch","","","",""
"","","","","",""
"t","","crypto","#MISSION_03_01","neutral","r"
"PLAYSOUND","SQ_S11_LoreText_Ch03_VO_01","","","",""
"","","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch03_SFX_FencePlace","","","",""
"","","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch03_VO_02 BOTTOM","","","",""
"b","","wattson","#MISSION_03_02","happy","l"
"","","","","",""
"t","","horizon","#MISSION_03_03","sad","r"
"PLAYSOUND","SQ_S11_LoreText_Ch03_SFX_02","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch03_VO_03 BOTTOM","","","",""
"b","","wattson","#MISSION_03_04","neutral","l"
"","","","","",""
"t","","horizon","#MISSION_03_05","neutral","r"
"MUSICTRACK","SQ_S11_LoreText_Ch03_Music_02","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch03_VO_04","","","",""
"b","","crypto","#MISSION_03_06","neutral","l"
"","","","","",""
"c","","narrator","#MISSION_03_07","",""
"PLAYSOUND","SQ_S11_LoreText_Ch03_SFX_03","","","",""
"","","","","",""
"t","","horizon","#MISSION_03_08","sad","r"
"PLAYSOUND","SQ_S11_LoreText_Ch03_VO_06","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch03_VO_05 BOTTOM","","","",""
"b","","wattson","#MISSION_03_09","happy","l"
"","","","","",""
"t","","horizon","#MISSION_03_10","fearful","r"
"PLAYSOUND","SQ_S11_LoreText_Ch03_SFX_04","","","",""
"","","","","",""
"t","","horizon","#MISSION_03_11","sad","r"
"PLAYSOUND","SQ_S11_LoreText_Ch03_VO_07","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch03_VO_08 BOTTOM","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch03_SFX_05 BOTTOM","","","",""
"b","","wattson","#MISSION_03_12","happy","l"
"","","","","",""
