"cmd","args","speaker","text","emotion","direction"
"","","","","",""
"","","","","",""
"// Lines that start with two forward slashes, like this one, are comments, and ignored by the system.","","","","",""
"// Pages are broken up by blank lines. Multiple blank lines in a row are ok.","","","","",""
"// Most pages just specify lines of dialog in any of 3 slots. TOP, CENTER, and BOTTOM lines. (Or T, C, and B for short.)","","","","",""
"// Some pages specify special commands, like changing the background, music, or displaying titles.","","","","",""
"","","","","",""
"","","","","",""
"BACKGROUND","loadscreen_lore_bg_IMC_interior_01","","","",""
"MUSICTRACK","SQ_S11_LoreText_Ch04_Music_01","","","",""
"AMBIENTTRACK","SQ_S11_LoreText_Ch04_AMB_GaeaBuilding","","","",""
"PLAYSOUND","SQ_S11_LoreText_ChapterTitle","","","",""
"TITLE","#MISSION_PAGE_04","","","",""
"SUBTITLE","#MISSION_PAGE_TITLE_04","","","",""
"","","","","",""
"c","","narrator","#MISSION_04_PRELUDE_01","",""
"PLAYSOUND","SQ_S11_LoreText_Ch04_SFX_AshApproach","","","",""
"","","","","",""
"","MUSIC TURN: Battle Music.","","","",""
"","","","","",""
"t","","ash","#MISSION_04_01","neutral","r"
"PLAYSOUND","SQ_S11_LoreText_Ch04_SFX_01","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch04_SFX_SpectreReady","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch04_VO_01","","","",""
"","","","","",""
"t","","ash","#MISSION_04_02","happy","r"
"PLAYSOUND","SQ_S11_LoreText_Ch04_VO_02","","","",""
"","","","","",""
"c","","narrator","#MISSION_04_03","",""
"PLAYSOUND","SQ_S11_LoreText_Ch04_SFX_SpectresAppear","","","",""
"","","","","",""
"c","","narrator","#MISSION_04_04","",""
"PLAYSOUND","SQ_S11_LoreText_Ch04_SFX_SpectreFight","","","",""
"","","","","",""
"","MUSIC TURN: Neutral.","","","",""
"t","","ash","#MISSION_04_05","angry","r"
"PLAYSOUND","SQ_S11_LoreText_Ch04_VO_03","","","",""
"MUSICTRACK","SQ_S11_LoreText_Ch04_Music_02","","","",""
"","","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch04_SFX_02","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch04_SFX_HorizonSneak_01","","","",""
"","","","","",""
"t","","ash","#MISSION_04_06","neutral","r"
"PLAYSOUND","SQ_S11_LoreText_Ch04_VO_04","","","",""
"","","","","",""
"c","","narrator","#MISSION_04_07","",""
"PLAYSOUND","SQ_S11_LoreText_Ch04_SFX_03","","","",""
"","","","","",""
"c","","narrator","#MISSION_04_08","",""
"MUSICTRACK","SQ_S11_LoreText_Ch04_Music_03","","","",""
"","","","","",""
"t","","ash","#MISSION_04_09","neutral","r"
"PLAYSOUND","SQ_S11_LoreText_Ch04_SFX_04","","","",""
"","","","","",""
"c","","narrator","#MISSION_04_10","",""
"PLAYSOUND","SQ_S11_LoreText_Ch04_SFX_Typing","","","",""
"","","","","",""
"c","","narrator","#MISSION_04_11","",""
"PLAYSOUND","SQ_S11_LoreText_Ch04_SFX_AshGlitch","","","",""
"","","","","",""
"t","","ash","#MISSION_04_12","happy","r"
"PLAYSOUND","SQ_S11_LoreText_Ch04_SFX_05","","","",""
