"cmd","args","speaker","text","emotion","direction"
"","","","","",""
"","","","","",""
"// Lines that start with two forward slashes, like this one, are comments, and ignored by the system.","","","","",""
"// Pages are broken up by blank lines. Multiple blank lines in a row are ok.","","","","",""
"// Most pages just specify lines of dialog in any of 3 slots. TOP, CENTER, and BOTTOM lines. (Or T, C, and B for short.)","","","","",""
"// Some pages specify special commands, like changing the background, music, or displaying titles.","","","","",""
"","","","","",""
"","","","","",""
"BACKGROUND","loadscreen_lore_bg_IMC_interior_01","","","",""
"MUSICTRACK","SQ_S11_LoreText_Ch05_Music_01","","","",""
"AMBIENTTRACK","SQ_S11_LoreText_Ch05_AMB_GaeaBuilding","","","",""
"PLAYSOUND","SQ_S11_LoreText_ChapterTitle","","","",""
"TITLE","#MISSION_PAGE_05","","","",""
"SUBTITLE","#MISSION_PAGE_TITLE_05","","","",""
"","","","","",""
"c","","narrator","#MISSION_05_PRELUDE_01","",""
"","","","","",""
"c","","narrator","#MISSION_05_PRELUDE_02","",""
"","","","","",""
"c","","narrator","#MISSION_05_PRELUDE_03","",""
"PLAYSOUND","SQ_S11_LoreText_Ch05_SFX_01","","","",""
"","","","","",""
"t","","leigh","#MISSION_05_01","fearful","r"
"PLAYSOUND","SQ_S11_LoreText_Ch05_VO_20","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch05_SFX_AshGlitch","","","",""
"","","","","",""
"b","","horizon","#MISSION_05_02","angry","l"
"PLAYSOUND","SQ_S11_LoreText_Ch05_SFX_13 BOTTOM","","","",""
"","","","","",""
"t","","leigh","#MISSION_05_03","angry","r"
"PLAYSOUND","SQ_S11_LoreText_Ch05_VO_22","","","",""
"MUSICTRACK","SQ_S11_LoreText_Ch05_Music_02","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch05_SFX_AshGlitch","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch05_VO_02 BOTTOM","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch05_SFX_02 BOTTOM","","","",""
"b","","horizon","#MISSION_05_04","surprised","l"
"","","","","",""
"t","","leigh","#MISSION_05_05","neutral","r"
"PLAYSOUND","SQ_S11_LoreText_Ch05_SFX_14","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch05_VO_06 BOTTOM","","","",""
"b","","horizon","#MISSION_05_06","fearful","l"
"","","","","",""
"t","","leigh","#MISSION_05_07","fearful","r"
"PLAYSOUND","SQ_S11_LoreText_Ch05_VO_21","","","",""
"","","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch05_SFX_AshScream","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch04_SFX_AshGlitchBig","","","",""
"","","","","",""
"c","","narrator","#MISSION_05_08","",""
"","","","","",""
"c","","narrator","#MISSION_05_09","",""
"PLAYSOUND","SQ_S11_LoreText_Ch05_SFX_03","","","",""
"","","","","",""
"t","","horizon","#MISSION_05_10","surprised","r"
"PLAYSOUND","SQ_S11_LoreText_Ch05_VO_03","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch05_SFX_04 BOTTOM","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch05_VO_04 BOTTOM","","","",""
