"cmd","args","speaker","text","emotion","direction"
"","","","","",""
"","","","","",""
"// Lines that start with two forward slashes, like this one, are comments, and ignored by the system.","","","","",""
"// Pages are broken up by blank lines. Multiple blank lines in a row are ok.","","","","",""
"// Most pages just specify lines of dialog in any of 3 slots. TOP, CENTER, and BOTTOM lines. (Or T, C, and B for short.)","","","","",""
"// Some pages specify special commands, like changing the background, music, or displaying titles.","","","","",""
"","","","","",""
"","","","","",""
"BACKGROUND","loadscreen_lore_bg_lightning_rod_nearby_01","","","",""
"MUSICTRACK","SQ_S11_LoreText_Ch06_Music_01","","","",""
"AMBIENTTRACK","SQ_S11_LoreText_Ch06_AMB_LightningRod","","","",""
"PLAYSOUND","SQ_S11_LoreText_ChapterTitle","","","",""
"TITLE","#MISSION_PAGE_06","","","",""
"SUBTITLE","#MISSION_PAGE_TITLE_06","","","",""
"","","","","",""
"","MUSIC TURN: Quiet - calm before the storm","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"c","","narrator","#MISSION_06_01","",""
"PLAYSOUND","SQ_S11_LoreText_Ch06_SFX_Thunder","","","",""
"","","","","",""
"t","","wattson","#MISSION_06_02","angry","r"
"PLAYSOUND","SQ_S11_LoreText_Ch06_VO_01","","","",""
"","","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch06_SFX_MetalRemove","","","",""
"","","","","",""
"t","","wattson","#MISSION_06_03","neutral","r"
"PLAYSOUND","SQ_S11_LoreText_Ch06_VO_16","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch06_SFX_01","","","",""
"","","","","",""
"t","","wattson","#MISSION_06_04","happy","r"
"PLAYSOUND","SQ_S11_LoreText_Ch06_VO_02","","","",""
"","","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch06_SFX_AshApproach","","","",""
"","","","","",""
"c","","narrator","#MISSION_06_05","",""
"PLAYSOUND","SQ_S11_LoreText_Ch06_SFX_02","","","",""
"MUSICTRACK","SQ_S11_LoreText_Ch06_Music_02","","","",""
"","","","","",""
"t","","wattson","#MISSION_06_06","fearful","r"
"PLAYSOUND","SQ_S11_LoreText_Ch06_VO_03","","","",""
"","","","","",""
"c","","narrator","#MISSION_06_07","",""
"PLAYSOUND","SQ_S11_LoreText_Ch06_SFX_WattsonFoley","","","",""
"","","","","",""
"c","","narrator","#MISSION_06_08","",""
"","","","","",""
"t","","????","#MISSION_06_09","","r"
"PLAYSOUND","SQ_S11_LoreText_Ch06_SFX_Lightning","","","",""
"MUSICTRACK","SQ_S11_LoreText_Ch06_Music_03","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch06_VO_04 BOTTOM","","","",""
"b","","wattson","#MISSION_06_10","surprised","l"
"","","","","",""
"c","","narrator","#MISSION_06_11","",""
"","","","","",""
"","MUSIC TURN: Ominous - something is about to happen","","","",""
"","MUSIC TURN: Ominous - something is about to happen","","","",""
"t","","ash","#MISSION_06_12","neutral","r"
"PLAYSOUND","SQ_S11_LoreText_Ch06_SFX_03","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch06_VO_05 BOTTOM","","","",""
"b","","wattson","#MISSION_06_13","neutral","l"
"","","","","",""
