"cmd","args","speaker","text","emotion","direction"
"","","","","",""
"","","","","",""
"// Lines that start with two forward slashes, like this one, are comments, and ignored by the system.","","","","",""
"// Pages are broken up by blank lines. Multiple blank lines in a row are ok.","","","","",""
"// Most pages just specify lines of dialog in any of 3 slots. TOP, CENTER, and BOTTOM lines. (Or T, C, and B for short.)","","","","",""
"// Some pages specify special commands, like changing the background, music, or displaying titles.","","","","",""
"","","","","",""
"","","","","",""
"BACKGROUND","loadscreen_s11bp_10","","","",""
"MUSICTRACK","SQ_S11_LoreText_Ch07_Music_01","","","",""
"AMBIENTTRACK","SQ_S11_LoreText_Ch07_AMB_Beach","","","",""
"PLAYSOUND","SQ_S11_LoreText_ChapterTitle","","","",""
"TITLE","#MISSION_PAGE_EPILOGUE","","","",""
"SUBTITLE","#MISSION_PAGE_TITLE_07","","","",""
"","","","","",""
"","","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch07_SFX_Drone","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch07_SFX_AshApproach","","","",""
"","","","","",""
"t","","ash","#MISSION_07_01","neutral","r"
"PLAYSOUND","SQ_S11_LoreText_Ch07_VO_01","","","",""
"","","","","",""
"b","","crypto","#MISSION_07_02","angry","l"
"PLAYSOUND","SQ_S11_LoreText_Ch07_VO_02 BOTTOM","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch07_SFX_01 BOTTOM","","","",""
"","","","","",""
"t","","ash","#MISSION_07_03","neutral","r"
"","","","","",""
"t","","ash","#MISSION_07_04","neutral","r"
"PLAYSOUND","SQ_S11_LoreText_Ch07_VO_03","","","",""
"","","","","",""
"t","","crypto","#MISSION_07_05","neutral","r"
"PLAYSOUND","SQ_S11_LoreText_Ch07_SFX_02","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch07_VO_04 BOTTOM","","","",""
"b","","ash","#MISSION_07_06","angry","l"
"","","","","",""
"t","","crypto","#MISSION_07_07","neutral","r"
"PLAYSOUND","SQ_S11_LoreText_Ch07_VO_05","","","",""
"b","","ash","#MISSION_07_08","happy","l"
"","","","","",""
"t","","crypto","#MISSION_07_09","angry","r"
"PLAYSOUND","SQ_S11_LoreText_Ch07_VO_06","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch07_SFX_03 BOTTOM","","","",""
"b","","ash","#MISSION_07_10","neutral","l"
"","","","","",""
"t","","ash","#MISSION_07_11","happy","r"
"PLAYSOUND","SQ_S11_LoreText_Ch07_VO_07","","","",""
"MUSICTRACK","SQ_S11_LoreText_Ch07_Music_02","","","",""
"b","","crypto","#MISSION_07_12","neutral","l"
"","","","","",""
"t","","ash","#MISSION_07_13","angry","r"
"PLAYSOUND","SQ_S11_LoreText_Ch07_SFX_04","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch07_VO_09 BOTTOM","","","",""
"b","","crypto","#MISSION_07_14","neutral","l"
"","","","","",""
"t","","ash","#MISSION_07_15","neutral","r"
"PLAYSOUND","SQ_S11_LoreText_Ch07_VO_08","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch07_SFX_AshLeave","","","",""
"","","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch07_SFX_DroneReturn","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch07_SFX_CryptoLeave","","","",""
"","","","","",""
"c","","","#MISSION_07_NEXT","",""
"PLAYSOUND","SQ_S11_LoreText_Ch07_SFX_05","","","",""
"string","string","string","string","string","string"
