"levelIndex","xpPerLevel","reward","rewardQty","premium","notes"
0,29500,"settings/itemflav/weapon_skin/sentinel/s06bp_legendary_01.rpak",1,true,""
0,0,"settings/itemflav/character_skin/bangalore/s06bp_rare_01.rpak",1,true,""
0,0,"settings/itemflav/character_skin/octane/s06bp_rare_01.rpak",1,true,""
0,0,"settings/itemflav/character_skin/mirage/s06bp_rare_01.rpak",1,true,""
0,0,"settings/itemflav/xp_boost/battlepass_season06.rpak",1,true,""
0,0,"settings/itemflav/gcard_tracker/rampart/season06_wins.rpak",1,false,""
1,29500,"settings/itemflav/pack/cosmetic_rare.rpak",1,true,""
1,0,"settings/itemflav/gcard_tracker/rampart/season06_kills.rpak",1,false,""
2,29500,"settings/itemflav/grx_currency/premium.rpak",50,true,""
2,0,"settings/itemflav/gcard_tracker/pathfinder/season06_wins.rpak",1,false,""
3,29500,"settings/itemflav/emote_icon/octane/s06bp_epic_01.rpak",1,true,""
3,0,"settings/itemflav/gcard_tracker/gibraltar/season06_kills.rpak",1,false,""
4,29500,"settings/itemflav/pack/cosmetic_legendary.rpak",1,true,""
4,0,"settings/itemflav/pack/cosmetic_rare.rpak",1,false,""
5,29500,"settings/itemflav/xp_boost/battlepass_season06.rpak",1,true,""
5,0,"settings/itemflav/gcard_tracker/wraith/season06_wins.rpak",1,false,""
6,29500,"settings/itemflav/pack/cosmetic_rare.rpak",1,true,""
6,0,"settings/itemflav/gcard_tracker/crypto/season06_kills.rpak",1,false,""
7,29500,"settings/itemflav/grx_currency/crafting.rpak",120,true,""
7,0,"settings/itemflav/pack/cosmetic_rare.rpak",1,false,""
8,29500,"settings/itemflav/musicpack/s06bp_season6.rpak",1,true,""
8,0,"settings/itemflav/gcard_tracker/bangalore/season06_wins.rpak",1,false,""
9,29500,"settings/itemflav/weapon_skin/r97/s06bp_rare_01.rpak",1,true,""
9,0,"settings/itemflav/gcard_tracker/wattson/season06_kills.rpak",1,false,""
10,29500,"settings/itemflav/weapon_charm/charm_apex_theme_v20_boosted_prop_toolbox01.rpak",1,true,""
10,0,"settings/itemflav/pack/cosmetic_rare.rpak",1,false,""
11,29500,"settings/itemflav/gcard_frame/pathfinder/s06bp_epic_01.rpak",1,true,""
11,0,"settings/itemflav/gcard_tracker/octane/season06_wins.rpak",1,false,""
12,29500,"settings/itemflav/grx_currency/premium.rpak",50,true,""
12,0,"settings/itemflav/gcard_tracker/loba/season06_kills.rpak",1,false,""
13,29500,"settings/itemflav/xp_boost/battlepass_season06.rpak",1,true,""
13,0,"settings/itemflav/gcard_tracker/lifeline/season06_wins.rpak",1,false,""
14,29500,"settings/itemflav/weapon_skin/dmr/s06bp_rare_01.rpak",1,true,""
14,0,"settings/itemflav/gcard_tracker/mirage/season06_kills.rpak",1,false,""
15,29500,"settings/itemflav/grx_currency/crafting.rpak",120,true,""
15,0,"settings/itemflav/gcard_tracker/caustic/season06_wins.rpak",1,false,""
16,29500,"settings/itemflav/weapon_skin/energy_ar/s06bp_rare_01.rpak",1,true,""
16,0,"settings/itemflav/pack/cosmetic_rare.rpak",1,false,""
17,29500,"settings/itemflav/gcard_frame/revenant/s06bp_epic_01.rpak",1,true,""
17,0,"settings/itemflav/gcard_tracker/bloodhound/season06_kills.rpak",1,false,""
18,29500,"settings/itemflav/weapon_skin/lstar/s06bp_rare_01.rpak",1,true,""
18,0,"settings/itemflav/gcard_tracker/revenant/season06_wins.rpak",1,false,""
19,29500,"settings/itemflav/gcard_frame/wraith/s06bp_epic_01.rpak",1,true,""
19,0,"settings/itemflav/gcard_tracker/revenant/season06_kills.rpak",1,false,""
20,29500,"settings/itemflav/grx_currency/premium.rpak",100,true,""
20,0,"settings/itemflav/gcard_tracker/bloodhound/season06_wins.rpak",1,false,""
21,29500,"settings/itemflav/xp_boost/battlepass_season06.rpak",1,true,""
21,0,"settings/itemflav/gcard_tracker/caustic/season06_kills.rpak",1,false,""
22,29500,"settings/itemflav/loadscreen/s06bp_01.rpak",1,true,""
22,0,"settings/itemflav/pack/cosmetic_rare.rpak",1,false,""
23,29500,"settings/itemflav/grx_currency/crafting.rpak",120,true,""
23,0,"settings/itemflav/gcard_tracker/mirage/season06_wins.rpak",1,false,""
24,29500,"settings/itemflav/character_skin/pathfinder/s06bp_legendary_01.rpak",1,true,""
24,0,"settings/itemflav/gcard_tracker/lifeline/season06_kills.rpak",1,false,""
