"camName","targetEntName","posOffset","angleOffset","maxYawDegrees","maxPitchDegrees","useCharOffsets","fov","dofNearStart","dofNearEnd","dofFarStart","dofFarEnd","csmTexelScale1","csmTexelScale2","csmStartDist","associatedLightsName","lightDefName"
"LOBBY_INACTIVE","play_camera_target","<0,0,0>","<0,0,0>",0,0,false,70,7.5,7.7,2000,2000,1,1,0,"",""
"LOBBY_PLAY","play_camera_target","<0,268,-8>","<0,0,0>",0,0,false,35,100,110,9000,9000,0.22,0.55,70,"",""
"LOBBY_PLAY_SHIFTED","play_camera_target_shifted","<0,0,0>","<0,0,0>",0,0,false,15.5,7.5,7.7,2000,2000,0.22,0.55,70,"",""
"LOBBY_CHARACTER_SELECT","close_character_camera_target","<0,0,0>","<0,0,0>",0,0,true,50,7.5,7.7,200,300,0.22,0.55,70,"close_character_light","character_close"
"LOBBY_CHARACTER_SKIN","customize_character_camera_target","<0,0,0>","<0,0,0>",360,0,false,50,7.5,7.7,200,300,0.22,0.55,70,"",""
"LOBBY_CHARACTER_CARD","customize_character_camera_target","<0,0,0>","<0,0,0>",0,0,false,50,7.5,7.7,200,300,0.22,0.55,70,"",""
"LOBBY_CHARACTER_QUIPS","customize_character_camera_target","<0,0,0>","<0,0,0>",360,0,false,50,7.5,7.7,200,300,0.22,0.55,70,"",""
"LOBBY_HOLOSPRAYS","close_character_camera_target","<0,0,0>","<0,0,0>",0,0,true,50,7.5,7.7,2000,2000,0.22,0.55,70,"close_character_light",""
"LOBBY_WEAPON_CATEGORY","customize_weapon_camera_target","<0,0,0>","<0,0,0>",0,0,false,50,7.5,7.7,200,300,1,1,0,"",""
"LOBBY_WEAPON_SKIN","customize_weapon_camera_target","<0,0,0>","<0,0,0>",80,80,false,50,7.5,7.7,200,300,1,1,0,"",""
"LOBBY_WEAPON_CHARMS","customize_weapon_camera_target","<0,0,0>","<0,0,0>",60,50,false,50,3.5,5,20,30,1,1,0,"",""
"LOBBY_STORE","play_camera_target","<0,0,0>","<0,0,0>",0,0,false,70,7.5,7.7,2000,2000,1,1,0,"",""
"LOBBY_NO_MODELS","default_camera_target","<0,0,0>","<0,0,0>",0,0,false,15,7.5,7.7,2000,2000,1,1,0,"",""
"LOBBY_BATTLE_PASS","battlepass_camera_target","<0,0,0>","<0,0,0>",0,0,false,17,7.5,7.7,2000,2000,0.22,0.55,70,"",""
"LOBBY_BATTLE_PASS_3","battlepass_3_camera_target","<0,0,0>","<0,0,0>",0,0,false,17,7.5,7.7,2000,2000,0.22,0.55,70,"",""
"LOBBY_COLLECTION_EVENT","collection_event_camera_target","<0,0,0>","<0,0,0>",0,0,false,17,7.5,7.7,2000,2000,0.22,0.55,70,"",""
"LOBBY_QUEST_PANEL","battlepass_3_camera_target","<0,0,0>","<0,0,0>",360,0,false,17,7.5,7.7,2000,2000,0.22,0.55,70,"",""
"LOBBY_STORE_INSPECT","store_inspect_camera_target","<0,0,0>","<0,0,0>",360,0,false,15.5,7.5,7.7,2000,2000,0.22,0.55,70,"",""
"LOBBY_CLUB_LANDING","club_landing_camera_target","<0,0,0>","<0,0,0>",0,0,false,45,7.5,7.7,400,1500,0.22,0.55,70,"",""
"LOBBY_CLUB_DISCOVERY","club_landing_camera_target","<0,0,0>","<0,0,0>",0,0,false,45,7.5,7.7,400,1500,0.22,0.55,70,"club_discovery_light","clubs_discovery"
"LOBBY_ARENAS_RANKED","store_inspect_camera_target","<0,0,0>","<0,0,0>",360,0,false,12,7.5,7.7,2000,2000,0.22,0.55,70,"",""
"LOBBY_APPLIED_STICKER_INJECTOR","customize_weapon_camera_target","<0,0,0>","<0,0,0>",60,0,false,50,7.5,7.7,200,300,1,1,0,"",""
"LOBBY_APPLIED_STICKER_SMALL_CELL","customize_weapon_camera_target","<0,0,0>","<0,0,0>",45,0,false,50,7.5,7.7,200,300,1,1,0,"",""
"LOBBY_APPLIED_STICKER_LARGE_CELL","customize_weapon_camera_target","<0,0,0>","<0,0,0>",30,0,false,50,7.5,7.7,200,300,1,1,0,"",""
"LOBBY_FLAT_STICKER","customize_weapon_camera_target","<0,0,0>","<0,0,0>",135,0,false,50,7.5,7.7,200,300,1,1,0,"",""
"CHARACTER_LIGHTING_TEST","","<-648,-4628,-648>","<0,0,0>",0,0,false,50,7.5,7.7,9000,9000,1,1,0,"",""
"string","string","vector","vector","float","float","bool","float","float","float","float","float","float","float","float","string","string"
