"featureFlag","conversation","map","trigger","name","alias","order","rarityOverride","speakLegend","reqLegends","forbidLegends","repeatType","priority","allSpeakersRequired","mutualExclusiveConvos","optInHint"
"xx","s16_dm_mat_wraith","mp_rr_divided_moon","amb_diag_mirage_a_trois","s16_dm_mat_wraith_1","diag_mp_wraith_bc_locationMVG_01_%perspective%",0,0.75,"wraith","wraith","",0,15,true,"",""
"xx","s16_dm_mat_mirage","mp_rr_divided_moon","amb_diag_mirage_a_trois","s16_dm_mat_mirage_1","diag_mp_mirage_bc_locationMVG_01_%perspective%",0,0.75,"mirage","mirage","",0,15,true,"",""
"xx","s16_dm_mat_rampart","mp_rr_divided_moon","amb_diag_mirage_a_trois","s16_dm_mat_rampart_1","diag_mp_rampart_bc_locationMVG_01_%perspective%",0,0.75,"rampart","rampart","",0,15,true,"",""
"xx","s16_we_mat_wraith","mp_rr_desertlands_mu4","amb_diag_mirage_a_trois","s16_we_mat_wraith_1","diag_mp_wraith_bc_locationMVG_01_%perspective%",0,0.75,"wraith","wraith","",0,15,true,"",""
"xx","s16_we_mat_mirage","mp_rr_desertlands_mu4","amb_diag_mirage_a_trois","s16_we_mat_mirage_1","diag_mp_mirage_bc_locationMVG_01_%perspective%",0,0.75,"mirage","mirage","",0,15,true,"",""
"xx","s16_we_mat_rampart","mp_rr_desertlands_mu4","amb_diag_mirage_a_trois","s16_we_mat_rampart_1","diag_mp_rampart_bc_locationMVG_01_%perspective%",0,0.75,"rampart","rampart","",0,15,true,"",""
"xx","s16_sp_mat_wraith","mp_rr_tropic_island_mu1","amb_diag_mirage_a_trois","s16_sp_mat_wraith_1","diag_mp_wraith_bc_locationMVG_01_%perspective%",0,0.75,"wraith","wraith","",0,15,true,"",""
"xx","s16_sp_mat_mirage","mp_rr_tropic_island_mu1","amb_diag_mirage_a_trois","s16_sp_mat_mirage_1","diag_mp_mirage_bc_locationMVG_01_%perspective%",0,0.75,"mirage","mirage","",0,15,true,"",""
"xx","s16_sp_mat_rampart","mp_rr_tropic_island_mu1","amb_diag_mirage_a_trois","s16_sp_mat_rampart_1","diag_mp_rampart_bc_locationMVG_01_%perspective%",0,0.75,"rampart","rampart","",0,15,true,"",""
"string","string","string","string","string","string","int","float","string","string","string","int","int","bool","string","string"
