"featureFlag","ref","lootOrPerkRef","category","startingCount","maxCount","numToGive","cost","icon","name","desc","passive","mod"
"","syringe_pack","health_pickup_health_small","heals",0,0,2,25,"","","","",""
"","shield_cell_pack","health_pickup_combo_small","heals",0,0,2,75,"","","","",""
"","medkit_pack","health_pickup_health_large","heals",0,0,1,50,"","","","",""
"","shield_battery_pack","health_pickup_combo_large","heals",0,0,1,150,"","","","",""
"","frag_pack","mp_weapon_frag_grenade","ordnance",0,0,1,75,"","","","",""
"","thermite_pack","mp_weapon_thermite_grenade","ordnance",0,0,1,100,"","","","",""
"","emp_pack","mp_weapon_grenade_emp","ordnance",0,0,1,125,"","","","",""
"","fast_heal","fast_heal","perks",0,0,1,25,"ui/menu/items/passive_icons/power_cell","#PAS_FAST_HEAL","#PAS_FAST_HEAL_DESC","PAS_FAST_HEAL",""
"","guardian_angel","guardian_angel","perks",0,0,1,300,"rui/hud/loot/loot_backpack_3","#PAS_GUARDIAN_ANGEL","#PAS_GUARDIAN_ANGEL_DESC","PAS_GUARDIAN_ANGEL",""
"","arenas_full_ultimate","fullUltimate","skills",0,0,1,15,"rui/hud/poi_icons/poi_loot_pickup","#ARENAS_FULL_ULTIMATE","#ARENAS_FULL_ULTIMATE_DESC","",""
"","tactical_upgrade","tactical_upgrade","skills",0,0,1,10,"","","","",""
"","buy_passive","buy_passive","skills",0,0,1,10,"","","","",""
"","mp_weapon_grenade_bangalore","","skills",0,0,1,50,"","","","",""
"","mp_ability_area_sonar_scan","","skills",0,0,1,150,"","","","",""
"","mp_weapon_dirty_bomb","","skills",0,0,1,50,"","","","",""
"","mp_weapon_bubble_bunker","","skills",0,0,1,200,"","","","",""
"","mp_weapon_deployable_medic","","skills",0,0,1,75,"","","","",""
"","mp_ability_holopilot","","skills",0,0,1,50,"","","","",""
"","mp_ability_heal","","skills",0,0,1,50,"","","","",""
"","mp_ability_grapple","","skills",0,0,1,50,"","","","",""
"","mp_ability_phase_walk","","skills",0,0,1,50,"","","","",""
"","mp_weapon_tesla_trap","","skills",0,0,1,50,"","","","",""
"","mp_ability_crypto_drone","","skills",0,0,1,50,"","","","",""
"","mp_ability_silence","","skills",0,0,1,50,"","","","",""
"","mp_ability_translocation","","skills",0,0,1,50,"","","","",""
"","mp_weapon_cover_wall","","skills",0,0,1,50,"","","","",""
"","mp_ability_valk_cluster_missile","","skills",0,0,1,200,"","","","",""
"","mp_ability_item_spawner","","skills",0,0,1,100,"","","","",""
"","mp_weapon_arc_bolt","","skills",0,0,1,200,"","","","",""
"","mp_ability_space_elevator_tac","","skills",0,0,1,100,"","","","",""
"","mp_weapon_cluster_bomb_launcher","","skills",0,0,1,100,"","","","",""
"","mp_ability_sonic_blast","","skills",0,0,1,100,"","","","",""
"","mp_weapon_grenade_creeping_bombardment","","skills",0,2,1,500,"","","","",""
"","mp_ability_hunt_mode","","skills",0,1,1,450,"","","","",""
"","mp_weapon_grenade_gas","","skills",0,2,1,400,"","","","",""
"","mp_weapon_grenade_defensive_bombardment","","skills",0,2,1,500,"","","","",""
"","mp_ability_care_package","","skills",0,0,1,400,"","","","",""
"","mp_ability_mirage_ultimate","","skills",0,0,1,350,"","","","",""
"","mp_weapon_jump_pad","","skills",0,1,1,300,"","","","",""
"","mp_weapon_zipline","","skills",0,1,1,150,"","","","",""
"","mp_weapon_phase_tunnel","","skills",0,0,1,150,"","","","",""
"","mp_weapon_trophy_defense_system","","skills",0,1,1,200,"","","","",""
"","mp_ability_crypto_drone_emp","","skills",0,2,1,500,"","","","",""
"","mp_ability_revenant_death_totem","","skills",0,2,1,500,"","","","",""
"","mp_ability_black_market","","skills",0,0,1,200,"","","","",""
"","mp_weapon_mounted_turret_placeable","","skills",0,1,1,300,"","","","",""
"","mp_ability_valk_skyward","","skills",0,1,1,150,"","","","",""
"","mp_ability_panic_button","","skills",0,0,1,200,"","","","",""
"","mp_weapon_phase_breach","","skills",0,1,1,300,"","","","",""
"","mp_weapon_black_hole","","skills",0,2,1,400,"","","","",""
"","mp_weapon_mortar_ring","","skills",0,1,1,400,"","","","",""
"","mp_ability_echo_locator","","skills",0,1,1,500,"","","","",""
"","mp_weapon_mobile_hmg","","skills",0,1,1,400,"","","","",""
"","PAS_ADRENALINE","","skills",0,0,1,0,"","","","",""
"","PAS_TRACKING_VISION","","skills",0,0,1,0,"","","","",""
"","PAS_GAS_GEAR","","skills",0,0,1,0,"","","","",""
"","PAS_ADS_SHIELD","","skills",0,0,1,0,"","","","",""
"","PAS_MEDIC","","skills",0,0,1,0,"","","","",""
"","PAS_MIRAGE","","skills",0,0,1,0,"","","","",""
"","PAS_OCTANE","","skills",0,0,1,0,"","","","",""
"","PAS_PATHFINDER","","skills",0,0,1,0,"","","","",""
"","PAS_VOICES","","skills",0,0,1,0,"","","","",""
"","PAS_BATTERY_POWERED","","skills",0,0,1,0,"","","","",""
"","PAS_CRYPTO","","skills",0,0,1,0,"","","","",""
"","PAS_DEATHSTALKER","","skills",0,0,1,0,"","","","",""
"","PAS_LOBA_EYE_FOR_QUALITY","","skills",0,0,1,0,"","","","",""
"","PAS_GUNNER","","skills",0,0,1,0,"","","","",""
"","PAS_VALK","","skills",0,0,1,0,"","","","",""
"","PAS_DUMMIE","","skills",0,0,1,0,"","","","",""
"","PAS_ASH","","skills",0,0,1,0,"","","","",""
"","PAS_NOVA","","skills",0,0,1,0,"","","","",""
"","PAS_FUSE","","skills",0,0,1,0,"","","","",""
"","PAS_PARIAH","","skills",0,0,1,0,"","","","",""
"string","string","string","string","int","int","int","int","asset_noprecache","string","string","string","string"
