"featureFlag","weaponRef","startingAmmo","cost","attachments","availableOptics"
"","mp_weapon_shotgun_pistol",48,0,"",""
"","mp_weapon_shotgun_pistol_whiteset",48,50,"whiteset optic_cq_hcog_classic shotgun_bolt_l1","optic_cq_hcog_classic optic_cq_holosight"
"","mp_weapon_shotgun_pistol_blueset",48,150,"blueset optic_cq_hcog_classic shotgun_bolt_l2","optic_cq_hcog_bruiser optic_cq_holosight_variable"
"","mp_weapon_shotgun_pistol_purpleset",48,250,"purpleset optic_cq_threat shotgun_bolt_l3","optic_cq_threat"
"","mp_weapon_shotgun_pistol_gold",48,111,"gold_paintball optic_cq_threat shotgun_bolt_l3",""
"","mp_weapon_semipistol",120,0,"",""
"","mp_weapon_semipistol_whiteset",120,25,"whiteset optic_cq_hcog_classic bullets_mag_l1","optic_cq_hcog_classic optic_cq_holosight"
"","mp_weapon_semipistol_blueset",120,50,"blueset optic_cq_hcog_bruiser bullets_mag_l2","optic_cq_hcog_bruiser optic_cq_holosight_variable"
"","mp_weapon_semipistol_purpleset",120,125,"purpleset optic_cq_threat bullets_mag_l3","optic_cq_threat"
"","mp_weapon_semipistol_gold",120,111,"gold_paintball optic_cq_threat bullets_mag_l4",""
"","mp_weapon_autopistol",180,150,"",""
"","mp_weapon_autopistol_whiteset",180,100,"whiteset optic_cq_hcog_classic bullets_mag_l1 barrel_stabilizer_l1","optic_cq_hcog_classic optic_cq_holosight"
"","mp_weapon_autopistol_blueset",180,200,"blueset optic_cq_hcog_bruiser bullets_mag_l2 barrel_stabilizer_l2","optic_cq_hcog_bruiser optic_cq_holosight_variable"
"","mp_weapon_autopistol_purpleset",180,250,"purpleset optic_cq_threat bullets_mag_l3 barrel_stabilizer_l3","optic_cq_threat"
"","mp_weapon_autopistol_gold",180,750,"gold_paintball optic_cq_threat bullets_mag_l4 barrel_stabilizer_l4_flash_hider",""
"","mp_weapon_wingman",60,500,"",""
"","mp_weapon_wingman_whiteset",60,150,"whiteset optic_cq_hcog_classic highcal_mag_l1","optic_cq_hcog_classic optic_cq_holosight"
"","mp_weapon_wingman_blueset",60,200,"blueset optic_cq_hcog_classic highcal_mag_l2","optic_cq_hcog_bruiser optic_cq_holosight_variable"
"","mp_weapon_wingman_purpleset",60,250,"purpleset hopup_smart_reload optic_cq_hcog_bruiser highcal_mag_l3","optic_cq_threat"
"","mp_weapon_wingman_gold",60,111,"gold_paintball optic_cq_threat highcal_mag_l4",""
"","mp_weapon_shotgun",64,350,"",""
"","mp_weapon_shotgun_whiteset",64,150,"whiteset shotgun_bolt_l1 optic_cq_hcog_classic","optic_cq_hcog_classic optic_cq_holosight"
"","mp_weapon_shotgun_blueset",64,250,"blueset shotgun_bolt_l2 optic_cq_hcog_classic","optic_cq_hcog_bruiser optic_cq_holosight_variable"
"","mp_weapon_shotgun_purpleset",64,300,"purpleset shotgun_bolt_l3 optic_cq_threat","optic_cq_threat"
"","mp_weapon_shotgun_gold",64,111,"gold_paintball optic_cq_threat shotgun_bolt_l3",""
