"featureFlag","weaponTab","weaponRef"
"","#ARENAS_SHOP_WEAPON_TAB1",""
"","","mp_weapon_wingman"
"","","mp_weapon_shotgun_pistol"
"","","mp_weapon_semipistol"
"","","mp_weapon_autopistol"
"","","mp_weapon_shotgun"
"","","mp_weapon_mastiff"
"","","mp_weapon_energy_shotgun"
"","","mp_weapon_volt_smg"
"","","mp_weapon_r97"
"","","mp_weapon_pdw"
"","","mp_weapon_car"
"","#ARENAS_SHOP_WEAPON_TAB2",""
"","","mp_weapon_lstar"
"","","mp_weapon_esaw"
"","","mp_weapon_dragon_lmg"
"","","mp_weapon_vinson"
"","","mp_weapon_energy_ar"
"","","mp_weapon_hemlok"
"","","mp_weapon_rspn101"
"","#ARENAS_SHOP_WEAPON_TAB3",""
"","","mp_weapon_bow"
"","","mp_weapon_dmr"
"","","mp_weapon_3030"
"","","mp_weapon_doubletake"
"","","mp_weapon_sentinel"
"","","mp_weapon_defender"
"string","string","string"
