"featureFlag","name","alias","priority","perspective","canPlayIfSolo","legendFlavors","radioDisplayName","team","radioIntercept","vduVideo","dialogue"
"xx","bc_reload","diag_mp_%voice%_bc_reload_%perspective%",5,"",false,"","","",false,"",""
"xx","bc_frag","diag_mp_%voice%_bc_frag_%perspective%",20,"",true,"","","",false,"",""
"xx","bc_arcStar","diag_mp_%voice%_bc_arcStar_%perspective%",20,"",true,"","","",false,"",""
"xx","bc_respawnBeaconDeploy","diag_mp_%voice%_bc_respawnBeaconDeploy_%perspective%",20,"",true,"","","",false,"",""
"xx","bc_heatShieldDeploy","diag_mp_%voice%_bc_heatShieldDeploy_%perspective%",20,"",true,"","","",false,"",""
"xx","bc_thermite","diag_mp_%voice%_bc_thermite_%perspective%",20,"",true,"","","",false,"",""
"xx","bc_congratsKill","diag_mp_%voice%_bc_congratsKill_%perspective%",7,"",false,"","","",false,"",""
"xx","bc_imDown","diag_mp_%voice%_bc_imDown_%perspective%",45,"",false,"","","",false,"",""
"xx","bc_revivingPlayer","diag_mp_%voice%_bc_revivingPlayer_%perspective%",20,"",false,"","","",false,"",""
"xx","bc_gibDomeRevivingPlayer","diag_mp_gibraltar_bc_revivingPlayerInBubble_%perspective%",20,"",false,"","","",false,"",""
"xx","bc_reviveThanks","diag_mp_%voice%_bc_reviveThanks_%perspective%",20,"",false,"","","",false,"",""
"xx","bc_takingDamage","diag_mp_%voice%_bc_takingDamage_%perspective%",38,"solo_flav",true,"wraith","","",false,"",""
"xx","bc_takingFire","diag_mp_%voice%_bc_takingFire_%perspective%",40,"solo_flav",true,"pathfinder","","",false,"",""
"xx","bc_engagingEnemy","diag_mp_%voice%_bc_engagingEnemy_%perspective%",20,"",false,"","","",false,"",""
"xx","bc_anotherSquadAttackingUs","diag_mp_%voice%_bc_anotherSquadAttackingUs_%perspective%",42,"",false,"","","",false,"",""
"xx","bc_damageEnemy","diag_mp_%voice%_bc_damageEnemy_%perspective%",10,"",true,"","","",false,"",""
"xx","bc_healing","diag_mp_%voice%_bc_healing_%perspective%",12,"",true,"","","",false,"",""
"xx","bc_healingPhoenix","diag_mp_%voice%_bc_healingPhoenix_%perspective%",12,"",true,"","","",false,"",""
"xx","bc_usingShieldCell","diag_mp_%voice%_bc_usingShieldCell_%perspective%",12,"",true,"","","",false,"",""
"xx","bc_callout_enemyAirstrike","diag_mp_%voice%_bc_callout_enemyairstrike_%perspective%",25,"solo_flav",true,"wraith","","",false,"",""
"xx","bc_enemyGrenade","diag_mp_%voice%_bc_enemyGrenade_%perspective%",25,"",true,"","","",false,"",""
"xx","bc_shieldBreakEnemy","diag_mp_%voice%_bc_shieldBreakEnemy_%perspective%",30,"",true,"","","",false,"",""
"xx","bc_shieldBreakEnemySquad","diag_mp_playerm1_bc_shieldBreakEnemySquad_%perspective%",30,"",true,"","","",false,"",""
"xx","bc_fuse_thermite","diag_mp_fuse_bc_thermite_alt_%perspective%",20,"",true,"","","",false,"",""
"xx","bc_fuse_frag","diag_mp_fuse_bc_frag_alt_%perspective%",20,"",true,"","","",false,"",""
"xx","bc_fuse_arcStar","diag_mp_fuse_bc_arcStar_alt_%perspective%",20,"",true,"","","",false,"",""
"xx","","",0,"",false,"","","",false,"",""
"xx","bc_podLeaderLaunch","diag_mp_%voice%_bc_podLeaderLaunch_%perspective%",20,"",false,"","","",false,"",""
"xx","bc_imJumpmaster","diag_mp_%voice%_bc_imJumpmaster_%perspective%",20,"",false,"","","",false,"",""
"xx","bc_skydive","diag_mp_%voice%_bc_skydive_%perspective%",0,"",true,"","","",false,"",""
