"featureFlag","event","notes","menuText","shortText","chatText","attachmentPoints","aliasSubname","hasCalm","hasCalmFar","hasUrgent","hasUrgentFar","subEvent","flavorEvent","defaultIcon","pingAsset","hasForcedTempVoice"
"xx","BLANK","","","","","","",false,false,false,false,"","","","",false
"xx","PING_WEAPON_KRABER","","","","#PING_LOOT","","ping_foundKraber",true,false,true,false,"","FLAVOR_WEAPON_KRABER","","",false
"xx","PING_WEAPON_MASTIFF","","","","#PING_LOOT","","ping_foundMastiff",true,false,true,false,"","FLAVOR_WEAPON_MASTIFF","","",false
"xx","PING_WEAPON_LSTAR","","","","#PING_LOOT","","ping_foundLstar",true,false,true,false,"","FLAVOR_WEAPON_LSTAR","","",false
"xx","PING_WEAPON_ENERGY_AR","! [jnel] hooked up Havoc instead of enery ar / energy weapon.","","","#PING_LOOT","","ping_foundHavoc",true,false,true,false,"","FLAVOR_WEAPON_ENERGY_AR","","",false
"xx","PING_WEAPON_DEVOTION","","","","#PING_LOOT","","ping_foundDevotion",true,false,true,false,"","FLAVOR_WEAPON_DEVOTION","","",false
"xx","PING_WEAPON_TRIPLETAKE","","","","#PING_LOOT","","ping_foundTripletake",true,false,true,false,"","FLAVOR_WEAPON_TRIPLETAKE","","",false
"xx","PING_WEAPON_FLATLINE","","","","#PING_LOOT","","ping_foundFlatline",true,false,true,false,"","FLAVOR_WEAPON_FLATLINE","","",false
"xx","PING_WEAPON_HEMLOK","","","","#PING_LOOT","","ping_foundHemlok",true,false,true,false,"","FLAVOR_WEAPON_HEMLOK","","",false
"xx","PING_WEAPON_G7","","","","#PING_LOOT","","ping_foundG7",true,false,true,false,"","FLAVOR_WEAPON_G7","","",false
"xx","PING_WEAPON_ALTERNATOR","","","","#PING_LOOT","","ping_foundAlternator",true,false,true,false,"","FLAVOR_WEAPON_ALTERNATOR","","",false
"xx","PING_WEAPON_R97","! [jnel] this is still r97, but should we hook it to r99?","","","#PING_LOOT","","ping_foundR99",true,false,true,false,"","FLAVOR_WEAPON_R97","","",false
"xx","PING_WEAPON_PROWLER","","","","#PING_LOOT","","ping_foundprowler",true,false,true,false,"","FLAVOR_WEAPON_PROWLER","","",false
"xx","PING_WEAPON_DMR","","","","#PING_LOOT","","ping_foundDmr",true,false,true,false,"","FLAVOR_WEAPON_DMR","","",false
"xx","PING_WEAPON_SPITFIRE","","","","#PING_LOOT","","ping_foundSpitfire",true,false,true,false,"","FLAVOR_WEAPON_SPITFIRE","","",false
"xx","PING_WEAPON_R201","! [jnel] hooked the r301 to this event. Event string is r201.","","","#PING_LOOT","","ping_foundR301",true,false,true,false,"","FLAVOR_WEAPON_R201","","",false
"xx","PING_WEAPON_EVA","","","","#PING_LOOT","","ping_foundEva",true,false,true,false,"","FLAVOR_WEAPON_EVA","","",false
"xx","PING_WEAPON_PEACEKEEPER","","","","#PING_LOOT","","ping_foundpeacekeeper",true,false,true,false,"","FLAVOR_WEAPON_PEACEKEEPER","","",false
"xx","PING_WEAPON_MOZAMBIQUE","","","","#PING_LOOT","","ping_foundMozambique",true,false,true,false,"","FLAVOR_WEAPON_MOZAMBIQUE","","",false
"xx","PING_WEAPON_WINGMAN","","","","#PING_LOOT","","ping_foundWingman",true,false,true,false,"","FLAVOR_WEAPON_WINGMAN","","",false
"xx","PING_WEAPON_SEMIPISTOL","","","","#PING_LOOT","","ping_foundP2020",true,false,true,false,"","FLAVOR_WEAPON_SEMIPISTOL","","",false
"xx","PING_WEAPON_AUTOPISTOL","","","","#PING_LOOT","","ping_foundRE45",true,false,true,false,"","FLAVOR_WEAPON_AUTOPISTOL","","",false
"xx","PING_WEAPON_VOLT_SMG","","","","#PING_LOOT","","ping_foundVoltSmg",true,false,true,false,"","","","",false
"xx","PING_WEAPON_DEFENDER","","","","#PING_LOOT","","ping_foundChargeRifle",true,false,true,false,"","","","",false
"xx","PING_WEAPON_SENTINEL","","","","#PING_LOOT","","ping_foundSentinel",true,false,true,false,"","FLAVOR_WEAPON_SENTINEL","","",false
